sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,25.08831382,0.56194832,0..30cm,22.0,6.0,38.0,48.0,17.0,78.0,30.0,15.0,44.0,1090.0,630.0,1510.0,15.7,6.8,37.8,5.0,4.3,6.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,25.08831382,0.56194832,30..60cm,25.0,7.0,42.0,46.0,12.0,78.0,29.0,12.0,47.0,1130.0,800.0,1480.0,6.5,1.4,15.2,5.0,4.3,5.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,25.08831382,0.56194832,60..100cm,27.0,7.0,42.0,44.0,9.0,78.0,29.0,9.0,49.0,1130.0,680.0,1460.0,6.2,1.9,14.4,5.1,4.3,6.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,235.55,25.08962099,0.56040946,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,235.55,25.08962099,0.56040946,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,235.55,25.08962099,0.56040946,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,471.1,25.09031265,0.55860769,0..30cm,17.0,5.0,30.0,59.0,32.0,83.0,24.0,10.0,40.0,990.0,510.0,1340.0,24.4,8.5,65.8,5.1,4.3,6.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,471.1,25.09031265,0.55860769,30..60cm,21.0,7.0,38.0,53.0,20.0,81.0,26.0,9.0,45.0,1060.0,670.0,1430.0,12.2,3.5,48.3,5.1,4.3,6.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,471.1,25.09031265,0.55860769,60..100cm,23.0,6.0,37.0,51.0,14.0,78.0,27.0,9.0,45.0,1080.0,590.0,1390.0,7.1,2.0,26.7,5.2,4.3,6.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,471.1,25.09031265,0.55860769,0..30cm,17.0,5.0,30.0,59.0,32.0,83.0,24.0,10.0,40.0,990.0,510.0,1340.0,24.4,8.5,65.8,5.1,4.3,6.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,471.1,25.09031265,0.55860769,30..60cm,21.0,7.0,38.0,53.0,20.0,81.0,26.0,9.0,45.0,1060.0,670.0,1430.0,12.2,3.5,48.3,5.1,4.3,6.1
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,471.1,25.09031265,0.55860769,60..100cm,23.0,6.0,37.0,51.0,14.0,78.0,27.0,9.0,45.0,1080.0,590.0,1390.0,7.1,2.0,26.7,5.2,4.3,6.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1510.409,25.09556027,0.55270995,0..30cm,13.0,4.0,23.0,67.0,49.0,86.0,20.0,10.0,32.0,1110.0,860.0,1400.0,16.5,8.2,33.6,5.5,4.7,6.5
