sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,27.5334262,-11.5771155,0..30cm,37.0,24.0,50.0,41.0,17.0,64.0,22.0,11.0,36.0,1390.0,1220.0,1550.0,6.3,4.0,10.0,5.9,4.9,6.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,27.5334262,-11.5771155,30..60cm,41.0,28.0,54.0,38.0,13.0,58.0,21.0,8.0,35.0,1450.0,1300.0,1580.0,5.1,3.0,6.7,6.1,5.3,6.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,27.5334262,-11.5771155,60..100cm,43.0,25.0,57.0,35.0,11.0,59.0,22.0,5.0,37.0,1490.0,1390.0,1670.0,4.9,2.2,8.4,6.4,5.2,7.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.939,27.52608881,-11.57996964,0..30cm,38.0,25.0,51.0,38.0,16.0,60.0,23.0,12.0,36.0,1390.0,1220.0,1540.0,8.7,6.3,12.6,5.7,5.2,6.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.939,27.52608881,-11.57996964,30..60cm,42.0,30.0,53.0,36.0,12.0,60.0,22.0,8.0,37.0,1460.0,1300.0,1600.0,5.7,3.6,7.8,5.9,5.2,6.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.939,27.52608881,-11.57996964,60..100cm,44.0,26.0,57.0,35.0,11.0,59.0,22.0,4.0,37.0,1500.0,1360.0,1700.0,4.4,2.2,6.6,6.1,5.1,6.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2091.878,27.52507391,-11.58832134,0..30cm,37.0,24.0,46.0,41.0,22.0,63.0,22.0,13.0,33.0,1340.0,1170.0,1490.0,9.1,5.4,14.8,5.6,5.2,6.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2091.878,27.52507391,-11.58832134,30..60cm,42.0,31.0,54.0,35.0,13.0,56.0,23.0,8.0,37.0,1410.0,1220.0,1600.0,5.2,2.5,8.1,5.8,5.3,6.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2091.878,27.52507391,-11.58832134,60..100cm,43.0,28.0,56.0,33.0,10.0,56.0,24.0,5.0,38.0,1440.0,1230.0,1700.0,4.6,2.1,7.5,6.1,5.2,7.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3137.817,27.51675159,-11.59187273,0..30cm,38.0,24.0,49.0,38.0,18.0,62.0,24.0,11.0,36.0,1340.0,1140.0,1510.0,8.0,5.3,12.1,5.7,5.1,6.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3137.817,27.51675159,-11.59187273,30..60cm,42.0,32.0,54.0,35.0,14.0,55.0,23.0,10.0,37.0,1420.0,1240.0,1590.0,5.8,3.5,8.5,5.9,5.3,6.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3137.817,27.51675159,-11.59187273,60..100cm,43.0,28.0,57.0,34.0,11.0,56.0,24.0,8.0,37.0,1460.0,1250.0,1670.0,4.7,2.0,7.6,6.1,5.2,7.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4183.756,27.51288152,-11.59861177,0..30cm,38.0,25.0,47.0,39.0,19.0,61.0,23.0,12.0,35.0,1350.0,1180.0,1500.0,9.2,6.0,12.4,5.6,5.0,6.0
