sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,13.44753869,-8.69835151,0..30cm,21.0,11.0,30.0,64.0,44.0,84.0,15.0,3.0,28.0,1420.0,1210.0,1630.0,5.0,2.6,7.3,7.1,5.6,8.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,13.44753869,-8.69835151,30..60cm,22.0,8.0,35.0,63.0,39.0,85.0,15.0,0.0,32.0,1450.0,1240.0,1660.0,3.3,1.6,6.7,7.1,5.3,8.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,13.44753869,-8.69835151,60..100cm,22.0,9.0,35.0,64.0,41.0,87.0,14.0,0.0,32.0,1450.0,1230.0,1640.0,2.6,1.1,4.5,7.1,5.2,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1058.175,13.4437279,-8.7051866,0..30cm,22.0,10.0,32.0,62.0,44.0,84.0,16.0,3.0,29.0,1420.0,1230.0,1620.0,5.8,3.1,9.9,7.2,6.2,8.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1058.175,13.4437279,-8.7051866,30..60cm,23.0,12.0,34.0,62.0,39.0,81.0,15.0,1.0,30.0,1430.0,1240.0,1660.0,3.9,1.8,9.3,7.3,6.0,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1058.175,13.4437279,-8.7051866,60..100cm,23.0,11.0,34.0,61.0,42.0,79.0,15.0,1.0,30.0,1440.0,1110.0,1790.0,3.3,1.5,6.8,7.3,6.0,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2116.35,13.43966812,-8.71252094,0..30cm,25.0,11.0,36.0,58.0,41.0,77.0,17.0,6.0,29.0,1390.0,1200.0,1560.0,6.4,3.9,10.9,7.2,6.2,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2116.35,13.43966812,-8.71252094,30..60cm,26.0,16.0,36.0,55.0,35.0,75.0,18.0,4.0,32.0,1430.0,1180.0,1650.0,4.4,2.3,8.1,7.2,5.6,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2116.35,13.43966812,-8.71252094,60..100cm,27.0,12.0,39.0,55.0,31.0,76.0,18.0,5.0,33.0,1410.0,1110.0,1770.0,3.9,1.8,7.6,7.3,5.5,8.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3174.525,13.43799865,-8.72106793,0..30cm,26.0,15.0,38.0,55.0,36.0,76.0,19.0,5.0,30.0,1380.0,1190.0,1580.0,6.7,4.2,10.9,7.0,6.2,7.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3174.525,13.43799865,-8.72106793,30..60cm,26.0,14.0,36.0,55.0,32.0,74.0,19.0,3.0,33.0,1410.0,1160.0,1650.0,4.3,2.7,7.1,7.0,5.5,8.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3174.525,13.43799865,-8.72106793,60..100cm,26.0,13.0,39.0,55.0,32.0,76.0,19.0,4.0,34.0,1380.0,1070.0,1720.0,3.0,1.7,4.7,7.0,5.3,8.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4232.7,13.43119014,-8.72704393,0..30cm,27.0,15.0,37.0,51.0,32.0,71.0,22.0,7.0,35.0,1300.0,1140.0,1470.0,9.8,4.7,16.3,7.1,6.4,7.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4232.7,13.43119014,-8.72704393,30..60cm,29.0,16.0,42.0,46.0,22.0,70.0,25.0,5.0,46.0,1360.0,1010.0,1650.0,6.5,2.5,12.1,7.2,6.3,8.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4232.7,13.43119014,-8.72704393,60..100cm,29.0,13.0,43.0,45.0,15.0,72.0,25.0,8.0,47.0,1340.0,820.0,1740.0,4.4,1.9,8.8,7.4,6.4,8.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5290.875,13.42435807,-8.73299426,0..30cm,27.0,15.0,39.0,52.0,25.0,75.0,22.0,6.0,41.0,1330.0,1180.0,1470.0,9.0,4.9,15.2,7.1,6.4,7.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5290.875,13.42435807,-8.73299426,30..60cm,29.0,15.0,41.0,46.0,14.0,75.0,25.0,4.0,50.0,1340.0,1070.0,1610.0,5.6,2.6,11.4,7.2,6.3,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5290.875,13.42435807,-8.73299426,60..100cm,29.0,16.0,41.0,46.0,13.0,74.0,25.0,4.0,52.0,1280.0,810.0,1700.0,3.9,1.9,7.1,7.4,6.4,8.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6349.05,13.41757027,-8.73899318,0..30cm,25.0,13.0,36.0,56.0,31.0,75.0,19.0,5.0,33.0,1350.0,1180.0,1550.0,7.7,4.1,12.8,7.3,6.3,8.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6349.05,13.41757027,-8.73899318,30..60cm,26.0,9.0,38.0,53.0,28.0,76.0,21.0,3.0,38.0,1340.0,1090.0,1620.0,6.1,2.2,11.1,7.2,5.9,8.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6349.05,13.41757027,-8.73899318,60..100cm,27.0,8.0,40.0,51.0,24.0,80.0,22.0,3.0,44.0,1260.0,790.0,1710.0,5.7,2.1,14.0,7.2,6.0,8.6
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7407.224,13.40972279,-8.74244322,0..30cm,27.0,15.0,38.0,54.0,30.0,75.0,20.0,6.0,32.0,1310.0,1140.0,1500.0,12.3,4.8,34.4,7.1,6.3,8.0
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7407.224,13.40972279,-8.74244322,30..60cm,29.0,17.0,37.0,50.0,25.0,76.0,21.0,3.0,37.0,1330.0,1070.0,1640.0,8.2,3.1,26.0,7.1,5.7,8.3
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7407.224,13.40972279,-8.74244322,60..100cm,30.0,16.0,41.0,49.0,15.0,79.0,22.0,2.0,38.0,1290.0,790.0,1750.0,5.6,2.3,17.8,7.3,5.9,8.5
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7536.05,13.40861639,-8.74244322,0..30cm,26.0,14.0,38.0,54.0,30.0,75.0,20.0,6.0,33.0,1300.0,1140.0,1500.0,12.7,4.9,29.0,7.1,6.3,8.1
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7536.05,13.40861639,-8.74244322,30..60cm,28.0,16.0,37.0,50.0,25.0,76.0,21.0,3.0,37.0,1330.0,1070.0,1640.0,8.5,3.4,26.0,7.2,5.8,8.3
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7536.05,13.40861639,-8.74244322,60..100cm,29.0,16.0,41.0,49.0,15.0,79.0,22.0,2.0,38.0,1300.0,790.0,1750.0,6.1,2.3,18.2,7.4,5.9,8.4
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8465.399,13.40063475,-8.74244322,0..30cm,24.0,8.0,38.0,56.0,26.0,83.0,19.0,4.0,38.0,1240.0,1050.0,1470.0,9.5,3.9,18.2,6.9,6.0,7.7
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8465.399,13.40063475,-8.74244322,30..60cm,24.0,6.0,35.0,55.0,25.0,84.0,21.0,2.0,45.0,1240.0,1040.0,1530.0,5.2,1.9,14.3,6.9,5.8,7.8
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8465.399,13.40063475,-8.74244322,60..100cm,25.0,8.0,36.0,54.0,22.0,84.0,21.0,1.0,45.0,1170.0,790.0,1610.0,3.7,1.3,9.1,7.1,5.7,8.3
