sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,12.08955379,-15.22487188,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,12.08955379,-15.22487188,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,12.08955379,-15.22487188,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,10.0,12.08955379,-15.22478196,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,10.0,12.08955379,-15.22478196,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,10.0,12.08955379,-15.22478196,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,20.0,12.08955379,-15.22469204,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,20.0,12.08955379,-15.22469204,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,20.0,12.08955379,-15.22469204,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,20.0,12.08955379,-15.22469204,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,20.0,12.08955379,-15.22469204,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,20.0,12.08955379,-15.22469204,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1020.952,12.09570032,-15.21839033,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1020.952,12.09570032,-15.21839033,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1020.952,12.09570032,-15.21839033,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2021.904,12.10229631,-15.21201421,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2021.904,12.10229631,-15.21201421,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2021.904,12.10229631,-15.21201421,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3022.857,12.10876085,-15.20558519,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3022.857,12.10876085,-15.20558519,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3022.857,12.10876085,-15.20558519,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4023.809,12.11647361,-15.20183621,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4023.809,12.11647361,-15.20183621,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4023.809,12.11647361,-15.20183621,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4234.6,12.11835701,-15.20165625,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4234.6,12.11835701,-15.20165625,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4234.6,12.11835701,-15.20165625,60..100cm,,,,,,,,,,,,,,,,,,
