sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,12.32773352,-6.12479919,0..30cm,21.0,6.0,36.0,61.0,35.0,86.0,18.0,3.0,33.0,1360.0,1180.0,1530.0,6.0,2.4,14.3,7.0,5.8,8.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,12.32773352,-6.12479919,30..60cm,20.0,3.0,39.0,60.0,29.0,88.0,19.0,2.0,37.0,1380.0,1160.0,1610.0,6.4,2.2,22.2,7.1,5.7,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,12.32773352,-6.12479919,60..100cm,21.0,5.0,40.0,60.0,29.0,89.0,20.0,2.0,36.0,1310.0,870.0,1650.0,8.7,1.5,71.4,7.2,5.6,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.355,12.33427061,-6.12803858,0..30cm,22.0,6.0,38.0,59.0,32.0,86.0,18.0,5.0,33.0,1360.0,1160.0,1540.0,5.9,3.7,9.0,6.9,5.7,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.355,12.33427061,-6.12803858,30..60cm,21.0,5.0,38.0,61.0,33.0,90.0,18.0,1.0,36.0,1410.0,1220.0,1600.0,3.5,1.5,7.8,7.0,5.7,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.355,12.33427061,-6.12803858,60..100cm,22.0,5.0,40.0,61.0,34.0,90.0,18.0,0.0,35.0,1380.0,970.0,1660.0,3.3,0.7,7.0,7.1,5.7,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.71,12.34285975,-6.12767865,0..30cm,23.0,6.0,40.0,59.0,32.0,86.0,18.0,7.0,33.0,1330.0,1100.0,1560.0,7.2,2.6,15.4,6.9,5.5,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.71,12.34285975,-6.12767865,30..60cm,22.0,5.0,43.0,59.0,23.0,88.0,19.0,0.0,37.0,1410.0,1200.0,1620.0,4.7,1.3,9.9,7.1,5.8,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.71,12.34285975,-6.12767865,60..100cm,23.0,5.0,44.0,57.0,22.0,89.0,19.0,0.0,37.0,1380.0,940.0,1750.0,4.8,1.2,14.7,7.2,5.8,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3001.065,12.35085515,-6.12587899,0..30cm,23.0,5.0,41.0,59.0,31.0,86.0,19.0,2.0,35.0,1330.0,1080.0,1560.0,5.7,2.6,12.6,6.9,5.5,8.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3001.065,12.35085515,-6.12587899,30..60cm,22.0,5.0,43.0,58.0,24.0,89.0,20.0,0.0,38.0,1360.0,1140.0,1620.0,5.1,2.1,13.1,7.0,5.6,8.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3001.065,12.35085515,-6.12587899,60..100cm,23.0,5.0,43.0,57.0,23.0,89.0,20.0,0.0,38.0,1290.0,870.0,1750.0,6.2,1.0,21.3,7.1,5.5,8.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4001.42,12.35915538,-6.12693943,0..30cm,22.0,5.0,40.0,59.0,31.0,87.0,18.0,3.0,32.0,1330.0,1080.0,1600.0,7.0,2.9,16.8,6.9,5.8,8.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4001.42,12.35915538,-6.12693943,30..60cm,22.0,5.0,40.0,59.0,24.0,89.0,19.0,0.0,37.0,1380.0,1160.0,1620.0,5.2,1.7,12.1,7.0,5.9,8.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4001.42,12.35915538,-6.12693943,60..100cm,23.0,5.0,43.0,57.0,23.0,90.0,20.0,0.0,37.0,1310.0,820.0,1750.0,4.7,1.4,11.9,7.1,5.8,8.3
