sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,39.65223627,-0.48477205,0..30cm,18.0,11.0,25.0,59.0,48.0,73.0,23.0,14.0,33.0,1430.0,1290.0,1540.0,5.5,2.6,10.4,7.9,7.1,8.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,39.65223627,-0.48477205,30..60cm,21.0,13.0,30.0,54.0,38.0,70.0,25.0,10.0,39.0,1460.0,1260.0,1650.0,3.2,1.7,5.8,7.9,7.1,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,39.65223627,-0.48477205,60..100cm,23.0,13.0,33.0,51.0,32.0,70.0,27.0,12.0,41.0,1460.0,1260.0,1620.0,2.7,1.2,5.2,8.0,7.1,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,10.0,39.65232632,-0.48477205,0..30cm,18.0,11.0,25.0,59.0,48.0,73.0,23.0,14.0,33.0,1430.0,1290.0,1540.0,5.5,2.6,10.4,7.9,7.1,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,10.0,39.65232632,-0.48477205,30..60cm,21.0,13.0,30.0,54.0,38.0,70.0,25.0,10.0,39.0,1460.0,1260.0,1650.0,3.2,1.7,5.8,7.9,7.1,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,10.0,39.65232632,-0.48477205,60..100cm,23.0,13.0,33.0,51.0,32.0,70.0,27.0,12.0,41.0,1460.0,1260.0,1620.0,2.7,1.2,5.2,8.0,7.1,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,20.0,39.65241625,-0.48477175,0..30cm,18.0,11.0,25.0,59.0,48.0,73.0,23.0,14.0,33.0,1430.0,1290.0,1540.0,5.5,2.6,10.4,7.9,7.1,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,20.0,39.65241625,-0.48477175,30..60cm,21.0,13.0,30.0,54.0,38.0,70.0,25.0,10.0,39.0,1460.0,1260.0,1650.0,3.2,1.7,5.8,7.9,7.1,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,20.0,39.65241625,-0.48477175,60..100cm,23.0,13.0,33.0,51.0,32.0,70.0,27.0,12.0,41.0,1460.0,1260.0,1620.0,2.7,1.2,5.2,8.0,7.1,9.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,20.0,39.65241625,-0.48477175,0..30cm,18.0,11.0,25.0,59.0,48.0,73.0,23.0,14.0,33.0,1430.0,1290.0,1540.0,5.5,2.6,10.4,7.9,7.1,8.9
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,20.0,39.65241625,-0.48477175,30..60cm,21.0,13.0,30.0,54.0,38.0,70.0,25.0,10.0,39.0,1460.0,1260.0,1650.0,3.2,1.7,5.8,7.9,7.1,9.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,20.0,39.65241625,-0.48477175,60..100cm,23.0,13.0,33.0,51.0,32.0,70.0,27.0,12.0,41.0,1460.0,1260.0,1620.0,2.7,1.2,5.2,8.0,7.1,9.2
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1021.222,39.65616073,-0.47772508,0..30cm,17.0,11.0,24.0,62.0,52.0,71.0,21.0,15.0,28.0,1460.0,1310.0,1600.0,5.6,2.6,10.1,7.8,6.8,8.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1021.222,39.65616073,-0.47772508,30..60cm,20.0,11.0,29.0,57.0,46.0,70.0,23.0,10.0,31.0,1480.0,1290.0,1640.0,2.9,1.7,5.4,7.8,6.3,8.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1021.222,39.65616073,-0.47772508,60..100cm,22.0,10.0,31.0,54.0,40.0,69.0,25.0,11.0,36.0,1480.0,1280.0,1660.0,2.3,1.0,4.1,7.9,6.8,9.0
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2022.444,39.65722853,-0.47041327,0..30cm,17.0,10.0,24.0,62.0,51.0,72.0,21.0,14.0,28.0,1480.0,1330.0,1630.0,5.7,2.6,10.7,7.8,6.8,8.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2022.444,39.65722853,-0.47041327,30..60cm,21.0,12.0,29.0,56.0,41.0,68.0,23.0,12.0,33.0,1490.0,1320.0,1630.0,3.2,1.8,5.1,7.9,6.2,9.1
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2022.444,39.65722853,-0.47041327,60..100cm,22.0,11.0,31.0,53.0,39.0,68.0,25.0,11.0,34.0,1490.0,1330.0,1660.0,2.6,1.1,4.6,7.9,6.8,9.0
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3023.666,39.65808973,-0.46361175,0..30cm,18.0,11.0,22.0,61.0,51.0,71.0,21.0,13.0,29.0,1460.0,1290.0,1620.0,6.3,3.1,11.0,7.8,6.7,8.9
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3023.666,39.65808973,-0.46361175,30..60cm,21.0,11.0,31.0,56.0,42.0,70.0,23.0,12.0,34.0,1470.0,1260.0,1630.0,3.5,2.1,5.1,7.8,6.2,9.1
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3023.666,39.65808973,-0.46361175,60..100cm,23.0,12.0,33.0,52.0,37.0,68.0,25.0,12.0,36.0,1470.0,1260.0,1620.0,2.7,1.2,5.1,7.9,7.0,9.0
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,3241.2,39.65921989,-0.46211979,0..30cm,17.0,10.0,24.0,61.0,51.0,73.0,21.0,14.0,28.0,1450.0,1300.0,1580.0,6.0,2.6,12.3,7.8,6.8,8.9
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,3241.2,39.65921989,-0.46211979,30..60cm,20.0,10.0,29.0,57.0,45.0,70.0,22.0,12.0,32.0,1460.0,1320.0,1620.0,3.4,1.9,5.4,7.9,6.2,9.1
