asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality
KIS-SYS-001,kisii,system,whole railway,Kisii railway system,,,,,,"-0.7493,34.6991 to -0.6141,34.8343",system
KIS-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-015,line-1-015,rolling-stock,spare,line-1 trainset 015,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L1-016,line-1-016,rolling-stock,cold-reserve,line-1 trainset 016,line-1,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-001,line-2-001,rolling-stock,revenue,line-2 trainset 001,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-002,line-2-002,rolling-stock,revenue,line-2 trainset 002,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-003,line-2-003,rolling-stock,revenue,line-2 trainset 003,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-004,line-2-004,rolling-stock,revenue,line-2 trainset 004,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-005,line-2-005,rolling-stock,revenue,line-2 trainset 005,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-006,line-2-006,rolling-stock,revenue,line-2 trainset 006,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-007,line-2-007,rolling-stock,revenue,line-2 trainset 007,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-008,line-2-008,rolling-stock,revenue,line-2 trainset 008,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-009,line-2-009,rolling-stock,revenue,line-2 trainset 009,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-010,line-2-010,rolling-stock,revenue,line-2 trainset 010,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-011,line-2-011,rolling-stock,revenue,line-2 trainset 011,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-012,line-2-012,rolling-stock,revenue,line-2 trainset 012,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-013,line-2-013,rolling-stock,revenue,line-2 trainset 013,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-014,line-2-014,rolling-stock,spare,line-2 trainset 014,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L2-015,line-2-015,rolling-stock,cold-reserve,line-2 trainset 015,line-2,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-001,line-3-001,rolling-stock,revenue,line-3 trainset 001,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-002,line-3-002,rolling-stock,revenue,line-3 trainset 002,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-003,line-3-003,rolling-stock,revenue,line-3 trainset 003,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-004,line-3-004,rolling-stock,revenue,line-3 trainset 004,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-005,line-3-005,rolling-stock,revenue,line-3 trainset 005,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-006,line-3-006,rolling-stock,revenue,line-3 trainset 006,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-007,line-3-007,rolling-stock,revenue,line-3 trainset 007,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-008,line-3-008,rolling-stock,revenue,line-3 trainset 008,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-009,line-3-009,rolling-stock,revenue,line-3 trainset 009,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-010,line-3-010,rolling-stock,revenue,line-3 trainset 010,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-011,line-3-011,rolling-stock,revenue,line-3 trainset 011,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-012,line-3-012,rolling-stock,revenue,line-3 trainset 012,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-013,line-3-013,rolling-stock,revenue,line-3 trainset 013,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-014,line-3-014,rolling-stock,revenue,line-3 trainset 014,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-015,line-3-015,rolling-stock,revenue,line-3 trainset 015,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-016,line-3-016,rolling-stock,revenue,line-3 trainset 016,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-017,line-3-017,rolling-stock,revenue,line-3 trainset 017,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-018,line-3-018,rolling-stock,revenue,line-3 trainset 018,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-019,line-3-019,rolling-stock,revenue,line-3 trainset 019,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-020,line-3-020,rolling-stock,spare,line-3 trainset 020,line-3,KIS-SYS-001,,,,fleet,service
KIS-RS-L3-021,line-3-021,rolling-stock,cold-reserve,line-3 trainset 021,line-3,KIS-SYS-001,,,,fleet,service
KIS-ST-001,line-1-0433-0474-s000000,station,terminal,Kisii University,line-1,KIS-SYS-001,line-1-0433-0474-s000000,0.000,0.000,"-0.692115, 34.784356",public
KIS-ST-002,line-1-0371-0371-s002960,station,interchange-elevated,Nyanchwa Adventist Mission Hospital,line-1,KIS-SYS-001,line-1-0371-0371-s002960,2.960,2.960,"-0.680957, 34.765849",public
KIS-ST-003,line-1-0321-0298-s005038,station,standard,line-1-0321-0298-s005038,line-1,KIS-SYS-001,line-1-0321-0298-s005038,5.038,5.038,"-0.671959, 34.752733",public
KIS-ST-004,line-1-0274-0217-s007109,station,terminal,River Point Shop,line-1,KIS-SYS-001,line-1-0274-0217-s007109,7.109,7.109,"-0.663501, 34.738179",public
KIS-ST-005,line-2-0226-0282-s000000,station,terminal,Nyamataro,line-2,KIS-SYS-001,line-2-0226-0282-s000000,0.000,0.000,"-0.654862, 34.749858",public
KIS-ST-006,line-2-0304-0366-s003002,station,major,Daraja Mbili Market,line-2,KIS-SYS-001,line-2-0304-0366-s003002,3.002,3.002,"-0.668900, 34.764951",public
KIS-ST-007,line-2-0371-0371-s004682,station,interchange-elevated,Nyanchwa Adventist Mission Hospital,line-2,KIS-SYS-001,line-2-0371-0371-s004682,4.682,4.682,"-0.680957, 34.765849",public
KIS-ST-008,line-2-0369-0293-s006259,station,terminal,Nyanchwa,line-2,KIS-SYS-001,line-2-0369-0293-s006259,6.259,6.259,"-0.680597, 34.751835",public
KIS-ST-009,line-3-0027-0326-s000000,station,terminal,Nyakoe Market,line-3,KIS-SYS-001,line-3-0027-0326-s000000,0.000,0.000,"-0.619049, 34.757764",public
KIS-ST-010,line-3-0252-0359-s006340,station,standard,line-3-0252-0359-s006340,line-3,KIS-SYS-001,line-3-0252-0359-s006340,6.340,6.340,"-0.659541, 34.763693",public
KIS-ST-011,line-3-0315-0414-s008361,station,major,Kisii Teaching and Referral Hospital,line-3,KIS-SYS-001,line-3-0315-0414-s008361,8.361,8.361,"-0.670879, 34.773575",public
KIS-ST-012,line-3-0375-0406-s010911,station,depot-terminal,Christamariane Hospital,line-3,KIS-SYS-001,line-3-0375-0406-s010911,10.911,10.911,"-0.681677, 34.772138",public
KIS-TRK-L1-001,line-1-0433-0474-s000000--line-1-0371-0371-s002960,track-section,standard-urban,line-1 section 001,line-1,KIS-SYS-001,line-1-0433-0474-s000000 to line-1-0371-0371-s002960,0.000,2.960,Kisii University to Nyanchwa Adventist Mission Hospital,safety
KIS-WPT-L1-001,w-node-line-1-0433-0474-s000000--line-1-0371-0371-s002960,waypoint,wayside-node,line-1 waypoint 001,line-1,KIS-TRK-L1-001,line-1-0433-0474-s000000 to line-1-0371-0371-s002960,1.480,1.480,Kisii University to Nyanchwa Adventist Mission Hospital midpoint W-Node,safety
KIS-TRK-L1-002,line-1-0371-0371-s002960--line-1-0321-0298-s005038,track-section,standard-urban,line-1 section 002,line-1,KIS-SYS-001,line-1-0371-0371-s002960 to line-1-0321-0298-s005038,2.960,5.038,Nyanchwa Adventist Mission Hospital to line-1-0321-0298-s005038,safety
