sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,39.71650836,-4.02834576,0..30cm,12.0,5.0,21.0,75.0,55.0,90.0,12.0,3.0,22.0,1340.0,1180.0,1510.0,8.2,3.8,14.9,6.6,5.6,7.8
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,39.71650836,-4.02834576,30..60cm,12.0,3.0,23.0,76.0,56.0,92.0,12.0,2.0,21.0,1390.0,1190.0,1600.0,5.2,2.8,9.1,6.5,5.3,7.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,39.71650836,-4.02834576,60..100cm,12.0,3.0,23.0,76.0,56.0,92.0,12.0,3.0,21.0,1400.0,1180.0,1690.0,5.6,1.9,12.6,6.5,5.0,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1032.138,39.71148682,-4.02276681,0..30cm,18.0,7.0,29.0,63.0,40.0,86.0,19.0,6.0,32.0,1300.0,1070.0,1520.0,12.9,6.9,22.0,6.5,5.6,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1032.138,39.71148682,-4.02276681,30..60cm,19.0,7.0,31.0,62.0,39.0,86.0,19.0,4.0,31.0,1400.0,1190.0,1620.0,9.2,5.0,18.0,6.5,5.5,7.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1032.138,39.71148682,-4.02276681,60..100cm,20.0,6.0,31.0,61.0,39.0,87.0,20.0,5.0,32.0,1420.0,1230.0,1640.0,8.4,3.3,19.9,6.6,5.0,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2064.275,39.70289411,-4.02452942,0..30cm,9.0,4.0,14.0,81.0,73.0,90.0,9.0,5.0,16.0,1420.0,1260.0,1570.0,6.5,3.0,13.1,6.6,5.4,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2064.275,39.70289411,-4.02452942,30..60cm,9.0,3.0,13.0,83.0,72.0,92.0,8.0,1.0,14.0,1460.0,1250.0,1650.0,4.5,2.3,7.3,6.5,5.4,7.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2064.275,39.70289411,-4.02452942,60..100cm,9.0,3.0,14.0,83.0,69.0,91.0,9.0,2.0,15.0,1480.0,1300.0,1700.0,4.8,2.0,12.4,6.6,5.0,8.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3096.413,39.69466233,-4.02756221,0..30cm,12.0,6.0,17.0,77.0,66.0,90.0,11.0,1.0,18.0,1390.0,1250.0,1530.0,6.9,3.8,13.1,6.6,5.4,7.9
