sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,36.98573407,-0.43825388,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,36.98573407,-0.43825388,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,36.98573407,-0.43825388,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,36.98564417,-0.43816384,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,36.98564417,-0.43816384,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,36.98564417,-0.43816384,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,36.98555423,-0.43807391,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,36.98555423,-0.43807391,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,36.98555423,-0.43807391,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,36.98555423,-0.43807391,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,36.98555423,-0.43807391,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,36.98555423,-0.43807391,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,38.3,36.98546431,-0.43807391,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,38.3,36.98546431,-0.43807391,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,38.3,36.98546431,-0.43807391,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,48.3,36.98537439,-0.43807391,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,48.3,36.98537439,-0.43807391,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,48.3,36.98537439,-0.43807391,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,48.3,36.98537439,-0.43807391,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,48.3,36.98537439,-0.43807391,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,48.3,36.98537439,-0.43807391,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,58.3,36.98528448,-0.43807391,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,58.3,36.98528448,-0.43807391,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,elevated,58.3,36.98528448,-0.43807391,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,68.3,36.98519471,-0.43807355,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,68.3,36.98519471,-0.43807355,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,elevated,68.3,36.98519471,-0.43807355,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,at-grade,68.3,36.98519471,-0.43807355,0..30cm,34.0,26.0,43.0,38.0,19.0,55.0,27.0,17.0,38.0,1200.0,1050.0,1370.0,17.9,12.7,26.6,5.8,4.8,6.7
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,at-grade,68.3,36.98519471,-0.43807355,30..60cm,35.0,25.0,46.0,38.0,17.0,53.0,27.0,15.0,41.0,1230.0,1090.0,1350.0,11.3,6.8,18.9,5.8,4.8,6.7
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,at-grade,68.3,36.98519471,-0.43807355,60..100cm,35.0,25.0,46.0,37.0,21.0,52.0,27.0,15.0,41.0,1200.0,980.0,1360.0,7.7,3.9,14.1,5.8,4.9,6.8
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,at-grade,1069.773,36.97814658,-0.4383923,0..30cm,32.0,22.0,40.0,43.0,24.0,64.0,25.0,16.0,35.0,1190.0,1060.0,1350.0,19.7,13.3,27.7,5.7,4.7,6.6
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,at-grade,1069.773,36.97814658,-0.4383923,30..60cm,34.0,24.0,43.0,42.0,29.0,59.0,24.0,14.0,34.0,1210.0,1090.0,1340.0,12.0,8.2,16.6,5.6,4.7,6.6
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,at-grade,1069.773,36.97814658,-0.4383923,60..100cm,34.0,24.0,44.0,41.0,24.0,60.0,25.0,13.0,35.0,1190.0,1020.0,1400.0,7.9,4.8,13.3,5.7,4.7,6.8
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,at-grade,2071.246,36.9707694,-0.43447459,0..30cm,31.0,18.0,44.0,46.0,24.0,69.0,24.0,11.0,35.0,1210.0,1040.0,1370.0,13.2,9.1,18.8,5.9,5.1,6.9
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,at-grade,2071.246,36.9707694,-0.43447459,30..60cm,34.0,21.0,46.0,44.0,24.0,65.0,23.0,10.0,37.0,1210.0,1030.0,1340.0,9.8,5.5,13.8,5.9,5.1,6.8
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,at-grade,2071.246,36.9707694,-0.43447459,60..100cm,34.0,21.0,47.0,43.0,23.0,60.0,23.0,10.0,36.0,1170.0,970.0,1410.0,7.2,3.5,12.5,5.9,5.1,6.7
segment:line-1-civil-004:0003,civil_segment,line-1-civil-004,line-1,at-grade,2601.2,36.9665321,-0.43321483,0..30cm,32.0,20.0,44.0,44.0,23.0,63.0,24.0,11.0,37.0,1180.0,1030.0,1350.0,12.2,7.0,19.2,5.9,5.1,6.7
segment:line-1-civil-004:0003,civil_segment,line-1-civil-004,line-1,at-grade,2601.2,36.9665321,-0.43321483,30..60cm,36.0,20.0,48.0,41.0,19.0,63.0,24.0,10.0,38.0,1190.0,1000.0,1350.0,8.7,4.8,15.2,5.9,5.1,6.7
segment:line-1-civil-004:0003,civil_segment,line-1-civil-004,line-1,at-grade,2601.2,36.9665321,-0.43321483,60..100cm,36.0,22.0,47.0,40.0,19.0,63.0,24.0,10.0,38.0,1160.0,970.0,1420.0,7.1,3.8,13.0,5.9,5.2,6.8
