sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.54374209,-25.94295936,0..30cm,19.0,8.0,29.0,69.0,49.0,89.0,12.0,2.0,23.0,1320.0,1080.0,1480.0,7.2,3.9,12.7,6.7,5.5,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.54374209,-25.94295936,30..60cm,21.0,10.0,33.0,67.0,43.0,89.0,12.0,0.0,24.0,1450.0,1310.0,1600.0,5.2,2.7,8.6,6.7,5.5,8.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.54374209,-25.94295936,60..100cm,22.0,10.0,36.0,65.0,42.0,87.0,13.0,0.0,24.0,1460.0,1290.0,1660.0,4.2,2.2,7.8,6.8,5.0,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,32.54363744,-25.94314801,0..30cm,18.0,8.0,29.0,71.0,51.0,90.0,11.0,0.0,23.0,1310.0,1080.0,1510.0,7.4,4.8,12.6,6.6,5.3,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,32.54363744,-25.94314801,30..60cm,20.0,10.0,31.0,69.0,44.0,89.0,11.0,0.0,24.0,1430.0,1260.0,1590.0,5.1,2.7,8.8,6.6,5.3,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,32.54363744,-25.94314801,60..100cm,21.0,9.0,36.0,67.0,43.0,87.0,12.0,0.0,24.0,1450.0,1290.0,1650.0,4.2,1.9,7.1,6.8,5.0,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,32.54352094,-25.9433193,0..30cm,18.0,8.0,29.0,71.0,51.0,90.0,11.0,0.0,23.0,1310.0,1080.0,1510.0,7.4,4.8,12.6,6.6,5.3,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,32.54352094,-25.9433193,30..60cm,20.0,10.0,31.0,69.0,44.0,89.0,11.0,0.0,24.0,1430.0,1260.0,1590.0,5.1,2.7,8.8,6.6,5.3,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,32.54352094,-25.9433193,60..100cm,21.0,9.0,36.0,67.0,43.0,87.0,12.0,0.0,24.0,1450.0,1290.0,1650.0,4.2,1.9,7.1,6.8,5.0,8.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,48.3,32.54352094,-25.9433193,0..30cm,18.0,8.0,29.0,71.0,51.0,90.0,11.0,0.0,23.0,1310.0,1080.0,1510.0,7.4,4.8,12.6,6.6,5.3,8.1
