sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,40.48399085,-12.96235929,0..30cm,22.0,5.0,39.0,64.0,29.0,92.0,14.0,0.0,30.0,1290.0,1060.0,1480.0,5.9,2.8,9.5,6.3,5.3,7.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,40.48399085,-12.96235929,30..60cm,24.0,6.0,43.0,63.0,23.0,93.0,13.0,0.0,35.0,1290.0,1070.0,1540.0,4.4,1.8,8.6,6.5,5.6,7.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,40.48399085,-12.96235929,60..100cm,23.0,6.0,38.0,64.0,31.0,93.0,13.0,0.0,33.0,1230.0,830.0,1600.0,3.9,1.4,8.7,6.8,5.2,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,40.484018,-12.96215283,0..30cm,23.0,5.0,37.0,63.0,34.0,92.0,14.0,0.0,28.0,1280.0,1060.0,1470.0,6.1,3.4,9.7,6.4,5.4,7.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,40.484018,-12.96215283,30..60cm,25.0,6.0,43.0,61.0,24.0,92.0,14.0,0.0,34.0,1300.0,1070.0,1550.0,4.5,2.3,8.6,6.5,5.6,7.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,40.484018,-12.96215283,60..100cm,24.0,6.0,42.0,63.0,31.0,93.0,13.0,0.0,33.0,1220.0,820.0,1600.0,4.1,1.7,8.7,6.8,5.2,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,40.48417521,-12.96199937,0..30cm,22.0,5.0,35.0,64.0,32.0,93.0,14.0,0.0,30.0,1290.0,1060.0,1480.0,6.0,3.1,11.6,6.4,5.4,7.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,40.48417521,-12.96199937,30..60cm,25.0,6.0,43.0,61.0,24.0,93.0,14.0,0.0,36.0,1310.0,1090.0,1550.0,4.6,1.8,9.4,6.5,5.6,7.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,40.48417521,-12.96199937,60..100cm,24.0,5.0,42.0,62.0,28.0,93.0,14.0,0.0,36.0,1240.0,830.0,1600.0,4.1,1.4,9.2,6.8,5.2,8.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,48.3,40.48417521,-12.96199937,0..30cm,22.0,5.0,35.0,64.0,32.0,93.0,14.0,0.0,30.0,1290.0,1060.0,1480.0,6.0,3.1,11.6,6.4,5.4,7.3
