sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.9194598,-17.84671736,0..30cm,24.0,10.0,38.0,62.0,38.0,86.0,14.0,1.0,25.0,1280.0,1080.0,1450.0,7.3,4.4,11.2,6.5,5.6,7.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.9194598,-17.84671736,30..60cm,26.0,10.0,40.0,61.0,33.0,87.0,13.0,0.0,28.0,1260.0,1000.0,1530.0,4.7,2.8,7.2,6.7,5.8,8.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,36.9194598,-17.84671736,60..100cm,27.0,10.0,40.0,60.0,27.0,87.0,12.0,0.0,30.0,1220.0,790.0,1620.0,4.4,2.1,9.5,6.8,5.5,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.998,36.91175198,-17.84470714,0..30cm,27.0,14.0,43.0,57.0,29.0,82.0,16.0,4.0,29.0,1250.0,1010.0,1460.0,9.0,5.6,13.4,6.7,5.9,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.998,36.91175198,-17.84470714,30..60cm,29.0,12.0,44.0,55.0,26.0,86.0,16.0,1.0,30.0,1220.0,840.0,1470.0,5.7,3.3,9.3,6.8,6.0,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.998,36.91175198,-17.84470714,60..100cm,31.0,12.0,45.0,55.0,24.0,87.0,15.0,0.0,31.0,1150.0,760.0,1540.0,5.5,2.7,10.2,6.8,5.7,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.995,36.90527702,-17.85105981,0..30cm,27.0,13.0,43.0,57.0,27.0,82.0,16.0,2.0,31.0,1280.0,1070.0,1430.0,7.9,4.4,13.1,6.6,5.7,7.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.995,36.90527702,-17.85105981,30..60cm,29.0,12.0,43.0,55.0,28.0,86.0,15.0,0.0,29.0,1230.0,910.0,1490.0,5.6,2.7,9.0,6.8,5.7,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.995,36.90527702,-17.85105981,60..100cm,31.0,12.0,49.0,54.0,21.0,84.0,15.0,0.0,31.0,1140.0,760.0,1530.0,5.5,2.5,11.3,6.8,5.1,8.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2928.9,36.89987233,-17.85693207,0..30cm,29.0,12.0,45.0,53.0,19.0,80.0,18.0,2.0,34.0,1300.0,1160.0,1450.0,6.4,3.2,10.8,6.7,5.7,7.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2928.9,36.89987233,-17.85693207,30..60cm,30.0,12.0,44.0,53.0,26.0,86.0,16.0,0.0,30.0,1300.0,1010.0,1540.0,3.8,1.6,6.8,6.8,5.7,8.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2928.9,36.89987233,-17.85693207,60..100cm,31.0,12.0,48.0,53.0,16.0,87.0,16.0,0.0,32.0,1220.0,770.0,1620.0,3.8,1.9,6.3,6.8,5.1,8.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3005.993,36.89949106,-17.8574755,0..30cm,29.0,12.0,46.0,55.0,25.0,80.0,17.0,2.0,34.0,1290.0,1100.0,1460.0,6.9,3.4,11.9,6.6,5.6,7.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3005.993,36.89949106,-17.8574755,30..60cm,30.0,12.0,44.0,55.0,27.0,86.0,15.0,0.0,30.0,1280.0,980.0,1530.0,4.4,2.5,7.6,6.7,5.7,8.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3005.993,36.89949106,-17.8574755,60..100cm,31.0,12.0,43.0,55.0,21.0,87.0,15.0,0.0,32.0,1210.0,770.0,1620.0,4.5,1.8,9.1,6.8,5.0,8.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4007.99,36.89529615,-17.86407372,0..30cm,28.0,12.0,43.0,55.0,27.0,80.0,17.0,2.0,32.0,1290.0,1100.0,1430.0,6.6,3.1,10.3,6.7,5.6,7.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4007.99,36.89529615,-17.86407372,30..60cm,30.0,12.0,43.0,54.0,29.0,87.0,15.0,0.0,28.0,1290.0,1030.0,1550.0,3.7,1.8,6.6,6.9,5.7,8.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4007.99,36.89529615,-17.86407372,60..100cm,31.0,13.0,44.0,54.0,20.0,87.0,15.0,0.0,31.0,1230.0,790.0,1610.0,3.6,1.7,6.3,6.9,5.1,8.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5009.988,36.89391924,-17.87137273,0..30cm,27.0,11.0,41.0,58.0,26.0,84.0,16.0,3.0,31.0,1290.0,1100.0,1460.0,7.4,3.5,12.2,6.6,5.6,7.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5009.988,36.89391924,-17.87137273,30..60cm,29.0,12.0,41.0,57.0,32.0,87.0,14.0,0.0,26.0,1280.0,1010.0,1510.0,4.4,2.5,7.0,6.8,5.7,8.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5009.988,36.89391924,-17.87137273,60..100cm,30.0,13.0,50.0,55.0,18.0,87.0,15.0,0.0,32.0,1220.0,780.0,1620.0,4.3,2.0,7.5,6.8,5.0,8.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5857.8,36.8896328,-17.87677032,0..30cm,28.0,12.0,45.0,54.0,22.0,79.0,18.0,6.0,31.0,1320.0,1190.0,1470.0,6.7,3.4,11.6,6.6,5.5,7.9
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5857.8,36.8896328,-17.87677032,30..60cm,30.0,13.0,43.0,53.0,27.0,83.0,17.0,2.0,29.0,1290.0,1010.0,1530.0,3.9,2.2,6.3,6.9,5.8,8.3
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,5857.8,36.8896328,-17.87677032,60..100cm,32.0,13.0,52.0,51.0,13.0,85.0,17.0,0.0,34.0,1200.0,780.0,1630.0,4.0,1.7,8.0,7.0,5.3,8.5
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5857.8,36.8896328,-17.87677032,0..30cm,28.0,12.0,45.0,54.0,22.0,79.0,18.0,6.0,31.0,1320.0,1190.0,1470.0,6.7,3.4,11.6,6.6,5.5,7.9
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5857.8,36.8896328,-17.87677032,30..60cm,30.0,13.0,43.0,53.0,27.0,83.0,17.0,2.0,29.0,1290.0,1010.0,1530.0,3.9,2.2,6.3,6.9,5.8,8.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5857.8,36.8896328,-17.87677032,60..100cm,32.0,13.0,52.0,51.0,13.0,85.0,17.0,0.0,34.0,1200.0,780.0,1630.0,4.0,1.7,8.0,7.0,5.3,8.5
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,5871.95,36.88953939,-17.87686077,0..30cm,28.0,12.0,45.0,54.0,22.0,79.0,18.0,6.0,31.0,1320.0,1190.0,1470.0,6.7,3.4,11.6,6.6,5.5,7.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,5871.95,36.88953939,-17.87686077,30..60cm,30.0,13.0,43.0,53.0,27.0,83.0,17.0,2.0,29.0,1290.0,1010.0,1530.0,3.9,2.2,6.3,6.9,5.8,8.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,5871.95,36.88953939,-17.87686077,60..100cm,32.0,13.0,52.0,51.0,13.0,85.0,17.0,0.0,34.0,1200.0,780.0,1630.0,4.0,1.7,8.0,7.0,5.3,8.5
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,5886.1,36.88944494,-17.8769508,0..30cm,28.0,12.0,45.0,54.0,22.0,79.0,18.0,6.0,31.0,1320.0,1190.0,1470.0,6.7,3.4,11.6,6.6,5.5,7.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,5886.1,36.88944494,-17.8769508,30..60cm,30.0,13.0,43.0,53.0,27.0,83.0,17.0,2.0,29.0,1290.0,1010.0,1530.0,3.9,2.2,6.3,6.9,5.8,8.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,5886.1,36.88944494,-17.8769508,60..100cm,32.0,13.0,52.0,51.0,13.0,85.0,17.0,0.0,34.0,1200.0,780.0,1630.0,4.0,1.7,8.0,7.0,5.3,8.5
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,5886.1,36.88944494,-17.8769508,0..30cm,28.0,12.0,45.0,54.0,22.0,79.0,18.0,6.0,31.0,1320.0,1190.0,1470.0,6.7,3.4,11.6,6.6,5.5,7.9
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,5886.1,36.88944494,-17.8769508,30..60cm,30.0,13.0,43.0,53.0,27.0,83.0,17.0,2.0,29.0,1290.0,1010.0,1530.0,3.9,2.2,6.3,6.9,5.8,8.3
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,5886.1,36.88944494,-17.8769508,60..100cm,32.0,13.0,52.0,51.0,13.0,85.0,17.0,0.0,34.0,1200.0,780.0,1630.0,4.0,1.7,8.0,7.0,5.3,8.5
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,5986.8,36.88890622,-17.87764434,0..30cm,27.0,12.0,46.0,56.0,20.0,81.0,17.0,5.0,33.0,1300.0,1120.0,1460.0,8.0,3.7,12.7,6.6,5.5,7.8
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,5986.8,36.88890622,-17.87764434,30..60cm,29.0,12.0,43.0,55.0,27.0,87.0,16.0,0.0,31.0,1280.0,990.0,1540.0,5.0,2.5,6.8,6.9,5.7,8.3
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,5986.8,36.88890622,-17.87764434,60..100cm,31.0,12.0,50.0,53.0,10.0,87.0,16.0,0.0,34.0,1230.0,810.0,1640.0,4.0,1.7,6.7,7.1,5.6,8.3
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,6087.5,36.88831296,-17.87821144,0..30cm,28.0,11.0,45.0,54.0,22.0,81.0,18.0,6.0,33.0,1310.0,1150.0,1470.0,6.6,3.2,10.8,6.5,5.5,7.7
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,6087.5,36.88831296,-17.87821144,30..60cm,30.0,12.0,43.0,53.0,26.0,87.0,17.0,0.0,33.0,1290.0,1010.0,1520.0,4.1,1.9,6.6,6.8,5.7,8.3
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,6087.5,36.88831296,-17.87821144,60..100cm,32.0,12.0,50.0,51.0,10.0,87.0,17.0,0.0,35.0,1220.0,840.0,1620.0,4.3,1.5,8.0,7.0,5.6,8.3
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6087.5,36.88831296,-17.87821144,0..30cm,28.0,11.0,45.0,54.0,22.0,81.0,18.0,6.0,33.0,1310.0,1150.0,1470.0,6.6,3.2,10.8,6.5,5.5,7.7
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6087.5,36.88831296,-17.87821144,30..60cm,30.0,12.0,43.0,53.0,26.0,87.0,17.0,0.0,33.0,1290.0,1010.0,1520.0,4.1,1.9,6.6,6.8,5.7,8.3
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6087.5,36.88831296,-17.87821144,60..100cm,32.0,12.0,50.0,51.0,10.0,87.0,17.0,0.0,35.0,1220.0,840.0,1620.0,4.3,1.5,8.0,7.0,5.6,8.3
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,6097.5,36.8884042,-17.87821144,0..30cm,28.0,11.0,45.0,54.0,22.0,81.0,18.0,6.0,33.0,1310.0,1150.0,1470.0,6.6,3.2,10.8,6.5,5.5,7.7
