asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality,product_family
HOI-SYS-001,hoima,system,whole railway,Hoima railway system,,,,,,"1.3643,31.2849 to 1.4995,31.4201",system,
HOI-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-019,line-1-019,rolling-stock,revenue,line-1 trainset 019,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-020,line-1-020,rolling-stock,revenue,line-1 trainset 020,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-021,line-1-021,rolling-stock,revenue,line-1 trainset 021,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-022,line-1-022,rolling-stock,spare,line-1 trainset 022,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-023,line-1-023,rolling-stock,spare,line-1 trainset 023,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L1-024,line-1-024,rolling-stock,cold-reserve,line-1 trainset 024,line-1,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-001,line-2-001,rolling-stock,revenue,line-2 trainset 001,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-002,line-2-002,rolling-stock,revenue,line-2 trainset 002,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-003,line-2-003,rolling-stock,revenue,line-2 trainset 003,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-004,line-2-004,rolling-stock,revenue,line-2 trainset 004,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-005,line-2-005,rolling-stock,revenue,line-2 trainset 005,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-006,line-2-006,rolling-stock,revenue,line-2 trainset 006,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-007,line-2-007,rolling-stock,revenue,line-2 trainset 007,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-008,line-2-008,rolling-stock,revenue,line-2 trainset 008,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-009,line-2-009,rolling-stock,revenue,line-2 trainset 009,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-010,line-2-010,rolling-stock,revenue,line-2 trainset 010,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-011,line-2-011,rolling-stock,revenue,line-2 trainset 011,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-012,line-2-012,rolling-stock,revenue,line-2 trainset 012,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-013,line-2-013,rolling-stock,revenue,line-2 trainset 013,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-014,line-2-014,rolling-stock,revenue,line-2 trainset 014,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-015,line-2-015,rolling-stock,revenue,line-2 trainset 015,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-016,line-2-016,rolling-stock,revenue,line-2 trainset 016,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-017,line-2-017,rolling-stock,revenue,line-2 trainset 017,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-018,line-2-018,rolling-stock,revenue,line-2 trainset 018,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-019,line-2-019,rolling-stock,revenue,line-2 trainset 019,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-020,line-2-020,rolling-stock,spare,line-2 trainset 020,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L2-021,line-2-021,rolling-stock,cold-reserve,line-2 trainset 021,line-2,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-001,line-3-001,rolling-stock,revenue,line-3 trainset 001,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-002,line-3-002,rolling-stock,revenue,line-3 trainset 002,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-003,line-3-003,rolling-stock,revenue,line-3 trainset 003,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-004,line-3-004,rolling-stock,revenue,line-3 trainset 004,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-005,line-3-005,rolling-stock,revenue,line-3 trainset 005,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-006,line-3-006,rolling-stock,revenue,line-3 trainset 006,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-007,line-3-007,rolling-stock,revenue,line-3 trainset 007,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-008,line-3-008,rolling-stock,revenue,line-3 trainset 008,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-009,line-3-009,rolling-stock,revenue,line-3 trainset 009,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-010,line-3-010,rolling-stock,revenue,line-3 trainset 010,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-011,line-3-011,rolling-stock,revenue,line-3 trainset 011,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-012,line-3-012,rolling-stock,revenue,line-3 trainset 012,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-013,line-3-013,rolling-stock,revenue,line-3 trainset 013,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-014,line-3-014,rolling-stock,revenue,line-3 trainset 014,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-015,line-3-015,rolling-stock,spare,line-3 trainset 015,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-RS-L3-016,line-3-016,rolling-stock,cold-reserve,line-3 trainset 016,line-3,HOI-SYS-001,,,,fleet,service,tram-2car
HOI-ST-001,line-1-0437-0399-s000000,station,terminal,Hoima Women’s Family Hospital,line-1,HOI-SYS-001,line-1-0437-0399-s000000,0.000,0.000,"1.420765, 31.356697",public,
HOI-ST-002,line-1-0372-0374-s002051,station,interchange,Bunyoro kitara kingdom plaza,line-1,HOI-SYS-001,line-1-0372-0374-s002051,2.051,2.051,"1.432463, 31.352205",public,
HOI-ST-003,line-1-0296-0314-s004635,station,standard,line-1-0296-0314-s004635,line-1,HOI-SYS-001,line-1-0296-0314-s004635,4.635,4.635,"1.446140, 31.341421",public,
HOI-ST-004,line-1-0091-0118-s011307,station,depot-terminal,Karongo health Centre 3,line-1,HOI-SYS-001,line-1-0091-0118-s011307,11.307,11.307,"1.483033, 31.306197",public,
HOI-ST-005,line-2-0521-0676-s000000,station,terminal,BUHANIKA,line-2,HOI-SYS-001,line-2-0521-0676-s000000,0.000,0.000,"1.405648, 31.406479",public,
HOI-ST-006,line-2-0433-0448-s006249,station,standard,line-2-0433-0448-s006249,line-2,HOI-SYS-001,line-2-0433-0448-s006249,6.249,6.249,"1.421485, 31.365504",public,
HOI-ST-007,line-2-0372-0374-s009276,station,interchange,Bunyoro kitara kingdom plaza,line-2,HOI-SYS-001,line-2-0372-0374-s009276,9.276,9.276,"1.432463, 31.352205",public,
HOI-ST-008,line-2-0315-0387-s010668,station,terminal,BUJUMBURA HEALTH CENTRE,line-2,HOI-SYS-001,line-2-0315-0387-s010668,10.668,10.668,"1.442721, 31.354541",public,
HOI-ST-009,line-3-0389-0349-s000000,station,terminal,UGANDA MUSLIM SUPREME COUNCIL HEALTH CENTRE 11,line-3,HOI-SYS-001,line-3-0389-0349-s000000,0.000,0.000,"1.429403, 31.347712",public,
HOI-ST-010,line-3-0353-0461-s003570,station,standard,line-3-0353-0461-s003570,line-3,HOI-SYS-001,line-3-0353-0461-s003570,3.570,3.570,"1.435882, 31.367840",public,
HOI-ST-011,line-3-0357-0605-s007141,station,terminal,Hoima City Stadium,line-3,HOI-SYS-001,line-3-0357-0605-s007141,7.141,7.141,"1.435162, 31.393719",public,
HOI-TRK-L1-001,line-1-0437-0399-s000000--line-1-0372-0374-s002051,track-section,standard-urban,line-1 section 001,line-1,HOI-SYS-001,line-1-0437-0399-s000000 to line-1-0372-0374-s002051,0.000,2.051,Hoima Women’s Family Hospital to Bunyoro kitara kingdom plaza,safety,
HOI-WPT-L1-001,w-node-line-1-0437-0399-s000000--line-1-0372-0374-s002051,waypoint,wayside-node,line-1 waypoint 001,line-1,HOI-TRK-L1-001,line-1-0437-0399-s000000 to line-1-0372-0374-s002051,1.026,1.026,Hoima Women’s Family Hospital to Bunyoro kitara kingdom plaza midpoint W-Node,safety,
HOI-TRK-L1-002,line-1-0372-0374-s002051--line-1-0296-0314-s004635,track-section,standard-urban,line-1 section 002,line-1,HOI-SYS-001,line-1-0372-0374-s002051 to line-1-0296-0314-s004635,2.051,4.635,Bunyoro kitara kingdom plaza to line-1-0296-0314-s004635,safety,
HOI-WPT-L1-002,w-node-line-1-0372-0374-s002051--line-1-0296-0314-s004635,waypoint,wayside-node,line-1 waypoint 002,line-1,HOI-TRK-L1-002,line-1-0372-0374-s002051 to line-1-0296-0314-s004635,3.343,3.343,Bunyoro kitara kingdom plaza to line-1-0296-0314-s004635 midpoint W-Node,safety,
HOI-TRK-L1-003,line-1-0296-0314-s004635--line-1-0091-0118-s011307,track-section,standard-urban,line-1 section 003,line-1,HOI-SYS-001,line-1-0296-0314-s004635 to line-1-0091-0118-s011307,4.635,11.307,line-1-0296-0314-s004635 to Karongo health Centre 3,safety,
HOI-WPT-L1-003,w-node-line-1-0296-0314-s004635--line-1-0091-0118-s011307,waypoint,wayside-node,line-1 waypoint 003,line-1,HOI-TRK-L1-003,line-1-0296-0314-s004635 to line-1-0091-0118-s011307,7.971,7.971,line-1-0296-0314-s004635 to Karongo health Centre 3 midpoint W-Node,safety,
HOI-TRK-L2-001,line-2-0521-0676-s000000--line-2-0433-0448-s006249,track-section,standard-urban,line-2 section 001,line-2,HOI-SYS-001,line-2-0521-0676-s000000 to line-2-0433-0448-s006249,0.000,6.249,BUHANIKA to line-2-0433-0448-s006249,safety,
HOI-WPT-L2-001,w-node-line-2-0521-0676-s000000--line-2-0433-0448-s006249,waypoint,wayside-node,line-2 waypoint 001,line-2,HOI-TRK-L2-001,line-2-0521-0676-s000000 to line-2-0433-0448-s006249,3.124,3.124,BUHANIKA to line-2-0433-0448-s006249 midpoint W-Node,safety,
HOI-TRK-L2-002,line-2-0433-0448-s006249--line-2-0372-0374-s009276,track-section,standard-urban,line-2 section 002,line-2,HOI-SYS-001,line-2-0433-0448-s006249 to line-2-0372-0374-s009276,6.249,9.276,line-2-0433-0448-s006249 to Bunyoro kitara kingdom plaza,safety,
HOI-WPT-L2-002,w-node-line-2-0433-0448-s006249--line-2-0372-0374-s009276,waypoint,wayside-node,line-2 waypoint 002,line-2,HOI-TRK-L2-002,line-2-0433-0448-s006249 to line-2-0372-0374-s009276,7.762,7.762,line-2-0433-0448-s006249 to Bunyoro kitara kingdom plaza midpoint W-Node,safety,
HOI-TRK-L2-003,line-2-0372-0374-s009276--line-2-0315-0387-s010668,track-section,standard-urban,line-2 section 003,line-2,HOI-SYS-001,line-2-0372-0374-s009276 to line-2-0315-0387-s010668,9.276,10.668,Bunyoro kitara kingdom plaza to BUJUMBURA HEALTH CENTRE,safety,
HOI-WPT-L2-003,w-node-line-2-0372-0374-s009276--line-2-0315-0387-s010668,waypoint,wayside-node,line-2 waypoint 003,line-2,HOI-TRK-L2-003,line-2-0372-0374-s009276 to line-2-0315-0387-s010668,9.972,9.972,Bunyoro kitara kingdom plaza to BUJUMBURA HEALTH CENTRE midpoint W-Node,safety,
HOI-TRK-L3-001,line-3-0389-0349-s000000--line-3-0353-0461-s003570,track-section,standard-urban,line-3 section 001,line-3,HOI-SYS-001,line-3-0389-0349-s000000 to line-3-0353-0461-s003570,0.000,3.570,UGANDA MUSLIM SUPREME COUNCIL HEALTH CENTRE 11 to line-3-0353-0461-s003570,safety,
HOI-WPT-L3-001,w-node-line-3-0389-0349-s000000--line-3-0353-0461-s003570,waypoint,wayside-node,line-3 waypoint 001,line-3,HOI-TRK-L3-001,line-3-0389-0349-s000000 to line-3-0353-0461-s003570,1.785,1.785,UGANDA MUSLIM SUPREME COUNCIL HEALTH CENTRE 11 to line-3-0353-0461-s003570 midpoint W-Node,safety,
HOI-TRK-L3-002,line-3-0353-0461-s003570--line-3-0357-0605-s007141,track-section,standard-urban,line-3 section 002,line-3,HOI-SYS-001,line-3-0353-0461-s003570 to line-3-0357-0605-s007141,3.570,7.141,line-3-0353-0461-s003570 to Hoima City Stadium,safety,
HOI-WPT-L3-002,w-node-line-3-0353-0461-s003570--line-3-0357-0605-s007141,waypoint,wayside-node,line-3 waypoint 002,line-3,HOI-TRK-L3-002,line-3-0353-0461-s003570 to line-3-0357-0605-s007141,5.356,5.356,line-3-0353-0461-s003570 to Hoima City Stadium midpoint W-Node,safety,
HOI-SW-001,sw-line-1-0437-0399-s000000-tb,switch,no-9-mainline,sw-line-1-0437-0399-s000000-tb,line-1,HOI-ST-001,line-1-0437-0399-s000000,,,line-1-0437-0399-s000000 turnback,safety,
