file_role,package_revision,file_path,sha256,capture_date,coordinate_system,vertical_datum,producer,checker,acceptance_status
ground_model_readiness,,,,,,,,,not-received
surveyed_alignment_readiness,,,,,,,,,not-received
utility_coordination,,,,,,,,,not-received
land_access,,,,,,,,,not-received
flood_drainage,,,,,,,,,not-received
station_access,,,,,,,,,not-received
intercity_yard_integration,,,,,,,,,not-received
road_traffic_management,,,,,,,,,not-received
construction_logistics,,,,,,,,,not-received
possession_staging,,,,,,,,,not-received
route_fit_verification_report,,,,,,,,,not-received
route_fit_issue_register,,,,,,,,,not-received
route_fit_acceptance_record,,,,,,,,,not-received
