sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,34.17568095,1.03490825,0..30cm,33.0,21.0,42.0,40.0,22.0,56.0,27.0,11.0,39.0,1070.0,860.0,1290.0,23.8,14.3,38.4,6.3,5.6,7.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,34.17568095,1.03490825,30..60cm,36.0,22.0,48.0,41.0,20.0,60.0,24.0,6.0,35.0,1140.0,950.0,1360.0,11.6,7.1,19.2,6.2,5.5,7.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,34.17568095,1.03490825,60..100cm,37.0,21.0,50.0,39.0,19.0,59.0,24.0,6.0,36.0,1170.0,1000.0,1350.0,7.8,3.7,12.8,6.2,5.4,7.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.746,34.17838048,1.04030724,0..30cm,29.0,18.0,39.0,47.0,34.0,62.0,25.0,14.0,36.0,1120.0,920.0,1300.0,11.2,5.7,23.8,6.4,5.4,7.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.746,34.17838048,1.04030724,30..60cm,31.0,18.0,43.0,48.0,28.0,65.0,21.0,9.0,36.0,1160.0,950.0,1390.0,7.4,3.8,11.9,6.5,5.5,7.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.746,34.17838048,1.04030724,60..100cm,31.0,15.0,44.0,49.0,28.0,74.0,20.0,4.0,38.0,1190.0,960.0,1390.0,6.4,3.4,13.0,6.4,5.4,7.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.493,34.17765757,1.04803806,0..30cm,29.0,18.0,39.0,44.0,29.0,58.0,27.0,14.0,41.0,1120.0,860.0,1350.0,12.7,6.7,20.5,6.5,5.6,7.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.493,34.17765757,1.04803806,30..60cm,32.0,18.0,45.0,43.0,25.0,59.0,25.0,12.0,40.0,1160.0,930.0,1410.0,7.5,4.5,11.2,6.5,5.4,7.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.493,34.17765757,1.04803806,60..100cm,33.0,18.0,48.0,42.0,22.0,64.0,24.0,5.0,40.0,1180.0,990.0,1380.0,6.3,3.4,13.1,6.5,5.4,7.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2246.95,34.17661402,1.04927089,0..30cm,30.0,20.0,39.0,41.0,26.0,58.0,28.0,16.0,41.0,1120.0,900.0,1300.0,15.4,9.2,23.3,6.5,5.7,7.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2246.95,34.17661402,1.04927089,30..60cm,34.0,21.0,44.0,41.0,23.0,58.0,25.0,11.0,45.0,1170.0,960.0,1370.0,8.4,5.2,14.0,6.5,5.6,7.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2246.95,34.17661402,1.04927089,60..100cm,35.0,20.0,49.0,40.0,19.0,61.0,25.0,9.0,45.0,1200.0,1000.0,1400.0,6.6,3.4,12.5,6.5,5.4,7.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3005.239,34.17179285,1.05409938,0..30cm,29.0,19.0,39.0,42.0,26.0,63.0,29.0,18.0,42.0,1100.0,900.0,1290.0,18.1,11.6,30.0,6.5,5.7,7.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3005.239,34.17179285,1.05409938,30..60cm,33.0,22.0,45.0,40.0,23.0,61.0,26.0,13.0,45.0,1160.0,970.0,1360.0,10.8,5.4,20.0,6.5,5.6,7.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3005.239,34.17179285,1.05409938,60..100cm,35.0,20.0,48.0,38.0,17.0,61.0,27.0,10.0,46.0,1170.0,960.0,1390.0,7.4,4.5,14.1,6.5,5.6,7.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4006.985,34.1648274,1.05902372,0..30cm,28.0,18.0,38.0,43.0,22.0,64.0,28.0,14.0,42.0,1100.0,870.0,1310.0,18.3,11.6,26.2,6.5,5.8,7.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4006.985,34.1648274,1.05902372,30..60cm,32.0,19.0,43.0,41.0,20.0,64.0,27.0,15.0,44.0,1160.0,1010.0,1400.0,10.5,6.1,18.1,6.5,5.7,7.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4006.985,34.1648274,1.05902372,60..100cm,33.0,19.0,46.0,39.0,17.0,65.0,27.0,6.0,45.0,1190.0,1010.0,1390.0,7.1,4.4,12.1,6.5,5.8,7.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4493.9,34.1609461,1.06004119,0..30cm,29.0,18.0,40.0,42.0,22.0,68.0,29.0,13.0,42.0,1140.0,950.0,1330.0,15.8,10.5,22.4,6.5,5.7,7.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4493.9,34.1609461,1.06004119,30..60cm,33.0,19.0,42.0,39.0,19.0,64.0,28.0,11.0,47.0,1190.0,1020.0,1360.0,9.0,5.4,14.2,6.5,5.7,7.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4493.9,34.1609461,1.06004119,60..100cm,34.0,19.0,44.0,38.0,16.0,62.0,28.0,9.0,48.0,1210.0,1080.0,1390.0,6.4,3.7,11.4,6.5,5.7,7.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,4493.9,34.1609461,1.06004119,0..30cm,29.0,18.0,40.0,42.0,22.0,68.0,29.0,13.0,42.0,1140.0,950.0,1330.0,15.8,10.5,22.4,6.5,5.7,7.1
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,4493.9,34.1609461,1.06004119,30..60cm,33.0,19.0,42.0,39.0,19.0,64.0,28.0,11.0,47.0,1190.0,1020.0,1360.0,9.0,5.4,14.2,6.5,5.7,7.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,4493.9,34.1609461,1.06004119,60..100cm,34.0,19.0,44.0,38.0,16.0,62.0,28.0,9.0,48.0,1210.0,1080.0,1390.0,6.4,3.7,11.4,6.5,5.7,7.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4503.9,34.1609461,1.06013117,0..30cm,29.0,18.0,40.0,42.0,22.0,68.0,29.0,13.0,42.0,1140.0,950.0,1330.0,15.8,10.5,22.4,6.5,5.7,7.1
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4503.9,34.1609461,1.06013117,30..60cm,33.0,19.0,42.0,39.0,19.0,64.0,28.0,11.0,47.0,1190.0,1020.0,1360.0,9.0,5.4,14.2,6.5,5.7,7.2
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4503.9,34.1609461,1.06013117,60..100cm,34.0,19.0,44.0,38.0,16.0,62.0,28.0,9.0,48.0,1210.0,1080.0,1390.0,6.4,3.7,11.4,6.5,5.7,7.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4513.9,34.1609461,1.06022116,0..30cm,29.0,18.0,40.0,42.0,22.0,68.0,29.0,13.0,42.0,1140.0,950.0,1330.0,15.8,10.5,22.4,6.5,5.7,7.1
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4513.9,34.1609461,1.06022116,30..60cm,33.0,19.0,42.0,39.0,19.0,64.0,28.0,11.0,47.0,1190.0,1020.0,1360.0,9.0,5.4,14.2,6.5,5.7,7.2
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4513.9,34.1609461,1.06022116,60..100cm,34.0,19.0,44.0,38.0,16.0,62.0,28.0,9.0,48.0,1210.0,1080.0,1390.0,6.4,3.7,11.4,6.5,5.7,7.3
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,4513.9,34.1609461,1.06022116,0..30cm,29.0,18.0,40.0,42.0,22.0,68.0,29.0,13.0,42.0,1140.0,950.0,1330.0,15.8,10.5,22.4,6.5,5.7,7.1
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,4513.9,34.1609461,1.06022116,30..60cm,33.0,19.0,42.0,39.0,19.0,64.0,28.0,11.0,47.0,1190.0,1020.0,1360.0,9.0,5.4,14.2,6.5,5.7,7.2
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,4513.9,34.1609461,1.06022116,60..100cm,34.0,19.0,44.0,38.0,16.0,62.0,28.0,9.0,48.0,1210.0,1080.0,1390.0,6.4,3.7,11.4,6.5,5.7,7.3
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,5516.196,34.15463496,1.06588434,0..30cm,31.0,19.0,42.0,40.0,23.0,60.0,29.0,16.0,43.0,1150.0,950.0,1320.0,16.8,11.5,24.3,6.2,5.7,6.8
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,5516.196,34.15463496,1.06588434,30..60cm,34.0,25.0,43.0,38.0,19.0,56.0,28.0,14.0,45.0,1210.0,1030.0,1400.0,8.9,5.3,14.6,6.3,5.7,6.8
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,5516.196,34.15463496,1.06588434,60..100cm,35.0,23.0,48.0,37.0,15.0,59.0,29.0,10.0,48.0,1240.0,1080.0,1410.0,5.5,3.4,9.5,6.3,5.7,6.8
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,5755.85,34.15311208,1.06740954,0..30cm,30.0,18.0,41.0,41.0,22.0,62.0,29.0,15.0,48.0,1130.0,920.0,1350.0,22.7,14.8,34.4,6.1,5.7,6.7
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,5755.85,34.15311208,1.06740954,30..60cm,32.0,20.0,42.0,40.0,19.0,63.0,28.0,11.0,47.0,1210.0,1040.0,1400.0,10.2,5.7,16.0,6.2,5.7,6.8
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,5755.85,34.15311208,1.06740954,60..100cm,33.0,19.0,43.0,38.0,12.0,65.0,28.0,9.0,49.0,1220.0,1050.0,1410.0,6.4,3.6,10.2,6.2,5.7,6.8
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,6518.491,34.1516846,1.07332372,0..30cm,30.0,18.0,40.0,40.0,22.0,60.0,29.0,14.0,45.0,1080.0,820.0,1320.0,25.8,13.9,49.8,5.6,4.7,6.2
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,6518.491,34.1516846,1.07332372,30..60cm,32.0,22.0,42.0,40.0,23.0,62.0,28.0,12.0,44.0,1120.0,920.0,1310.0,12.9,7.6,23.2,5.6,4.7,6.3
segment:line-1-civil-003:0003,civil_segment,line-1-civil-003,line-1,at-grade,6518.491,34.1516846,1.07332372,60..100cm,34.0,21.0,43.0,38.0,15.0,65.0,28.0,8.0,47.0,1170.0,960.0,1400.0,9.1,4.8,17.1,5.6,4.7,6.6
segment:line-1-civil-003:0004,civil_segment,line-1-civil-003,line-1,at-grade,6997.8,34.15354544,1.07644715,0..30cm,27.0,14.0,41.0,48.0,25.0,69.0,25.0,11.0,41.0,1200.0,960.0,1410.0,13.8,9.4,20.8,6.1,5.7,6.7
segment:line-1-civil-003:0004,civil_segment,line-1-civil-003,line-1,at-grade,6997.8,34.15354544,1.07644715,30..60cm,29.0,14.0,42.0,46.0,23.0,68.0,25.0,3.0,43.0,1220.0,1040.0,1400.0,8.4,4.8,14.0,6.2,5.7,6.8
segment:line-1-civil-003:0004,civil_segment,line-1-civil-003,line-1,at-grade,6997.8,34.15354544,1.07644715,60..100cm,31.0,14.0,43.0,44.0,15.0,69.0,26.0,3.0,45.0,1230.0,1050.0,1440.0,5.3,3.2,9.1,6.2,5.7,6.9
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6997.8,34.15354544,1.07644715,0..30cm,27.0,14.0,41.0,48.0,25.0,69.0,25.0,11.0,41.0,1200.0,960.0,1410.0,13.8,9.4,20.8,6.1,5.7,6.7
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6997.8,34.15354544,1.07644715,30..60cm,29.0,14.0,42.0,46.0,23.0,68.0,25.0,3.0,43.0,1220.0,1040.0,1400.0,8.4,4.8,14.0,6.2,5.7,6.8
segment:line-1-civil-004:0000,civil_segment,line-1-civil-004,line-1,elevated,6997.8,34.15354544,1.07644715,60..100cm,31.0,14.0,43.0,44.0,15.0,69.0,26.0,3.0,45.0,1230.0,1050.0,1440.0,5.3,3.2,9.1,6.2,5.7,6.9
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,7007.8,34.15362171,1.07648044,0..30cm,27.0,14.0,41.0,48.0,25.0,69.0,25.0,11.0,41.0,1200.0,960.0,1410.0,13.8,9.4,20.8,6.1,5.7,6.7
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,7007.8,34.15362171,1.07648044,30..60cm,29.0,14.0,42.0,46.0,23.0,68.0,25.0,3.0,43.0,1220.0,1040.0,1400.0,8.4,4.8,14.0,6.2,5.7,6.8
segment:line-1-civil-004:0001,civil_segment,line-1-civil-004,line-1,elevated,7007.8,34.15362171,1.07648044,60..100cm,31.0,14.0,43.0,44.0,15.0,69.0,26.0,3.0,45.0,1230.0,1050.0,1440.0,5.3,3.2,9.1,6.2,5.7,6.9
segment:line-1-civil-004:0002,civil_segment,line-1-civil-004,line-1,elevated,7017.8,34.15371163,1.07648044,0..30cm,27.0,14.0,41.0,48.0,25.0,69.0,25.0,11.0,41.0,1200.0,960.0,1410.0,13.8,9.4,20.8,6.1,5.7,6.7
