sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,30.69635294,-0.60213232,0..30cm,30.0,17.0,43.0,50.0,26.0,76.0,21.0,6.0,36.0,1230.0,1060.0,1410.0,14.7,9.2,23.2,6.2,5.7,7.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,30.69635294,-0.60213232,30..60cm,30.0,13.0,46.0,50.0,26.0,79.0,20.0,5.0,35.0,1290.0,1090.0,1530.0,8.5,5.2,12.5,6.6,5.9,7.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,30.69635294,-0.60213232,60..100cm,30.0,14.0,46.0,49.0,23.0,78.0,21.0,5.0,34.0,1320.0,1080.0,1550.0,6.5,2.7,11.8,7.1,6.1,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.485,30.68953071,-0.60303215,0..30cm,26.0,14.0,36.0,57.0,36.0,74.0,17.0,8.0,28.0,1240.0,1100.0,1420.0,13.5,8.7,18.4,6.4,5.4,7.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.485,30.68953071,-0.60303215,30..60cm,26.0,13.0,39.0,58.0,33.0,78.0,16.0,5.0,30.0,1290.0,1120.0,1490.0,7.6,4.3,13.0,6.5,5.5,7.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.485,30.68953071,-0.60303215,60..100cm,25.0,11.0,39.0,60.0,36.0,82.0,16.0,4.0,28.0,1310.0,1060.0,1540.0,5.8,2.2,11.5,6.8,5.4,7.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1069.1,30.68906217,-0.60303215,0..30cm,26.0,14.0,36.0,57.0,36.0,74.0,17.0,8.0,28.0,1240.0,1100.0,1420.0,13.5,8.7,18.4,6.4,5.4,7.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1069.1,30.68906217,-0.60303215,30..60cm,26.0,13.0,39.0,58.0,33.0,78.0,16.0,5.0,30.0,1290.0,1120.0,1490.0,7.6,4.3,13.0,6.5,5.5,7.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1069.1,30.68906217,-0.60303215,60..100cm,25.0,11.0,39.0,60.0,36.0,82.0,16.0,4.0,28.0,1310.0,1060.0,1540.0,5.8,2.2,11.5,6.8,5.4,7.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2000.971,30.6814325,-0.60483181,0..30cm,26.0,15.0,40.0,55.0,29.0,77.0,19.0,8.0,30.0,1280.0,1110.0,1470.0,12.3,8.5,18.4,6.5,5.3,7.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2000.971,30.6814325,-0.60483181,30..60cm,26.0,14.0,40.0,56.0,29.0,78.0,18.0,5.0,28.0,1300.0,1090.0,1520.0,7.3,3.5,12.3,6.6,5.6,7.5
