sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,5.04895448,45.63338012,0..30cm,23.0,14.0,30.0,33.0,20.0,48.0,44.0,33.0,52.0,1330.0,1220.0,1470.0,12.0,6.8,19.8,6.3,5.7,7.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,5.04895448,45.63338012,30..60cm,24.0,15.0,29.0,33.0,18.0,50.0,44.0,32.0,53.0,1510.0,1340.0,1650.0,6.1,3.8,9.8,6.4,5.6,7.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,5.04895448,45.63338012,60..100cm,24.0,17.0,32.0,33.0,14.0,54.0,43.0,28.0,58.0,1610.0,1440.0,1800.0,3.7,2.0,6.5,6.6,5.6,7.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1076.828,5.04256697,45.63883042,0..30cm,23.0,16.0,31.0,33.0,19.0,47.0,44.0,33.0,53.0,1350.0,1240.0,1490.0,13.0,8.2,19.5,6.2,5.6,7.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1076.828,5.04256697,45.63883042,30..60cm,24.0,14.0,30.0,32.0,16.0,48.0,44.0,32.0,54.0,1540.0,1400.0,1680.0,6.3,4.1,9.6,6.4,5.6,7.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1076.828,5.04256697,45.63883042,60..100cm,24.0,14.0,33.0,32.0,15.0,51.0,44.0,28.0,57.0,1630.0,1460.0,1800.0,3.9,2.1,6.7,6.5,5.5,7.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2153.655,5.03244811,45.6442298,0..30cm,23.0,14.0,30.0,34.0,19.0,49.0,44.0,35.0,52.0,1360.0,1240.0,1500.0,13.8,8.0,22.9,6.3,5.6,6.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2153.655,5.03244811,45.6442298,30..60cm,24.0,15.0,31.0,33.0,18.0,49.0,43.0,33.0,51.0,1530.0,1410.0,1680.0,5.9,3.8,8.0,6.3,5.6,7.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2153.655,5.03244811,45.6442298,60..100cm,25.0,16.0,32.0,34.0,17.0,52.0,41.0,29.0,56.0,1620.0,1520.0,1810.0,3.5,1.9,6.4,6.4,5.6,7.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3230.483,5.02207412,45.6494908,0..30cm,24.0,18.0,29.0,33.0,19.0,47.0,43.0,35.0,52.0,1350.0,1190.0,1500.0,13.4,7.6,22.4,6.2,5.7,6.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3230.483,5.02207412,45.6494908,30..60cm,25.0,18.0,32.0,33.0,18.0,48.0,43.0,33.0,51.0,1530.0,1380.0,1690.0,6.6,3.8,9.6,6.3,5.7,7.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3230.483,5.02207412,45.6494908,60..100cm,26.0,17.0,33.0,33.0,20.0,47.0,42.0,29.0,53.0,1620.0,1450.0,1800.0,3.9,2.0,6.2,6.4,5.7,7.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4307.31,5.01181404,45.65486806,0..30cm,24.0,16.0,32.0,33.0,19.0,48.0,43.0,33.0,52.0,1370.0,1230.0,1480.0,14.5,9.5,26.0,6.3,5.7,7.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4307.31,5.01181404,45.65486806,30..60cm,25.0,16.0,32.0,34.0,18.0,51.0,41.0,29.0,50.0,1530.0,1340.0,1690.0,6.5,3.8,9.8,6.4,5.7,7.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4307.31,5.01181404,45.65486806,60..100cm,25.0,14.0,33.0,36.0,19.0,55.0,39.0,24.0,51.0,1600.0,1400.0,1810.0,3.4,1.9,5.4,6.6,5.7,7.7
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5384.138,5.00154583,45.66021388,0..30cm,24.0,17.0,32.0,34.0,16.0,49.0,42.0,30.0,54.0,1360.0,1260.0,1470.0,11.8,6.9,19.4,6.4,5.6,7.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5384.138,5.00154583,45.66021388,30..60cm,25.0,17.0,33.0,34.0,17.0,52.0,41.0,30.0,52.0,1530.0,1350.0,1690.0,5.4,3.7,7.9,6.4,5.6,7.4
