sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-78.93854638,-2.88125472,0..30cm,33.0,22.0,42.0,37.0,19.0,53.0,30.0,17.0,42.0,1290.0,1110.0,1480.0,13.8,9.1,22.2,7.1,6.6,7.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-78.93854638,-2.88125472,30..60cm,35.0,25.0,46.0,36.0,18.0,50.0,29.0,18.0,41.0,1300.0,1140.0,1500.0,8.1,5.8,10.8,7.2,6.8,7.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-78.93854638,-2.88125472,60..100cm,36.0,25.0,46.0,36.0,17.0,52.0,28.0,14.0,42.0,1300.0,1070.0,1590.0,5.7,3.5,9.1,7.3,7.0,7.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-78.93860094,-2.88114556,0..30cm,33.0,22.0,42.0,37.0,19.0,53.0,30.0,17.0,42.0,1290.0,1110.0,1480.0,13.8,9.1,22.2,7.1,6.6,7.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-78.93860094,-2.88114556,30..60cm,35.0,25.0,46.0,36.0,18.0,50.0,29.0,18.0,41.0,1300.0,1140.0,1500.0,8.1,5.8,10.8,7.2,6.8,7.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-78.93860094,-2.88114556,60..100cm,36.0,25.0,46.0,36.0,17.0,52.0,28.0,14.0,42.0,1300.0,1070.0,1590.0,5.7,3.5,9.1,7.3,7.0,7.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-78.9386555,-2.8810364,0..30cm,33.0,22.0,42.0,37.0,19.0,53.0,30.0,17.0,42.0,1290.0,1110.0,1480.0,13.8,9.1,22.2,7.1,6.6,7.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-78.9386555,-2.8810364,30..60cm,35.0,25.0,46.0,36.0,18.0,50.0,29.0,18.0,41.0,1300.0,1140.0,1500.0,8.1,5.8,10.8,7.2,6.8,7.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-78.9386555,-2.8810364,60..100cm,36.0,25.0,46.0,36.0,17.0,52.0,28.0,14.0,42.0,1300.0,1070.0,1590.0,5.7,3.5,9.1,7.3,7.0,7.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,-78.9386555,-2.8810364,0..30cm,33.0,22.0,42.0,37.0,19.0,53.0,30.0,17.0,42.0,1290.0,1110.0,1480.0,13.8,9.1,22.2,7.1,6.6,7.6
