sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-6.31975894,32.37529557,0..30cm,24.0,15.0,35.0,46.0,25.0,65.0,29.0,15.0,42.0,1390.0,1270.0,1530.0,6.9,4.2,11.3,7.6,7.1,8.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-6.31975894,32.37529557,30..60cm,26.0,15.0,36.0,45.0,24.0,63.0,28.0,16.0,41.0,1500.0,1340.0,1710.0,3.5,2.1,5.3,7.7,7.0,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-6.31975894,32.37529557,60..100cm,27.0,15.0,39.0,46.0,20.0,65.0,28.0,13.0,40.0,1530.0,1290.0,1780.0,2.3,1.1,4.0,7.9,7.0,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.635,-6.32805189,32.37408363,0..30cm,28.0,15.0,37.0,40.0,14.0,67.0,33.0,17.0,46.0,1370.0,1260.0,1520.0,7.5,4.4,12.5,7.5,7.0,8.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.635,-6.32805189,32.37408363,30..60cm,30.0,17.0,40.0,38.0,10.0,68.0,32.0,14.0,46.0,1480.0,1360.0,1620.0,3.6,2.0,6.2,7.6,6.9,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.635,-6.32805189,32.37408363,60..100cm,30.0,16.0,40.0,37.0,10.0,62.0,33.0,18.0,48.0,1550.0,1360.0,1730.0,2.2,1.1,3.9,7.7,6.9,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.269,-6.32982996,32.36569223,0..30cm,27.0,15.0,37.0,40.0,18.0,61.0,33.0,20.0,44.0,1340.0,1160.0,1520.0,8.1,4.3,13.7,7.4,6.9,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.269,-6.32982996,32.36569223,30..60cm,29.0,17.0,41.0,39.0,18.0,60.0,32.0,19.0,44.0,1490.0,1240.0,1730.0,3.7,1.8,6.3,7.6,7.0,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.269,-6.32982996,32.36569223,60..100cm,29.0,18.0,42.0,39.0,18.0,62.0,32.0,16.0,44.0,1580.0,1330.0,1840.0,2.9,1.4,5.0,7.7,7.1,8.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3001.904,-6.3340058,32.35814556,0..30cm,25.0,16.0,34.0,44.0,25.0,63.0,31.0,19.0,43.0,1330.0,1140.0,1500.0,8.1,4.5,14.5,7.4,6.9,8.0
