sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-4.94836,34.06294866,0..30cm,27.0,16.0,35.0,40.0,16.0,60.0,33.0,21.0,49.0,1390.0,1280.0,1540.0,5.6,3.1,10.2,7.6,7.1,8.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-4.94836,34.06294866,30..60cm,29.0,19.0,37.0,41.0,19.0,63.0,30.0,17.0,45.0,1490.0,1310.0,1630.0,3.4,1.6,6.2,7.6,7.1,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-4.94836,34.06294866,60..100cm,30.0,19.0,40.0,42.0,20.0,67.0,28.0,15.0,44.0,1510.0,1310.0,1680.0,2.7,0.8,5.3,7.7,6.7,8.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.815,-4.95743095,34.06222879,0..30cm,27.0,18.0,37.0,39.0,18.0,61.0,34.0,19.0,47.0,1360.0,1210.0,1510.0,9.7,5.8,16.4,7.6,7.1,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.815,-4.95743095,34.06222879,30..60cm,29.0,18.0,39.0,40.0,23.0,59.0,31.0,18.0,43.0,1460.0,1300.0,1600.0,4.6,2.7,6.9,7.6,6.9,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1031.815,-4.95743095,34.06222879,60..100cm,30.0,17.0,41.0,41.0,19.0,62.0,29.0,18.0,42.0,1500.0,1370.0,1660.0,3.5,1.6,6.2,7.7,6.8,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2063.63,-4.9660427,34.05803756,0..30cm,29.0,18.0,38.0,37.0,15.0,58.0,34.0,20.0,47.0,1380.0,1260.0,1540.0,8.6,4.1,16.3,7.7,7.1,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2063.63,-4.9660427,34.05803756,30..60cm,31.0,19.0,39.0,38.0,18.0,59.0,31.0,19.0,46.0,1490.0,1300.0,1650.0,3.8,2.3,6.4,7.6,7.1,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2063.63,-4.9660427,34.05803756,60..100cm,31.0,18.0,41.0,39.0,16.0,60.0,30.0,18.0,46.0,1530.0,1350.0,1700.0,3.2,1.6,5.7,7.7,6.7,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3095.444,-4.97182347,34.05139938,0..30cm,28.0,18.0,35.0,38.0,19.0,62.0,35.0,20.0,51.0,1390.0,1210.0,1560.0,10.5,5.4,18.3,7.5,7.0,8.0
