sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-8.05069984,31.65365255,0..30cm,23.0,14.0,31.0,54.0,37.0,70.0,24.0,12.0,36.0,1450.0,1270.0,1600.0,5.2,3.1,8.4,7.9,7.6,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-8.05069984,31.65365255,30..60cm,24.0,12.0,34.0,53.0,30.0,75.0,23.0,10.0,36.0,1590.0,1420.0,1770.0,3.1,1.7,5.7,8.1,7.7,8.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-8.05069984,31.65365255,60..100cm,24.0,12.0,34.0,53.0,31.0,75.0,23.0,11.0,36.0,1600.0,1450.0,1820.0,2.2,1.2,4.0,8.2,7.8,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-8.05080151,31.65356583,0..30cm,23.0,14.0,31.0,54.0,37.0,70.0,24.0,12.0,36.0,1450.0,1270.0,1600.0,5.2,3.1,8.4,7.9,7.6,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-8.05080151,31.65356583,30..60cm,24.0,12.0,34.0,53.0,30.0,75.0,23.0,10.0,36.0,1590.0,1420.0,1770.0,3.1,1.7,5.7,8.1,7.7,8.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-8.05080151,31.65356583,60..100cm,24.0,12.0,34.0,53.0,31.0,75.0,23.0,11.0,36.0,1600.0,1450.0,1820.0,2.2,1.2,4.0,8.2,7.8,8.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-8.05090318,31.65347912,0..30cm,23.0,14.0,31.0,54.0,37.0,70.0,24.0,12.0,36.0,1450.0,1270.0,1600.0,5.2,3.1,8.4,7.9,7.6,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-8.05090318,31.65347912,30..60cm,24.0,12.0,34.0,53.0,30.0,75.0,23.0,10.0,36.0,1590.0,1420.0,1770.0,3.1,1.7,5.7,8.1,7.7,8.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-8.05090318,31.65347912,60..100cm,24.0,12.0,34.0,53.0,31.0,75.0,23.0,11.0,36.0,1600.0,1450.0,1820.0,2.2,1.2,4.0,8.2,7.8,8.8
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,-8.05090318,31.65347912,0..30cm,23.0,14.0,31.0,54.0,37.0,70.0,24.0,12.0,36.0,1450.0,1270.0,1600.0,5.2,3.1,8.4,7.9,7.6,8.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,-8.05090318,31.65347912,30..60cm,24.0,12.0,34.0,53.0,30.0,75.0,23.0,10.0,36.0,1590.0,1420.0,1770.0,3.1,1.7,5.7,8.1,7.7,8.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,-8.05090318,31.65347912,60..100cm,24.0,12.0,34.0,53.0,31.0,75.0,23.0,11.0,36.0,1600.0,1450.0,1820.0,2.2,1.2,4.0,8.2,7.8,8.8
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1067.072,-8.04555232,31.64620283,0..30cm,23.0,11.0,35.0,52.0,30.0,77.0,25.0,12.0,40.0,1390.0,1150.0,1650.0,5.7,2.7,9.8,7.9,7.5,8.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1067.072,-8.04555232,31.64620283,30..60cm,24.0,11.0,36.0,51.0,25.0,79.0,25.0,9.0,41.0,1520.0,1270.0,1730.0,3.9,2.2,7.2,8.1,7.6,8.7
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1067.072,-8.04555232,31.64620283,60..100cm,24.0,11.0,37.0,51.0,22.0,80.0,25.0,9.0,38.0,1540.0,1380.0,1770.0,3.1,1.3,6.9,8.1,7.6,8.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2105.844,-8.04018501,31.63967567,0..30cm,21.0,10.0,32.0,55.0,33.0,72.0,24.0,13.0,36.0,1440.0,1300.0,1600.0,4.5,2.0,7.6,7.9,7.5,8.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2105.844,-8.04018501,31.63967567,30..60cm,23.0,11.0,34.0,54.0,29.0,75.0,23.0,10.0,37.0,1590.0,1400.0,1790.0,2.7,1.5,5.1,8.1,7.6,8.6
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2105.844,-8.04018501,31.63967567,60..100cm,24.0,11.0,34.0,54.0,30.0,77.0,22.0,10.0,35.0,1610.0,1410.0,1840.0,2.1,0.8,4.1,8.1,7.6,8.8
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3144.616,-8.03500348,31.63203273,0..30cm,22.0,10.0,29.0,55.0,40.0,74.0,23.0,13.0,34.0,1430.0,1240.0,1570.0,3.6,1.9,6.5,8.0,7.5,8.3
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3144.616,-8.03500348,31.63203273,30..60cm,24.0,12.0,35.0,52.0,30.0,76.0,24.0,8.0,35.0,1540.0,1320.0,1730.0,2.3,0.9,4.2,8.1,7.7,8.7
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3144.616,-8.03500348,31.63203273,60..100cm,25.0,12.0,39.0,50.0,22.0,77.0,24.0,11.0,36.0,1590.0,1440.0,1770.0,1.8,0.7,4.3,8.2,7.7,8.9
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4183.388,-8.02621601,31.62837036,0..30cm,24.0,12.0,35.0,51.0,26.0,70.0,26.0,13.0,42.0,1360.0,1190.0,1510.0,4.3,2.3,7.3,7.9,7.4,8.3
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4183.388,-8.02621601,31.62837036,30..60cm,24.0,10.0,38.0,52.0,24.0,78.0,24.0,9.0,40.0,1490.0,1290.0,1660.0,2.9,1.6,5.1,8.0,7.4,8.5
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4183.388,-8.02621601,31.62837036,60..100cm,24.0,12.0,39.0,52.0,24.0,81.0,24.0,7.0,39.0,1530.0,1370.0,1740.0,2.2,0.9,5.1,8.0,7.3,8.6
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,5222.16,-8.01661653,31.63012449,0..30cm,21.0,10.0,29.0,57.0,38.0,78.0,22.0,11.0,33.0,1420.0,1210.0,1600.0,4.2,1.8,8.2,7.9,7.5,8.3
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,5222.16,-8.01661653,31.63012449,30..60cm,23.0,9.0,35.0,55.0,32.0,77.0,22.0,9.0,35.0,1560.0,1350.0,1770.0,2.9,1.2,5.9,8.0,7.4,8.6
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,5222.16,-8.01661653,31.63012449,60..100cm,23.0,10.0,37.0,55.0,31.0,79.0,22.0,7.0,36.0,1580.0,1400.0,1820.0,2.2,0.7,5.3,8.0,7.3,8.6
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,6260.932,-8.00676327,31.63165625,0..30cm,21.0,12.0,32.0,56.0,36.0,74.0,23.0,12.0,35.0,1310.0,1080.0,1510.0,5.1,2.9,8.3,7.9,7.5,8.3
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,6260.932,-8.00676327,31.63165625,30..60cm,23.0,11.0,34.0,55.0,32.0,75.0,23.0,12.0,36.0,1480.0,1300.0,1660.0,3.2,1.7,5.9,8.0,7.4,8.5
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,6260.932,-8.00676327,31.63165625,60..100cm,23.0,11.0,35.0,55.0,31.0,77.0,22.0,11.0,35.0,1540.0,1410.0,1750.0,2.3,1.0,4.2,8.0,7.3,8.6
segment:line-1-civil-002:0007,civil_segment,line-1-civil-002,line-1,at-grade,6712.7,-8.00311548,31.62944816,0..30cm,21.0,10.0,33.0,56.0,35.0,78.0,23.0,11.0,35.0,1320.0,1080.0,1500.0,6.9,3.7,11.6,7.9,7.4,8.3
segment:line-1-civil-002:0007,civil_segment,line-1-civil-002,line-1,at-grade,6712.7,-8.00311548,31.62944816,30..60cm,23.0,11.0,36.0,53.0,28.0,77.0,23.0,11.0,36.0,1480.0,1300.0,1660.0,4.3,1.9,8.2,8.0,7.4,8.5
segment:line-1-civil-002:0007,civil_segment,line-1-civil-002,line-1,at-grade,6712.7,-8.00311548,31.62944816,60..100cm,24.0,10.0,37.0,53.0,26.0,79.0,23.0,10.0,37.0,1540.0,1380.0,1750.0,2.9,1.2,6.6,8.0,7.3,8.6
segment:line-1-civil-002:0008,civil_segment,line-1-civil-002,line-1,at-grade,7299.704,-8.00083972,31.62493082,0..30cm,23.0,11.0,34.0,52.0,35.0,68.0,24.0,11.0,35.0,1290.0,1080.0,1490.0,8.0,5.0,13.1,7.7,7.3,8.2
segment:line-1-civil-002:0008,civil_segment,line-1-civil-002,line-1,at-grade,7299.704,-8.00083972,31.62493082,30..60cm,26.0,11.0,39.0,50.0,26.0,71.0,25.0,9.0,39.0,1470.0,1290.0,1640.0,4.6,2.1,8.6,8.0,7.4,8.5
segment:line-1-civil-002:0008,civil_segment,line-1-civil-002,line-1,at-grade,7299.704,-8.00083972,31.62493082,60..100cm,26.0,11.0,37.0,50.0,26.0,73.0,24.0,9.0,39.0,1550.0,1330.0,1780.0,3.5,1.5,6.7,8.1,7.6,8.7
segment:line-1-civil-002:0009,civil_segment,line-1-civil-002,line-1,at-grade,8338.476,-7.99652485,31.61685068,0..30cm,23.0,11.0,34.0,54.0,35.0,74.0,24.0,12.0,37.0,1290.0,1070.0,1470.0,7.0,3.8,11.8,7.7,7.1,8.2
segment:line-1-civil-002:0009,civil_segment,line-1-civil-002,line-1,at-grade,8338.476,-7.99652485,31.61685068,30..60cm,25.0,11.0,37.0,51.0,31.0,75.0,24.0,11.0,38.0,1470.0,1290.0,1630.0,3.6,1.7,6.4,7.9,7.3,8.6
segment:line-1-civil-002:0009,civil_segment,line-1-civil-002,line-1,at-grade,8338.476,-7.99652485,31.61685068,60..100cm,25.0,12.0,38.0,51.0,29.0,73.0,23.0,10.0,38.0,1540.0,1330.0,1770.0,3.1,1.5,5.2,8.0,7.5,8.6
segment:line-1-civil-002:0010,civil_segment,line-1-civil-002,line-1,at-grade,9377.248,-7.9892972,31.61055733,0..30cm,21.0,12.0,30.0,57.0,37.0,74.0,22.0,12.0,33.0,1400.0,1150.0,1630.0,5.9,3.5,10.1,8.0,7.5,8.4
segment:line-1-civil-002:0010,civil_segment,line-1-civil-002,line-1,at-grade,9377.248,-7.9892972,31.61055733,30..60cm,22.0,12.0,31.0,57.0,36.0,75.0,21.0,10.0,32.0,1540.0,1290.0,1730.0,3.5,1.6,5.8,8.1,7.7,8.6
segment:line-1-civil-002:0010,civil_segment,line-1-civil-002,line-1,at-grade,9377.248,-7.9892972,31.61055733,60..100cm,22.0,12.0,31.0,57.0,35.0,76.0,21.0,9.0,32.0,1570.0,1380.0,1790.0,2.6,1.4,4.9,8.2,7.6,8.6
segment:line-1-civil-002:0011,civil_segment,line-1-civil-002,line-1,at-grade,10416.02,-7.98782016,31.60183791,0..30cm,21.0,11.0,32.0,55.0,36.0,74.0,23.0,11.0,33.0,1440.0,1240.0,1640.0,4.6,2.8,6.9,7.9,7.5,8.4
segment:line-1-civil-002:0011,civil_segment,line-1-civil-002,line-1,at-grade,10416.02,-7.98782016,31.60183791,30..60cm,23.0,12.0,34.0,54.0,32.0,76.0,23.0,10.0,36.0,1570.0,1390.0,1770.0,3.1,2.0,4.9,8.1,7.7,8.5
segment:line-1-civil-002:0011,civil_segment,line-1-civil-002,line-1,at-grade,10416.02,-7.98782016,31.60183791,60..100cm,24.0,11.0,34.0,53.0,30.0,78.0,23.0,9.0,38.0,1580.0,1410.0,1770.0,2.5,1.4,4.0,8.2,7.8,8.7
