sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-5.48672946,33.91818399,0..30cm,27.0,16.0,38.0,44.0,20.0,69.0,30.0,16.0,44.0,1410.0,1290.0,1530.0,7.2,3.8,12.1,7.6,6.9,8.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-5.48672946,33.91818399,30..60cm,28.0,15.0,40.0,44.0,14.0,69.0,28.0,12.0,42.0,1520.0,1340.0,1670.0,3.8,2.3,6.2,7.8,7.2,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-5.48672946,33.91818399,60..100cm,29.0,13.0,42.0,44.0,14.0,71.0,27.0,9.0,42.0,1540.0,1340.0,1690.0,2.8,1.2,4.9,7.9,7.3,8.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.344,-5.48907351,33.91155584,0..30cm,28.0,16.0,38.0,41.0,18.0,62.0,31.0,18.0,44.0,1370.0,1230.0,1510.0,6.1,3.0,10.3,7.6,6.9,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.344,-5.48907351,33.91155584,30..60cm,29.0,18.0,41.0,42.0,13.0,66.0,29.0,16.0,43.0,1500.0,1320.0,1670.0,3.3,1.4,6.5,7.8,7.3,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.344,-5.48907351,33.91155584,60..100cm,30.0,16.0,42.0,42.0,15.0,69.0,28.0,10.0,43.0,1520.0,1340.0,1700.0,2.3,1.0,4.4,7.9,7.3,8.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.688,-5.49202957,33.90477874,0..30cm,30.0,18.0,40.0,38.0,15.0,60.0,31.0,19.0,46.0,1420.0,1270.0,1570.0,11.9,7.6,20.0,7.6,7.1,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.688,-5.49202957,33.90477874,30..60cm,32.0,19.0,42.0,38.0,13.0,61.0,30.0,18.0,43.0,1540.0,1320.0,1710.0,5.7,3.6,8.9,7.7,7.2,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1998.688,-5.49202957,33.90477874,60..100cm,33.0,20.0,42.0,38.0,13.0,60.0,29.0,13.0,47.0,1580.0,1470.0,1730.0,3.5,2.1,5.1,8.0,7.4,8.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2998.032,-5.50108578,33.90246771,0..30cm,29.0,19.0,36.0,40.0,21.0,59.0,31.0,19.0,45.0,1400.0,1240.0,1540.0,11.3,5.7,20.0,7.5,6.9,8.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2998.032,-5.50108578,33.90246771,30..60cm,30.0,19.0,41.0,39.0,20.0,59.0,30.0,19.0,42.0,1530.0,1340.0,1710.0,5.1,3.4,7.2,7.7,7.2,8.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2998.032,-5.50108578,33.90246771,60..100cm,31.0,18.0,42.0,40.0,21.0,63.0,29.0,12.0,43.0,1570.0,1430.0,1720.0,3.3,1.7,6.3,7.9,7.0,8.6
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3997.376,-5.50888372,33.89802778,0..30cm,29.0,19.0,37.0,40.0,21.0,61.0,31.0,19.0,44.0,1400.0,1270.0,1550.0,9.1,6.2,13.4,7.6,7.0,8.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3997.376,-5.50888372,33.89802778,30..60cm,30.0,18.0,39.0,41.0,14.0,67.0,29.0,15.0,43.0,1530.0,1340.0,1700.0,4.4,2.0,7.4,7.8,7.3,8.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3997.376,-5.50888372,33.89802778,60..100cm,30.0,17.0,40.0,42.0,14.0,69.0,28.0,12.0,43.0,1540.0,1350.0,1700.0,3.2,1.7,5.2,8.0,7.2,8.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4996.721,-5.51933822,33.89730791,0..30cm,27.0,15.0,37.0,42.0,23.0,65.0,31.0,19.0,43.0,1370.0,1240.0,1510.0,10.4,5.8,16.7,7.5,6.9,8.0
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4996.721,-5.51933822,33.89730791,30..60cm,29.0,16.0,38.0,42.0,24.0,67.0,29.0,15.0,42.0,1520.0,1320.0,1690.0,4.9,2.9,7.7,7.6,6.9,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4996.721,-5.51933822,33.89730791,60..100cm,29.0,16.0,41.0,43.0,24.0,68.0,28.0,13.0,43.0,1570.0,1410.0,1740.0,3.2,1.7,5.5,7.8,6.9,8.5
