sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-5.42072694,35.57240978,0..30cm,25.0,12.0,39.0,48.0,23.0,76.0,27.0,11.0,40.0,1390.0,1260.0,1540.0,6.0,2.8,12.7,7.7,7.4,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-5.42072694,35.57240978,30..60cm,25.0,10.0,40.0,50.0,20.0,78.0,25.0,8.0,42.0,1480.0,1340.0,1600.0,3.3,1.0,6.5,7.6,7.2,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-5.42072694,35.57240978,60..100cm,25.0,9.0,39.0,51.0,21.0,82.0,24.0,6.0,39.0,1520.0,1360.0,1670.0,2.0,0.3,4.3,7.8,7.1,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.879,-5.40969524,35.57240978,0..30cm,26.0,10.0,40.0,47.0,22.0,79.0,27.0,11.0,42.0,1400.0,1240.0,1530.0,7.8,3.9,15.4,7.9,7.4,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.879,-5.40969524,35.57240978,30..60cm,27.0,12.0,42.0,48.0,24.0,76.0,26.0,12.0,41.0,1510.0,1350.0,1600.0,3.7,1.7,6.5,7.9,7.4,8.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.879,-5.40969524,35.57240978,60..100cm,27.0,13.0,42.0,49.0,22.0,80.0,25.0,10.0,40.0,1540.0,1360.0,1680.0,2.8,1.3,5.8,8.0,7.4,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.759,-5.40136378,35.5777468,0..30cm,26.0,12.0,39.0,47.0,19.0,75.0,27.0,14.0,42.0,1410.0,1250.0,1600.0,8.2,4.4,15.4,7.8,7.2,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.759,-5.40136378,35.5777468,30..60cm,26.0,11.0,40.0,49.0,24.0,77.0,25.0,9.0,38.0,1530.0,1350.0,1650.0,4.2,2.0,8.6,7.9,7.2,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.759,-5.40136378,35.5777468,60..100cm,27.0,11.0,42.0,50.0,24.0,76.0,23.0,7.0,37.0,1580.0,1400.0,1710.0,2.7,1.2,5.8,8.0,7.2,8.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2999.638,-5.39218424,35.57456937,0..30cm,24.0,11.0,35.0,51.0,23.0,79.0,25.0,7.0,40.0,1380.0,1210.0,1500.0,7.7,4.0,14.7,7.8,7.1,8.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2999.638,-5.39218424,35.57456937,30..60cm,25.0,10.0,37.0,53.0,25.0,82.0,22.0,4.0,38.0,1520.0,1330.0,1650.0,4.1,2.0,7.9,7.8,7.1,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2999.638,-5.39218424,35.57456937,60..100cm,25.0,7.0,39.0,54.0,26.0,84.0,20.0,3.0,35.0,1580.0,1440.0,1750.0,2.7,1.3,4.9,7.9,7.1,8.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3999.517,-5.38206288,35.57456937,0..30cm,27.0,16.0,41.0,44.0,19.0,66.0,29.0,15.0,41.0,1390.0,1220.0,1500.0,6.8,4.0,10.7,7.7,7.1,8.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3999.517,-5.38206288,35.57456937,30..60cm,29.0,16.0,43.0,45.0,22.0,69.0,26.0,11.0,39.0,1520.0,1330.0,1670.0,3.5,1.9,6.6,7.7,7.1,8.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3999.517,-5.38206288,35.57456937,60..100cm,30.0,17.0,44.0,47.0,23.0,72.0,23.0,9.0,39.0,1580.0,1390.0,1780.0,2.0,1.1,3.1,7.8,7.0,8.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4999.397,-5.37344877,35.57564464,0..30cm,27.0,14.0,41.0,43.0,18.0,68.0,30.0,14.0,45.0,1390.0,1210.0,1570.0,7.4,4.1,12.5,7.7,7.1,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4999.397,-5.37344877,35.57564464,30..60cm,30.0,18.0,44.0,43.0,19.0,69.0,27.0,10.0,42.0,1520.0,1330.0,1700.0,3.5,1.9,6.1,7.8,7.1,8.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4999.397,-5.37344877,35.57564464,60..100cm,31.0,19.0,46.0,45.0,21.0,72.0,25.0,7.0,41.0,1550.0,1360.0,1740.0,2.1,1.2,3.8,7.8,7.1,8.5
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5999.276,-5.36544397,35.57813695,0..30cm,27.0,13.0,38.0,47.0,22.0,72.0,26.0,14.0,40.0,1380.0,1240.0,1510.0,9.3,4.8,18.1,7.8,7.3,8.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5999.276,-5.36544397,35.57813695,30..60cm,28.0,13.0,43.0,48.0,22.0,74.0,23.0,6.0,36.0,1530.0,1400.0,1660.0,4.3,2.3,7.5,7.9,7.2,8.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5999.276,-5.36544397,35.57813695,60..100cm,29.0,12.0,44.0,49.0,22.0,75.0,22.0,2.0,36.0,1580.0,1430.0,1700.0,3.3,1.5,5.8,7.9,7.2,8.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6999.155,-5.35929177,35.58268818,0..30cm,26.0,13.0,39.0,47.0,21.0,71.0,26.0,12.0,40.0,1380.0,1180.0,1560.0,7.7,3.8,14.8,7.8,7.5,8.2
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6999.155,-5.35929177,35.58268818,30..60cm,27.0,12.0,38.0,49.0,22.0,75.0,24.0,3.0,36.0,1490.0,1280.0,1670.0,4.1,2.2,7.7,7.8,7.2,8.3
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6999.155,-5.35929177,35.58268818,60..100cm,28.0,12.0,41.0,50.0,22.0,79.0,23.0,2.0,38.0,1520.0,1300.0,1720.0,2.9,1.5,4.9,7.7,6.8,8.4
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7999.035,-5.35467782,35.58937107,0..30cm,25.0,12.0,41.0,49.0,24.0,71.0,26.0,12.0,39.0,1380.0,1230.0,1550.0,6.1,3.7,8.7,7.8,7.5,8.2
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7999.035,-5.35467782,35.58937107,30..60cm,26.0,10.0,43.0,51.0,23.0,81.0,23.0,7.0,37.0,1510.0,1350.0,1670.0,3.8,2.2,6.7,7.7,7.2,8.2
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7999.035,-5.35467782,35.58937107,60..100cm,26.0,10.0,42.0,51.0,21.0,84.0,23.0,2.0,41.0,1560.0,1400.0,1730.0,2.4,1.2,4.2,7.6,6.6,8.4
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8998.914,-5.34731755,35.59490555,0..30cm,26.0,12.0,37.0,48.0,23.0,73.0,27.0,11.0,40.0,1380.0,1230.0,1530.0,7.9,4.3,12.6,7.8,7.5,8.2
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8998.914,-5.34731755,35.59490555,30..60cm,26.0,12.0,36.0,49.0,23.0,77.0,25.0,8.0,41.0,1500.0,1330.0,1610.0,3.8,1.5,9.0,7.8,7.4,8.4
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8998.914,-5.34731755,35.59490555,60..100cm,26.0,12.0,36.0,50.0,26.0,79.0,24.0,5.0,39.0,1550.0,1400.0,1700.0,2.8,1.4,5.1,7.8,6.9,8.5
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9275.75,-5.34491704,35.59619886,0..30cm,25.0,12.0,37.0,48.0,26.0,71.0,26.0,13.0,39.0,1410.0,1260.0,1560.0,8.2,4.0,14.1,7.8,7.1,8.2
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9275.75,-5.34491704,35.59619886,30..60cm,26.0,13.0,38.0,50.0,27.0,74.0,24.0,10.0,38.0,1530.0,1370.0,1640.0,3.8,1.5,8.5,7.8,7.1,8.4
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9275.75,-5.34491704,35.59619886,60..100cm,26.0,12.0,38.0,51.0,28.0,74.0,23.0,9.0,37.0,1560.0,1410.0,1700.0,2.9,1.3,5.1,7.8,6.8,8.5
