asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality,product_family
KAS-SYS-001,kassala,system,whole railway,Kassala railway system,,,,,,"15.3519,36.2972 to 15.5501,36.5028",system,
KAS-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-019,line-1-019,rolling-stock,revenue,line-1 trainset 019,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-020,line-1-020,rolling-stock,spare,line-1 trainset 020,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L1-021,line-1-021,rolling-stock,cold-reserve,line-1 trainset 021,line-1,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-001,line-2-001,rolling-stock,revenue,line-2 trainset 001,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-002,line-2-002,rolling-stock,revenue,line-2 trainset 002,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-003,line-2-003,rolling-stock,revenue,line-2 trainset 003,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-004,line-2-004,rolling-stock,revenue,line-2 trainset 004,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-005,line-2-005,rolling-stock,revenue,line-2 trainset 005,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-006,line-2-006,rolling-stock,revenue,line-2 trainset 006,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-007,line-2-007,rolling-stock,revenue,line-2 trainset 007,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-008,line-2-008,rolling-stock,revenue,line-2 trainset 008,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-009,line-2-009,rolling-stock,revenue,line-2 trainset 009,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-010,line-2-010,rolling-stock,revenue,line-2 trainset 010,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-011,line-2-011,rolling-stock,revenue,line-2 trainset 011,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-012,line-2-012,rolling-stock,revenue,line-2 trainset 012,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-013,line-2-013,rolling-stock,revenue,line-2 trainset 013,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-014,line-2-014,rolling-stock,spare,line-2 trainset 014,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L2-015,line-2-015,rolling-stock,cold-reserve,line-2 trainset 015,line-2,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-001,line-3-001,rolling-stock,revenue,line-3 trainset 001,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-002,line-3-002,rolling-stock,revenue,line-3 trainset 002,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-003,line-3-003,rolling-stock,revenue,line-3 trainset 003,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-004,line-3-004,rolling-stock,revenue,line-3 trainset 004,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-005,line-3-005,rolling-stock,revenue,line-3 trainset 005,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-006,line-3-006,rolling-stock,revenue,line-3 trainset 006,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-007,line-3-007,rolling-stock,revenue,line-3 trainset 007,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-008,line-3-008,rolling-stock,revenue,line-3 trainset 008,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-009,line-3-009,rolling-stock,revenue,line-3 trainset 009,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-010,line-3-010,rolling-stock,revenue,line-3 trainset 010,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-011,line-3-011,rolling-stock,revenue,line-3 trainset 011,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-012,line-3-012,rolling-stock,revenue,line-3 trainset 012,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-013,line-3-013,rolling-stock,revenue,line-3 trainset 013,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-014,line-3-014,rolling-stock,revenue,line-3 trainset 014,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-015,line-3-015,rolling-stock,spare,line-3 trainset 015,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-RS-L3-016,line-3-016,rolling-stock,cold-reserve,line-3 trainset 016,line-3,KAS-SYS-001,,,,fleet,service,light-metro-3car
KAS-ST-001,line-1-0422-0537-s000000,station,terminal,Kassala University - College of Education,line-1,KAS-SYS-001,line-1-0422-0537-s000000,0.000,0.000,"15.474064, 36.397389",public,
KAS-ST-002,line-1-0552-0547-s003138,station,interchange,line-1-0552-0547-s003138,line-1,KAS-SYS-001,line-1-0552-0547-s003138,3.138,3.138,"15.450669, 36.399253",public,
KAS-ST-003,line-1-0580-0467-s005022,station,standard,جامعة كسلا كلية الطب,line-1,KAS-SYS-001,line-1-0580-0467-s005022,5.022,5.022,"15.445630, 36.384342",public,
KAS-ST-004,line-1-0752-0316-s010315,station,depot-terminal,حي الروضه,line-1,KAS-SYS-001,line-1-0752-0316-s010315,10.315,10.315,"15.414675, 36.356195",public,
KAS-ST-005,line-2-0561-0629-s000000,station,terminal,Live Stock Market,line-2,KAS-SYS-001,line-2-0561-0629-s000000,0.000,0.000,"15.449049, 36.414538",public,
KAS-ST-006,line-2-0552-0547-s001748,station,interchange,line-2-0552-0547-s001748,line-2,KAS-SYS-001,line-2-0552-0547-s001748,1.748,1.748,"15.450669, 36.399253",public,
KAS-ST-007,line-2-0551-0487-s003006,station,major,Gash Barka riverside picnic spot,line-2,KAS-SYS-001,line-2-0551-0487-s003006,3.006,3.006,"15.450849, 36.388069",public,
KAS-ST-008,line-2-0533-0358-s006111,station,terminal,مستشفي الكويتي للاطفال,line-2,KAS-SYS-001,line-2-0533-0358-s006111,6.111,6.111,"15.454088, 36.364024",public,
KAS-ST-009,line-3-0533-0566-s000000,station,terminal,استاد كسلا,line-3,KAS-SYS-001,line-3-0533-0566-s000000,0.000,0.000,"15.454088, 36.402795",public,
KAS-ST-010,line-3-0624-0469-s003018,station,standard,line-3-0624-0469-s003018,line-3,KAS-SYS-001,line-3-0624-0469-s003018,3.018,3.018,"15.437711, 36.384714",public,
KAS-ST-011,line-3-0718-0353-s007120,station,terminal,Souq ash-sha'abi,line-3,KAS-SYS-001,line-3-0718-0353-s007120,7.120,7.120,"15.420794, 36.363092",public,
KAS-TRK-L1-001,line-1-0422-0537-s000000--line-1-0552-0547-s003138,track-section,standard-urban,line-1 section 001,line-1,KAS-SYS-001,line-1-0422-0537-s000000 to line-1-0552-0547-s003138,0.000,3.138,Kassala University - College of Education to line-1-0552-0547-s003138,safety,
KAS-WPT-L1-001,w-node-line-1-0422-0537-s000000--line-1-0552-0547-s003138,waypoint,wayside-node,line-1 waypoint 001,line-1,KAS-TRK-L1-001,line-1-0422-0537-s000000 to line-1-0552-0547-s003138,1.569,1.569,Kassala University - College of Education to line-1-0552-0547-s003138 midpoint W-Node,safety,
KAS-TRK-L1-002,line-1-0552-0547-s003138--line-1-0580-0467-s005022,track-section,standard-urban,line-1 section 002,line-1,KAS-SYS-001,line-1-0552-0547-s003138 to line-1-0580-0467-s005022,3.138,5.022,line-1-0552-0547-s003138 to جامعة كسلا كلية الطب,safety,
KAS-WPT-L1-002,w-node-line-1-0552-0547-s003138--line-1-0580-0467-s005022,waypoint,wayside-node,line-1 waypoint 002,line-1,KAS-TRK-L1-002,line-1-0552-0547-s003138 to line-1-0580-0467-s005022,4.080,4.080,line-1-0552-0547-s003138 to جامعة كسلا كلية الطب midpoint W-Node,safety,
KAS-TRK-L1-003,line-1-0580-0467-s005022--line-1-0752-0316-s010315,track-section,standard-urban,line-1 section 003,line-1,KAS-SYS-001,line-1-0580-0467-s005022 to line-1-0752-0316-s010315,5.022,10.315,جامعة كسلا كلية الطب to حي الروضه,safety,
KAS-WPT-L1-003,w-node-line-1-0580-0467-s005022--line-1-0752-0316-s010315,waypoint,wayside-node,line-1 waypoint 003,line-1,KAS-TRK-L1-003,line-1-0580-0467-s005022 to line-1-0752-0316-s010315,7.669,7.669,جامعة كسلا كلية الطب to حي الروضه midpoint W-Node,safety,
KAS-TRK-L2-001,line-2-0561-0629-s000000--line-2-0552-0547-s001748,track-section,standard-urban,line-2 section 001,line-2,KAS-SYS-001,line-2-0561-0629-s000000 to line-2-0552-0547-s001748,0.000,1.748,Live Stock Market to line-2-0552-0547-s001748,safety,
KAS-WPT-L2-001,w-node-line-2-0561-0629-s000000--line-2-0552-0547-s001748,waypoint,wayside-node,line-2 waypoint 001,line-2,KAS-TRK-L2-001,line-2-0561-0629-s000000 to line-2-0552-0547-s001748,0.874,0.874,Live Stock Market to line-2-0552-0547-s001748 midpoint W-Node,safety,
KAS-TRK-L2-002,line-2-0552-0547-s001748--line-2-0551-0487-s003006,track-section,standard-urban,line-2 section 002,line-2,KAS-SYS-001,line-2-0552-0547-s001748 to line-2-0551-0487-s003006,1.748,3.006,line-2-0552-0547-s001748 to Gash Barka riverside picnic spot,safety,
KAS-WPT-L2-002,w-node-line-2-0552-0547-s001748--line-2-0551-0487-s003006,waypoint,wayside-node,line-2 waypoint 002,line-2,KAS-TRK-L2-002,line-2-0552-0547-s001748 to line-2-0551-0487-s003006,2.377,2.377,line-2-0552-0547-s001748 to Gash Barka riverside picnic spot midpoint W-Node,safety,
KAS-TRK-L2-003,line-2-0551-0487-s003006--line-2-0533-0358-s006111,track-section,standard-urban,line-2 section 003,line-2,KAS-SYS-001,line-2-0551-0487-s003006 to line-2-0533-0358-s006111,3.006,6.111,Gash Barka riverside picnic spot to مستشفي الكويتي للاطفال,safety,
KAS-WPT-L2-003,w-node-line-2-0551-0487-s003006--line-2-0533-0358-s006111,waypoint,wayside-node,line-2 waypoint 003,line-2,KAS-TRK-L2-003,line-2-0551-0487-s003006 to line-2-0533-0358-s006111,4.558,4.558,Gash Barka riverside picnic spot to مستشفي الكويتي للاطفال midpoint W-Node,safety,
KAS-TRK-L3-001,line-3-0533-0566-s000000--line-3-0624-0469-s003018,track-section,standard-urban,line-3 section 001,line-3,KAS-SYS-001,line-3-0533-0566-s000000 to line-3-0624-0469-s003018,0.000,3.018,استاد كسلا to line-3-0624-0469-s003018,safety,
KAS-WPT-L3-001,w-node-line-3-0533-0566-s000000--line-3-0624-0469-s003018,waypoint,wayside-node,line-3 waypoint 001,line-3,KAS-TRK-L3-001,line-3-0533-0566-s000000 to line-3-0624-0469-s003018,1.509,1.509,استاد كسلا to line-3-0624-0469-s003018 midpoint W-Node,safety,
KAS-TRK-L3-002,line-3-0624-0469-s003018--line-3-0718-0353-s007120,track-section,standard-urban,line-3 section 002,line-3,KAS-SYS-001,line-3-0624-0469-s003018 to line-3-0718-0353-s007120,3.018,7.120,line-3-0624-0469-s003018 to Souq ash-sha'abi,safety,
KAS-WPT-L3-002,w-node-line-3-0624-0469-s003018--line-3-0718-0353-s007120,waypoint,wayside-node,line-3 waypoint 002,line-3,KAS-TRK-L3-002,line-3-0624-0469-s003018 to line-3-0718-0353-s007120,5.069,5.069,line-3-0624-0469-s003018 to Souq ash-sha'abi midpoint W-Node,safety,
KAS-SW-001,sw-line-1-0422-0537-s000000-tb,switch,no-9-mainline,sw-line-1-0422-0537-s000000-tb,line-1,KAS-ST-001,line-1-0422-0537-s000000,,,line-1-0422-0537-s000000 turnback,safety,
KAS-SW-002,sw-line-1-0752-0316-s010315-tb,switch,no-9-mainline,sw-line-1-0752-0316-s010315-tb,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 turnback,safety,
KAS-SW-003,sw-line-1-0752-0316-s010315-yd-01,switch,no-9-mainline,sw-line-1-0752-0316-s010315-yd-01,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 yard-throat,safety,
KAS-SW-004,sw-line-1-0752-0316-s010315-yd-02,switch,no-9-mainline,sw-line-1-0752-0316-s010315-yd-02,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 yard-throat,safety,
KAS-SW-005,sw-line-1-0752-0316-s010315-yd-03,switch,no-9-mainline,sw-line-1-0752-0316-s010315-yd-03,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 yard-throat,safety,
KAS-SW-006,sw-line-1-0752-0316-s010315-yd-04,switch,no-9-mainline,sw-line-1-0752-0316-s010315-yd-04,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 yard-throat,safety,
KAS-SW-007,sw-line-1-0752-0316-s010315-yd-05,switch,no-9-mainline,sw-line-1-0752-0316-s010315-yd-05,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 yard-throat,safety,
KAS-SW-008,sw-line-1-0752-0316-s010315-yd-06,switch,no-9-mainline,sw-line-1-0752-0316-s010315-yd-06,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 yard-throat,safety,
KAS-SW-009,sw-line-1-0752-0316-s010315-yd-07,switch,no-9-mainline,sw-line-1-0752-0316-s010315-yd-07,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 yard-throat,safety,
KAS-SW-010,sw-line-1-0752-0316-s010315-yd-08,switch,no-9-mainline,sw-line-1-0752-0316-s010315-yd-08,line-1,KAS-ST-004,line-1-0752-0316-s010315,,,line-1-0752-0316-s010315 yard-throat,safety,
KAS-SW-011,sw-line-2-0561-0629-s000000-tb,switch,no-9-mainline,sw-line-2-0561-0629-s000000-tb,line-2,KAS-ST-005,line-2-0561-0629-s000000,,,line-2-0561-0629-s000000 turnback,safety,
KAS-SW-012,sw-line-2-0533-0358-s006111-tb,switch,no-9-mainline,sw-line-2-0533-0358-s006111-tb,line-2,KAS-ST-008,line-2-0533-0358-s006111,,,line-2-0533-0358-s006111 turnback,safety,
KAS-SW-013,sw-line-3-0533-0566-s000000-tb,switch,no-9-mainline,sw-line-3-0533-0566-s000000-tb,line-3,KAS-ST-009,line-3-0533-0566-s000000,,,line-3-0533-0566-s000000 turnback,safety,
KAS-SW-014,sw-line-3-0718-0353-s007120-tb,switch,no-9-mainline,sw-line-3-0718-0353-s007120-tb,line-3,KAS-ST-011,line-3-0718-0353-s007120,,,line-3-0718-0353-s007120 turnback,safety,
