sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.601128,15.49868483,0..30cm,27.0,20.0,34.0,41.0,22.0,54.0,31.0,23.0,42.0,1450.0,1260.0,1640.0,3.0,0.8,9.1,7.8,7.1,8.8
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.601128,15.49868483,30..60cm,30.0,23.0,37.0,37.0,25.0,53.0,33.0,24.0,43.0,1480.0,1270.0,1640.0,1.6,0.0,4.5,8.4,7.8,9.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.601128,15.49868483,60..100cm,30.0,24.0,37.0,36.0,23.0,53.0,34.0,24.0,43.0,1520.0,1300.0,1720.0,1.5,0.1,3.5,8.4,7.8,9.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,493.85,32.60079255,15.50188323,0..30cm,27.0,20.0,33.0,42.0,30.0,53.0,31.0,25.0,39.0,1470.0,1260.0,1700.0,3.2,1.1,9.1,7.7,7.0,8.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,493.85,32.60079255,15.50188323,30..60cm,30.0,23.0,37.0,37.0,25.0,52.0,33.0,24.0,41.0,1490.0,1270.0,1650.0,1.7,0.0,4.5,8.3,7.7,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,493.85,32.60079255,15.50188323,60..100cm,30.0,23.0,37.0,36.0,23.0,52.0,34.0,25.0,43.0,1520.0,1290.0,1730.0,1.5,0.1,3.1,8.4,7.8,9.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,987.7,32.59958338,15.50537256,0..30cm,26.0,20.0,32.0,43.0,31.0,55.0,30.0,23.0,39.0,1470.0,1210.0,1730.0,3.3,1.1,9.1,7.7,6.9,8.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,987.7,32.59958338,15.50537256,30..60cm,30.0,22.0,37.0,37.0,25.0,53.0,33.0,24.0,40.0,1480.0,1270.0,1650.0,1.7,0.0,4.8,8.3,7.7,9.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,987.7,32.59958338,15.50537256,60..100cm,30.0,22.0,36.0,36.0,26.0,53.0,33.0,25.0,41.0,1510.0,1290.0,1730.0,1.5,0.1,3.4,8.3,7.7,9.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,987.7,32.59958338,15.50537256,0..30cm,26.0,20.0,32.0,43.0,31.0,55.0,30.0,23.0,39.0,1470.0,1210.0,1730.0,3.3,1.1,9.1,7.7,6.9,8.8
