sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,24.83037936,12.00231739,0..30cm,26.0,16.0,37.0,49.0,29.0,71.0,24.0,13.0,36.0,1450.0,1270.0,1620.0,4.1,2.0,7.2,6.4,5.0,7.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,24.83037936,12.00231739,30..60cm,28.0,13.0,43.0,50.0,24.0,74.0,22.0,8.0,34.0,1380.0,1120.0,1610.0,3.1,1.4,5.7,6.4,4.5,7.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,24.83037936,12.00231739,60..100cm,26.0,11.0,43.0,53.0,24.0,84.0,21.0,6.0,34.0,1330.0,770.0,1620.0,2.4,0.8,5.2,6.3,4.6,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1030.215,24.83805005,12.00202535,0..30cm,26.0,15.0,35.0,51.0,32.0,74.0,23.0,13.0,36.0,1450.0,1290.0,1630.0,4.2,1.8,7.1,6.5,5.1,7.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1030.215,24.83805005,12.00202535,30..60cm,28.0,12.0,44.0,51.0,22.0,76.0,22.0,7.0,35.0,1380.0,1150.0,1610.0,3.0,1.3,5.1,6.4,4.7,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1030.215,24.83805005,12.00202535,60..100cm,27.0,10.0,43.0,51.0,21.0,84.0,22.0,7.0,35.0,1340.0,770.0,1620.0,2.4,0.8,6.0,6.4,4.7,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2060.43,24.84327848,12.0088735,0..30cm,25.0,15.0,34.0,52.0,34.0,74.0,23.0,12.0,35.0,1460.0,1300.0,1650.0,4.2,2.0,7.3,6.4,5.1,7.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2060.43,24.84327848,12.0088735,30..60cm,26.0,12.0,38.0,53.0,30.0,80.0,21.0,7.0,35.0,1390.0,1170.0,1610.0,3.1,1.7,5.7,6.3,4.7,7.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2060.43,24.84327848,12.0088735,60..100cm,25.0,10.0,40.0,54.0,31.0,85.0,20.0,6.0,34.0,1340.0,770.0,1640.0,2.5,0.9,5.7,6.2,4.7,7.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3090.645,24.84826829,12.01611866,0..30cm,26.0,14.0,34.0,50.0,30.0,71.0,25.0,13.0,36.0,1470.0,1300.0,1660.0,3.5,1.5,7.5,6.1,5.0,7.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3090.645,24.84826829,12.01611866,30..60cm,27.0,14.0,42.0,50.0,22.0,77.0,23.0,12.0,37.0,1400.0,1170.0,1600.0,2.7,1.3,4.9,6.0,4.7,7.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3090.645,24.84826829,12.01611866,60..100cm,28.0,13.0,42.0,49.0,22.0,74.0,23.0,13.0,38.0,1360.0,980.0,1640.0,2.6,0.9,6.4,6.0,4.7,8.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4120.86,24.85664375,12.01950119,0..30cm,25.0,14.0,34.0,49.0,30.0,73.0,25.0,10.0,36.0,1490.0,1300.0,1680.0,3.8,1.7,7.5,6.3,5.0,7.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4120.86,24.85664375,12.01950119,30..60cm,26.0,10.0,42.0,49.0,18.0,77.0,25.0,9.0,41.0,1420.0,1200.0,1620.0,2.8,1.5,4.5,6.3,4.7,8.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4120.86,24.85664375,12.01950119,60..100cm,26.0,10.0,43.0,48.0,18.0,81.0,25.0,8.0,43.0,1370.0,1130.0,1620.0,2.6,1.1,5.4,6.3,4.7,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4427.3,24.85916623,12.0203768,0..30cm,23.0,13.0,32.0,53.0,34.0,75.0,24.0,10.0,33.0,1500.0,1320.0,1690.0,3.8,1.8,6.4,6.2,5.0,8.1
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4427.3,24.85916623,12.0203768,30..60cm,24.0,10.0,38.0,53.0,24.0,84.0,23.0,9.0,37.0,1430.0,1210.0,1630.0,2.9,1.5,5.1,6.2,4.7,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4427.3,24.85916623,12.0203768,60..100cm,24.0,10.0,40.0,53.0,24.0,83.0,23.0,8.0,34.0,1380.0,1130.0,1630.0,2.7,1.2,5.4,6.2,4.7,8.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5151.076,24.86503128,12.02283353,0..30cm,24.0,13.0,33.0,52.0,34.0,75.0,24.0,10.0,33.0,1500.0,1320.0,1670.0,3.8,1.9,6.4,6.3,5.0,8.0
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5151.076,24.86503128,12.02283353,30..60cm,24.0,10.0,38.0,52.0,27.0,84.0,23.0,9.0,36.0,1430.0,1210.0,1630.0,2.9,1.5,4.3,6.3,4.7,8.1
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5151.076,24.86503128,12.02283353,60..100cm,25.0,9.0,42.0,52.0,24.0,84.0,24.0,8.0,36.0,1380.0,1130.0,1620.0,2.5,1.1,4.9,6.3,4.5,8.2
