sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,27.94008607,-32.97518152,0..30cm,23.0,8.0,39.0,60.0,31.0,86.0,16.0,4.0,29.0,1310.0,1170.0,1500.0,10.8,6.2,17.7,6.3,5.2,7.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,27.94008607,-32.97518152,30..60cm,25.0,9.0,41.0,61.0,34.0,87.0,13.0,0.0,29.0,1440.0,1280.0,1580.0,6.7,3.7,11.4,6.5,5.5,7.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,27.94008607,-32.97518152,60..100cm,26.0,9.0,43.0,62.0,34.0,88.0,12.0,0.0,27.0,1470.0,1290.0,1660.0,4.7,2.3,8.2,6.7,5.4,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,778.0,27.93282171,-32.97429985,0..30cm,24.0,11.0,38.0,57.0,33.0,83.0,18.0,6.0,30.0,1280.0,1070.0,1470.0,9.4,5.6,15.4,6.3,5.2,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,778.0,27.93282171,-32.97429985,30..60cm,26.0,9.0,40.0,58.0,32.0,83.0,16.0,3.0,29.0,1380.0,1160.0,1580.0,6.4,3.0,14.0,6.5,5.6,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,778.0,27.93282171,-32.97429985,60..100cm,27.0,9.0,41.0,58.0,32.0,84.0,15.0,2.0,31.0,1410.0,1120.0,1670.0,5.1,2.2,10.4,6.7,5.4,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1035.911,27.93078132,-32.97307407,0..30cm,27.0,12.0,41.0,53.0,29.0,81.0,20.0,6.0,35.0,1270.0,1100.0,1430.0,13.7,9.2,20.1,6.1,5.2,7.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1035.911,27.93078132,-32.97307407,30..60cm,30.0,12.0,43.0,52.0,27.0,83.0,18.0,2.0,38.0,1410.0,1220.0,1600.0,7.5,4.8,13.8,6.2,5.4,7.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1035.911,27.93078132,-32.97307407,60..100cm,30.0,13.0,44.0,52.0,25.0,82.0,18.0,2.0,31.0,1470.0,1300.0,1710.0,5.3,2.9,8.7,6.4,5.3,7.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1556.0,27.92571581,-32.97392705,0..30cm,27.0,14.0,40.0,52.0,30.0,74.0,21.0,9.0,33.0,1100.0,940.0,1270.0,22.8,10.0,46.4,6.0,5.0,7.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1556.0,27.92571581,-32.97392705,30..60cm,30.0,16.0,42.0,51.0,29.0,76.0,19.0,6.0,31.0,1180.0,990.0,1430.0,12.1,5.9,21.5,6.3,5.4,7.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1556.0,27.92571581,-32.97392705,60..100cm,31.0,14.0,45.0,49.0,25.0,76.0,19.0,4.0,31.0,1180.0,900.0,1490.0,8.2,2.8,16.8,6.5,5.4,7.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,1556.0,27.92571581,-32.97392705,0..30cm,27.0,14.0,40.0,52.0,30.0,74.0,21.0,9.0,33.0,1100.0,940.0,1270.0,22.8,10.0,46.4,6.0,5.0,7.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,1556.0,27.92571581,-32.97392705,30..60cm,30.0,16.0,42.0,51.0,29.0,76.0,19.0,6.0,31.0,1180.0,990.0,1430.0,12.1,5.9,21.5,6.3,5.4,7.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,1556.0,27.92571581,-32.97392705,60..100cm,31.0,14.0,45.0,49.0,25.0,76.0,19.0,4.0,31.0,1180.0,900.0,1490.0,8.2,2.8,16.8,6.5,5.4,7.7
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,1570.15,27.92558504,-32.97398196,0..30cm,27.0,14.0,40.0,52.0,30.0,74.0,21.0,9.0,33.0,1100.0,940.0,1270.0,22.8,10.0,46.4,6.0,5.0,7.0
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,1570.15,27.92558504,-32.97398196,30..60cm,30.0,16.0,42.0,51.0,29.0,76.0,19.0,6.0,31.0,1180.0,990.0,1430.0,12.1,5.9,21.5,6.3,5.4,7.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,1570.15,27.92558504,-32.97398196,60..100cm,31.0,14.0,45.0,49.0,25.0,76.0,19.0,4.0,31.0,1180.0,900.0,1490.0,8.2,2.8,16.8,6.5,5.4,7.7
