sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,30.92972562,-25.46177983,0..30cm,30.0,18.0,40.0,52.0,33.0,75.0,18.0,5.0,34.0,1220.0,1090.0,1370.0,9.8,6.3,15.5,6.4,5.4,7.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,30.92972562,-25.46177983,30..60cm,32.0,19.0,45.0,51.0,33.0,77.0,17.0,2.0,31.0,1330.0,1150.0,1490.0,6.3,3.8,11.5,6.4,5.5,7.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,30.92972562,-25.46177983,60..100cm,33.0,19.0,48.0,50.0,29.0,77.0,17.0,2.0,31.0,1380.0,1110.0,1610.0,4.8,1.9,8.7,6.5,5.4,7.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1002.003,30.93517121,-25.46603367,0..30cm,29.0,15.0,39.0,54.0,33.0,75.0,18.0,5.0,31.0,1260.0,1150.0,1380.0,13.3,8.5,18.3,5.9,5.3,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1002.003,30.93517121,-25.46603367,30..60cm,32.0,20.0,43.0,52.0,31.0,74.0,16.0,4.0,31.0,1320.0,1140.0,1490.0,6.3,4.2,9.0,6.0,5.4,6.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1002.003,30.93517121,-25.46603367,60..100cm,33.0,18.0,48.0,50.0,24.0,75.0,17.0,1.0,33.0,1350.0,1130.0,1520.0,4.7,2.8,6.7,6.1,5.2,6.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2004.006,30.94310464,-25.46263878,0..30cm,29.0,15.0,40.0,53.0,31.0,75.0,18.0,4.0,31.0,1300.0,1210.0,1430.0,13.3,8.3,21.1,6.1,5.4,6.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2004.006,30.94310464,-25.46263878,30..60cm,32.0,20.0,44.0,52.0,30.0,75.0,16.0,1.0,29.0,1380.0,1240.0,1510.0,6.1,4.1,8.4,6.2,5.4,7.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2004.006,30.94310464,-25.46263878,60..100cm,32.0,18.0,44.0,52.0,26.0,77.0,16.0,0.0,32.0,1400.0,1280.0,1530.0,4.2,2.6,6.5,6.4,5.5,7.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3006.009,30.95086863,-25.46231973,0..30cm,28.0,14.0,40.0,55.0,32.0,80.0,18.0,3.0,31.0,1250.0,1150.0,1340.0,13.3,8.0,22.8,6.1,5.3,6.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3006.009,30.95086863,-25.46231973,30..60cm,30.0,17.0,44.0,54.0,29.0,79.0,16.0,0.0,31.0,1340.0,1160.0,1480.0,5.8,3.3,9.6,6.1,5.3,6.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3006.009,30.95086863,-25.46231973,60..100cm,32.0,14.0,46.0,52.0,24.0,81.0,17.0,0.0,33.0,1400.0,1240.0,1530.0,4.1,2.3,6.2,6.3,5.3,7.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4008.012,30.95860122,-25.46717882,0..30cm,28.0,17.0,40.0,55.0,35.0,75.0,17.0,2.0,30.0,1270.0,1170.0,1380.0,10.2,5.8,16.5,6.2,5.3,7.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4008.012,30.95860122,-25.46717882,30..60cm,30.0,17.0,42.0,54.0,30.0,79.0,16.0,1.0,31.0,1350.0,1210.0,1500.0,6.1,2.9,11.4,6.3,5.4,7.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4008.012,30.95860122,-25.46717882,60..100cm,31.0,17.0,44.0,53.0,27.0,78.0,16.0,2.0,32.0,1410.0,1320.0,1550.0,4.9,2.4,9.4,6.5,5.5,7.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5010.015,30.96788992,-25.46789868,0..30cm,29.0,17.0,40.0,54.0,34.0,77.0,17.0,3.0,31.0,1220.0,1140.0,1360.0,14.4,7.7,28.1,6.1,5.2,7.0
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5010.015,30.96788992,-25.46789868,30..60cm,32.0,19.0,44.0,53.0,30.0,77.0,16.0,0.0,28.0,1320.0,1120.0,1490.0,6.6,3.7,10.6,6.2,5.4,7.2
