sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,90.32195481,22.74979946,0..30cm,30.0,16.0,44.0,41.0,12.0,66.0,29.0,14.0,46.0,1000.0,780.0,1220.0,17.2,8.3,33.6,6.2,4.8,7.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,90.32195481,22.74979946,30..60cm,30.0,17.0,44.0,42.0,14.0,68.0,28.0,10.0,45.0,970.0,770.0,1220.0,13.7,5.9,24.3,6.5,5.3,7.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,90.32195481,22.74979946,60..100cm,31.0,17.0,44.0,41.0,12.0,68.0,28.0,11.0,46.0,940.0,720.0,1220.0,12.1,7.0,20.1,6.7,5.3,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,90.32173116,22.74977275,0..30cm,30.0,16.0,44.0,41.0,12.0,66.0,29.0,14.0,46.0,1000.0,780.0,1220.0,17.2,8.3,33.6,6.2,4.8,7.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,90.32173116,22.74977275,30..60cm,30.0,17.0,44.0,42.0,14.0,68.0,28.0,10.0,45.0,970.0,770.0,1220.0,13.7,5.9,24.3,6.5,5.3,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,24.15,90.32173116,22.74977275,60..100cm,31.0,17.0,44.0,41.0,12.0,68.0,28.0,11.0,46.0,940.0,720.0,1220.0,12.1,7.0,20.1,6.7,5.3,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,90.32156431,22.74961856,0..30cm,30.0,16.0,44.0,41.0,12.0,66.0,29.0,14.0,46.0,1000.0,780.0,1220.0,17.2,8.3,33.6,6.2,4.8,7.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,90.32156431,22.74961856,30..60cm,30.0,17.0,44.0,42.0,14.0,68.0,28.0,10.0,45.0,970.0,770.0,1220.0,13.7,5.9,24.3,6.5,5.3,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,48.3,90.32156431,22.74961856,60..100cm,31.0,17.0,44.0,41.0,12.0,68.0,28.0,11.0,46.0,940.0,720.0,1220.0,12.1,7.0,20.1,6.7,5.3,8.1
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,48.3,90.32156431,22.74961856,0..30cm,30.0,16.0,44.0,41.0,12.0,66.0,29.0,14.0,46.0,1000.0,780.0,1220.0,17.2,8.3,33.6,6.2,4.8,7.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,48.3,90.32156431,22.74961856,30..60cm,30.0,17.0,44.0,42.0,14.0,68.0,28.0,10.0,45.0,970.0,770.0,1220.0,13.7,5.9,24.3,6.5,5.3,7.9
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,48.3,90.32156431,22.74961856,60..100cm,31.0,17.0,44.0,41.0,12.0,68.0,28.0,11.0,46.0,940.0,720.0,1220.0,12.1,7.0,20.1,6.7,5.3,8.1
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1047.974,90.3235128,22.74244964,0..30cm,27.0,13.0,38.0,46.0,19.0,69.0,27.0,11.0,45.0,990.0,800.0,1220.0,20.1,8.4,48.2,6.1,4.8,7.6
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1047.974,90.3235128,22.74244964,30..60cm,28.0,13.0,40.0,46.0,16.0,82.0,26.0,9.0,43.0,1050.0,890.0,1250.0,16.8,9.8,32.0,6.5,5.0,7.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1047.974,90.3235128,22.74244964,60..100cm,28.0,13.0,43.0,46.0,15.0,77.0,26.0,7.0,43.0,1070.0,880.0,1300.0,14.3,9.0,20.1,6.7,5.3,8.1
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2047.647,90.32888467,22.73601701,0..30cm,27.0,13.0,40.0,47.0,19.0,68.0,26.0,12.0,44.0,1010.0,820.0,1200.0,18.9,8.0,43.6,6.1,4.8,7.6
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2047.647,90.32888467,22.73601701,30..60cm,27.0,14.0,40.0,48.0,24.0,75.0,25.0,9.0,40.0,1040.0,850.0,1220.0,16.0,7.9,34.0,6.4,5.3,7.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2047.647,90.32888467,22.73601701,60..100cm,27.0,16.0,38.0,48.0,18.0,76.0,25.0,9.0,42.0,1060.0,890.0,1280.0,12.9,8.5,19.8,6.7,5.3,8.1
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,2342.5,90.33131632,22.73502971,0..30cm,26.0,12.0,40.0,48.0,19.0,68.0,26.0,12.0,39.0,1020.0,820.0,1220.0,17.4,6.4,47.4,6.1,4.8,7.6
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,2342.5,90.33131632,22.73502971,30..60cm,27.0,14.0,38.0,48.0,24.0,75.0,25.0,9.0,40.0,1090.0,940.0,1260.0,12.9,7.5,21.4,6.4,5.3,7.9
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,2342.5,90.33131632,22.73502971,60..100cm,27.0,15.0,38.0,48.0,18.0,76.0,25.0,11.0,42.0,1110.0,890.0,1300.0,12.3,9.0,16.7,6.7,5.3,8.1
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,3047.321,90.3336348,22.7303677,0..30cm,26.0,13.0,39.0,49.0,25.0,69.0,25.0,11.0,39.0,1020.0,790.0,1230.0,19.2,10.3,42.3,6.2,4.6,7.6
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,3047.321,90.3336348,22.7303677,30..60cm,26.0,13.0,39.0,50.0,24.0,76.0,24.0,8.0,40.0,1040.0,760.0,1350.0,13.7,7.2,24.0,6.5,5.1,7.9
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,3047.321,90.3336348,22.7303677,60..100cm,26.0,13.0,37.0,50.0,18.0,82.0,24.0,7.0,41.0,1010.0,740.0,1330.0,13.7,8.3,18.4,6.7,5.2,8.1
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4046.994,90.34060611,22.72518533,0..30cm,27.0,16.0,42.0,46.0,19.0,66.0,26.0,13.0,39.0,1010.0,730.0,1260.0,18.7,10.6,38.3,6.1,4.6,7.6
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4046.994,90.34060611,22.72518533,30..60cm,27.0,15.0,39.0,47.0,24.0,70.0,25.0,11.0,40.0,1030.0,760.0,1310.0,14.2,6.9,37.6,6.5,5.1,7.9
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,4046.994,90.34060611,22.72518533,60..100cm,27.0,16.0,38.0,48.0,17.0,70.0,25.0,9.0,42.0,990.0,680.0,1310.0,15.0,5.2,47.0,6.7,5.3,8.1
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,4636.7,90.34227993,22.7207591,0..30cm,27.0,14.0,38.0,48.0,26.0,68.0,25.0,11.0,39.0,1040.0,820.0,1340.0,17.7,8.9,40.9,6.1,4.6,7.6
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,4636.7,90.34227993,22.7207591,30..60cm,27.0,14.0,39.0,48.0,24.0,72.0,25.0,11.0,39.0,1070.0,800.0,1360.0,13.6,5.9,30.7,6.5,5.3,7.9
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,4636.7,90.34227993,22.7207591,60..100cm,27.0,15.0,38.0,48.0,17.0,76.0,25.0,10.0,42.0,1020.0,710.0,1320.0,13.0,6.3,25.7,6.7,5.4,8.1
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,elevated,4636.7,90.34227993,22.7207591,0..30cm,27.0,14.0,38.0,48.0,26.0,68.0,25.0,11.0,39.0,1040.0,820.0,1340.0,17.7,8.9,40.9,6.1,4.6,7.6
