sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,90.39672362,23.86730202,0..30cm,25.0,10.0,41.0,51.0,23.0,75.0,24.0,7.0,38.0,1170.0,870.0,1520.0,19.1,6.0,62.8,5.9,4.7,7.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,90.39672362,23.86730202,30..60cm,27.0,9.0,44.0,51.0,22.0,83.0,22.0,4.0,39.0,1140.0,810.0,1470.0,11.2,3.0,37.1,6.2,4.8,7.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,90.39672362,23.86730202,60..100cm,28.0,9.0,44.0,49.0,16.0,80.0,23.0,6.0,40.0,1100.0,660.0,1520.0,5.8,1.8,17.6,6.3,4.8,7.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,90.39681668,23.86738717,0..30cm,25.0,10.0,41.0,51.0,23.0,75.0,24.0,7.0,38.0,1170.0,870.0,1520.0,19.1,6.0,62.8,5.9,4.7,7.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,90.39681668,23.86738717,30..60cm,27.0,9.0,44.0,51.0,22.0,83.0,22.0,4.0,39.0,1140.0,810.0,1470.0,11.2,3.0,37.1,6.2,4.8,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,90.39681668,23.86738717,60..100cm,28.0,9.0,44.0,49.0,16.0,80.0,23.0,6.0,40.0,1100.0,660.0,1520.0,5.8,1.8,17.6,6.3,4.8,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,90.39690973,23.86747233,0..30cm,25.0,10.0,41.0,51.0,23.0,75.0,24.0,7.0,38.0,1170.0,870.0,1520.0,19.1,6.0,62.8,5.9,4.7,7.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,90.39690973,23.86747233,30..60cm,27.0,9.0,44.0,51.0,22.0,83.0,22.0,4.0,39.0,1140.0,810.0,1470.0,11.2,3.0,37.1,6.2,4.8,7.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,90.39690973,23.86747233,60..100cm,28.0,9.0,44.0,49.0,16.0,80.0,23.0,6.0,40.0,1100.0,660.0,1520.0,5.8,1.8,17.6,6.3,4.8,7.9
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,90.39690973,23.86747233,0..30cm,25.0,10.0,41.0,51.0,23.0,75.0,24.0,7.0,38.0,1170.0,870.0,1520.0,19.1,6.0,62.8,5.9,4.7,7.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,90.39690973,23.86747233,30..60cm,27.0,9.0,44.0,51.0,22.0,83.0,22.0,4.0,39.0,1140.0,810.0,1470.0,11.2,3.0,37.1,6.2,4.8,7.5
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,90.39690973,23.86747233,60..100cm,28.0,9.0,44.0,49.0,16.0,80.0,23.0,6.0,40.0,1100.0,660.0,1520.0,5.8,1.8,17.6,6.3,4.8,7.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1086.936,90.40046025,23.87393907,0..30cm,25.0,10.0,43.0,52.0,23.0,78.0,22.0,7.0,38.0,1160.0,850.0,1500.0,15.9,4.2,40.9,5.9,4.7,7.3
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1086.936,90.40046025,23.87393907,30..60cm,27.0,10.0,47.0,51.0,23.0,82.0,21.0,4.0,40.0,1140.0,800.0,1490.0,13.8,4.2,49.4,6.2,4.8,7.5
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1086.936,90.40046025,23.87393907,60..100cm,29.0,10.0,47.0,49.0,18.0,76.0,22.0,4.0,37.0,1110.0,640.0,1520.0,9.5,2.2,35.4,6.3,4.8,7.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2145.572,90.40243708,23.87985699,0..30cm,25.0,9.0,37.0,53.0,23.0,83.0,23.0,7.0,38.0,1110.0,820.0,1480.0,19.2,6.1,60.6,5.9,4.7,7.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2145.572,90.40243708,23.87985699,30..60cm,26.0,8.0,46.0,53.0,23.0,86.0,21.0,3.0,40.0,1090.0,750.0,1440.0,12.4,3.5,46.0,6.2,4.8,7.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2145.572,90.40243708,23.87985699,60..100cm,27.0,8.0,46.0,51.0,22.0,86.0,22.0,5.0,36.0,1050.0,510.0,1520.0,7.7,2.1,18.8,6.4,4.8,8.0
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,2317.85,90.40097885,23.88014495,0..30cm,25.0,9.0,41.0,51.0,24.0,79.0,23.0,8.0,38.0,1150.0,820.0,1500.0,16.7,4.2,54.6,5.9,4.7,7.3
