sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,89.469583,22.97809218,0..30cm,22.0,7.0,36.0,54.0,35.0,81.0,24.0,10.0,38.0,1090.0,850.0,1420.0,16.9,6.7,37.5,6.3,4.9,7.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,89.469583,22.97809218,30..60cm,23.0,7.0,36.0,53.0,30.0,79.0,24.0,8.0,37.0,1120.0,780.0,1420.0,9.4,3.6,21.9,6.4,5.1,7.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,89.469583,22.97809218,60..100cm,24.0,7.0,36.0,52.0,26.0,82.0,24.0,8.0,40.0,1080.0,720.0,1480.0,5.6,2.0,12.2,6.6,5.1,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1073.137,89.47510294,22.97243442,0..30cm,21.0,7.0,39.0,56.0,32.0,85.0,23.0,8.0,38.0,1110.0,820.0,1430.0,11.5,4.4,28.0,6.4,5.1,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1073.137,89.47510294,22.97243442,30..60cm,22.0,5.0,40.0,55.0,25.0,83.0,23.0,8.0,38.0,1150.0,820.0,1560.0,7.3,2.5,14.9,6.5,5.1,7.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1073.137,89.47510294,22.97243442,60..100cm,23.0,7.0,43.0,53.0,18.0,83.0,24.0,8.0,40.0,1130.0,760.0,1550.0,5.1,1.5,15.2,6.6,5.2,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2146.275,89.47809386,22.96424088,0..30cm,22.0,6.0,38.0,55.0,26.0,83.0,23.0,8.0,41.0,1020.0,800.0,1310.0,15.6,8.0,42.9,6.2,4.8,7.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2146.275,89.47809386,22.96424088,30..60cm,22.0,6.0,38.0,55.0,25.0,85.0,23.0,8.0,41.0,1060.0,840.0,1300.0,8.6,3.4,19.1,6.4,5.1,7.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2146.275,89.47809386,22.96424088,60..100cm,23.0,7.0,40.0,54.0,25.0,86.0,23.0,7.0,41.0,1080.0,830.0,1400.0,5.3,1.6,10.2,6.6,5.2,8.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3219.412,89.48018618,22.95610698,0..30cm,25.0,8.0,41.0,49.0,14.0,81.0,27.0,11.0,42.0,1090.0,830.0,1420.0,15.5,5.3,42.5,6.2,4.8,7.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3219.412,89.48018618,22.95610698,30..60cm,25.0,7.0,41.0,49.0,16.0,83.0,26.0,9.0,42.0,1120.0,860.0,1440.0,11.0,3.7,33.3,6.4,5.1,7.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3219.412,89.48018618,22.95610698,60..100cm,25.0,8.0,41.0,49.0,15.0,83.0,26.0,9.0,42.0,1110.0,830.0,1480.0,5.7,1.9,16.4,6.6,5.3,7.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4292.55,89.47873633,22.94748908,0..30cm,25.0,8.0,42.0,48.0,14.0,81.0,27.0,10.0,42.0,1090.0,850.0,1460.0,16.3,5.9,42.9,6.2,4.8,7.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4292.55,89.47873633,22.94748908,30..60cm,26.0,8.0,43.0,48.0,16.0,83.0,26.0,8.0,42.0,1130.0,830.0,1400.0,13.0,4.6,34.2,6.3,5.1,7.7
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4292.55,89.47873633,22.94748908,60..100cm,26.0,8.0,43.0,48.0,16.0,83.0,26.0,8.0,42.0,1100.0,800.0,1500.0,9.9,3.3,21.9,6.5,5.1,8.0
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4841.15,89.48129227,22.94406756,0..30cm,26.0,10.0,42.0,46.0,15.0,79.0,27.0,11.0,41.0,1080.0,810.0,1470.0,17.1,5.8,40.8,6.2,4.8,7.5
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4841.15,89.48129227,22.94406756,30..60cm,27.0,8.0,44.0,46.0,15.0,80.0,27.0,9.0,42.0,1120.0,800.0,1440.0,12.8,4.8,33.5,6.4,5.0,7.8
