sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,90.5334792,23.55418172,0..30cm,25.0,12.0,37.0,48.0,24.0,69.0,27.0,9.0,39.0,1020.0,740.0,1270.0,18.3,6.7,45.3,5.8,4.6,7.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,90.5334792,23.55418172,30..60cm,26.0,12.0,38.0,47.0,23.0,71.0,27.0,11.0,45.0,1050.0,810.0,1330.0,11.2,3.3,35.8,6.1,4.8,7.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,90.5334792,23.55418172,60..100cm,27.0,12.0,43.0,46.0,15.0,68.0,27.0,12.0,45.0,1050.0,810.0,1340.0,8.3,2.1,20.4,6.3,4.8,7.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1060.604,90.53002353,23.5605552,0..30cm,25.0,13.0,37.0,50.0,31.0,72.0,26.0,11.0,38.0,990.0,740.0,1220.0,19.3,7.4,55.5,5.8,4.4,7.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1060.604,90.53002353,23.5605552,30..60cm,25.0,14.0,40.0,49.0,26.0,73.0,26.0,8.0,42.0,1020.0,820.0,1260.0,11.0,3.8,38.3,6.1,4.9,7.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1060.604,90.53002353,23.5605552,60..100cm,26.0,13.0,42.0,48.0,23.0,71.0,26.0,12.0,40.0,1010.0,770.0,1210.0,6.9,2.6,17.0,6.3,4.9,7.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1651.65,90.52514228,23.56255276,0..30cm,25.0,10.0,37.0,50.0,26.0,77.0,26.0,7.0,39.0,1020.0,800.0,1240.0,17.3,7.9,34.7,5.9,4.5,7.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1651.65,90.52514228,23.56255276,30..60cm,25.0,12.0,38.0,49.0,23.0,77.0,26.0,7.0,42.0,1020.0,830.0,1200.0,10.9,4.1,21.7,6.1,4.9,7.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1651.65,90.52514228,23.56255276,60..100cm,27.0,10.0,39.0,47.0,18.0,72.0,26.0,12.0,42.0,1000.0,800.0,1190.0,7.1,2.1,15.3,6.3,4.9,7.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2121.209,90.52129915,23.56407986,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2121.209,90.52129915,23.56407986,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2121.209,90.52129915,23.56407986,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3181.813,90.51359331,23.56897984,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3181.813,90.51359331,23.56897984,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3181.813,90.51359331,23.56897984,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,3303.3,90.51347743,23.56999668,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,3303.3,90.51347743,23.56999668,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,3303.3,90.51347743,23.56999668,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,3303.3,90.51347743,23.56999668,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,3303.3,90.51347743,23.56999668,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,3303.3,90.51347743,23.56999668,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4366.601,90.51253481,23.57869499,0..30cm,25.0,11.0,38.0,51.0,26.0,78.0,24.0,8.0,39.0,1030.0,740.0,1240.0,14.4,4.7,49.5,5.9,4.6,7.1
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4366.601,90.51253481,23.57869499,30..60cm,26.0,12.0,39.0,49.0,22.0,80.0,25.0,8.0,43.0,1080.0,820.0,1310.0,11.1,4.0,30.2,6.1,4.9,7.5
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4366.601,90.51253481,23.57869499,60..100cm,27.0,11.0,42.0,48.0,18.0,77.0,25.0,8.0,46.0,1080.0,770.0,1390.0,9.3,2.6,31.6,6.3,5.0,7.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4901.45,90.51171257,23.58303192,0..30cm,24.0,7.0,41.0,52.0,18.0,82.0,24.0,8.0,39.0,1010.0,790.0,1260.0,14.2,4.4,33.6,5.9,4.6,7.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4901.45,90.51171257,23.58303192,30..60cm,25.0,8.0,44.0,51.0,19.0,84.0,24.0,7.0,41.0,1000.0,800.0,1240.0,5.7,1.4,11.5,6.2,4.7,7.6
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4901.45,90.51171257,23.58303192,60..100cm,26.0,8.0,44.0,50.0,13.0,84.0,24.0,7.0,40.0,980.0,680.0,1240.0,5.0,1.4,11.5,6.4,4.9,8.0
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,elevated,5429.902,90.51171257,23.58751934,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,elevated,5429.902,90.51171257,23.58751934,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,elevated,5429.902,90.51171257,23.58751934,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,elevated,6493.203,90.50612034,23.59440737,0..30cm,24.0,9.0,39.0,51.0,15.0,86.0,24.0,7.0,41.0,1000.0,790.0,1210.0,15.0,4.7,37.9,5.9,4.6,7.4
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,elevated,6493.203,90.50612034,23.59440737,30..60cm,25.0,9.0,42.0,50.0,16.0,86.0,25.0,3.0,43.0,980.0,790.0,1240.0,6.2,1.4,13.6,6.1,4.8,7.7
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,elevated,6493.203,90.50612034,23.59440737,60..100cm,26.0,9.0,43.0,48.0,13.0,86.0,25.0,6.0,44.0,940.0,580.0,1230.0,5.0,1.5,11.7,6.3,4.8,8.0
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,elevated,6499.6,90.50607857,23.5944457,0..30cm,24.0,9.0,39.0,51.0,15.0,86.0,24.0,7.0,41.0,1000.0,790.0,1210.0,15.0,4.7,37.9,5.9,4.6,7.4
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,elevated,6499.6,90.50607857,23.5944457,30..60cm,25.0,9.0,42.0,50.0,16.0,86.0,25.0,3.0,43.0,980.0,790.0,1240.0,6.2,1.4,13.6,6.1,4.8,7.7
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,elevated,6499.6,90.50607857,23.5944457,60..100cm,26.0,9.0,43.0,48.0,13.0,86.0,25.0,6.0,44.0,940.0,580.0,1230.0,5.0,1.5,11.7,6.3,4.8,8.0
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,6499.6,90.50607857,23.5944457,0..30cm,24.0,9.0,39.0,51.0,15.0,86.0,24.0,7.0,41.0,1000.0,790.0,1210.0,15.0,4.7,37.9,5.9,4.6,7.4
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,6499.6,90.50607857,23.5944457,30..60cm,25.0,9.0,42.0,50.0,16.0,86.0,25.0,3.0,43.0,980.0,790.0,1240.0,6.2,1.4,13.6,6.1,4.8,7.7
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,6499.6,90.50607857,23.5944457,60..100cm,26.0,9.0,43.0,48.0,13.0,86.0,25.0,6.0,44.0,940.0,580.0,1230.0,5.0,1.5,11.7,6.3,4.8,8.0
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,6513.7,90.50598633,23.59453035,0..30cm,25.0,14.0,36.0,51.0,34.0,67.0,24.0,12.0,37.0,1010.0,780.0,1240.0,17.2,7.3,41.3,5.9,4.6,7.2
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,6513.7,90.50598633,23.59453035,30..60cm,26.0,15.0,35.0,49.0,26.0,68.0,25.0,12.0,38.0,1040.0,800.0,1330.0,9.0,2.9,28.2,6.2,4.9,7.7
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,6513.7,90.50598633,23.59453035,60..100cm,28.0,16.0,40.0,47.0,22.0,67.0,26.0,12.0,38.0,1020.0,680.0,1320.0,6.8,1.8,17.9,6.4,4.9,7.9
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,6527.8,90.50589409,23.59461501,0..30cm,25.0,14.0,36.0,51.0,34.0,67.0,24.0,12.0,37.0,1010.0,780.0,1240.0,17.2,7.3,41.3,5.9,4.6,7.2
segment:line-1-civil-003:0002,civil_segment,line-1-civil-003,line-1,at-grade,6527.8,90.50589409,23.59461501,30..60cm,26.0,15.0,35.0,49.0,26.0,68.0,25.0,12.0,38.0,1040.0,800.0,1330.0,9.0,2.9,28.2,6.2,4.9,7.7
