sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,88.64915093,24.36822981,0..30cm,24.0,10.0,35.0,50.0,27.0,79.0,26.0,11.0,39.0,1310.0,1070.0,1580.0,10.0,5.0,21.0,6.1,4.9,7.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,88.64915093,24.36822981,30..60cm,25.0,10.0,37.0,49.0,24.0,80.0,26.0,9.0,42.0,1370.0,1070.0,1600.0,6.7,3.3,10.4,6.3,5.1,7.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,88.64915093,24.36822981,60..100cm,26.0,12.0,37.0,47.0,21.0,70.0,27.0,11.0,44.0,1400.0,1040.0,1680.0,4.3,2.0,7.8,6.5,5.2,8.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.89,88.64715599,24.37560842,0..30cm,25.0,10.0,37.0,49.0,19.0,75.0,27.0,13.0,41.0,1270.0,980.0,1530.0,11.3,4.7,26.1,6.2,5.0,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.89,88.64715599,24.37560842,30..60cm,25.0,11.0,37.0,49.0,18.0,82.0,27.0,12.0,42.0,1300.0,910.0,1600.0,6.8,3.5,12.4,6.4,5.2,7.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.89,88.64715599,24.37560842,60..100cm,25.0,8.0,39.0,48.0,20.0,82.0,27.0,10.0,43.0,1320.0,910.0,1680.0,4.8,2.7,9.0,6.5,5.2,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2099.779,88.63739177,24.37560842,0..30cm,23.0,10.0,33.0,51.0,27.0,74.0,26.0,13.0,38.0,1310.0,1060.0,1540.0,10.3,4.7,18.4,6.2,5.0,7.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2099.779,88.63739177,24.37560842,30..60cm,23.0,10.0,35.0,52.0,27.0,82.0,25.0,11.0,40.0,1380.0,1070.0,1600.0,6.5,3.2,11.2,6.3,5.2,7.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2099.779,88.63739177,24.37560842,60..100cm,24.0,7.0,37.0,51.0,27.0,84.0,25.0,8.0,41.0,1410.0,1100.0,1680.0,4.3,2.5,6.9,6.6,5.2,8.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3104.95,88.62806793,24.37532843,0..30cm,21.0,7.0,33.0,56.0,30.0,83.0,23.0,9.0,38.0,1310.0,1100.0,1550.0,8.2,3.2,16.9,6.2,4.9,7.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3104.95,88.62806793,24.37532843,30..60cm,22.0,7.0,34.0,55.0,28.0,85.0,23.0,7.0,39.0,1400.0,1090.0,1600.0,4.9,2.1,10.6,6.3,5.1,7.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3104.95,88.62806793,24.37532843,60..100cm,23.0,6.0,34.0,53.0,26.0,85.0,24.0,7.0,40.0,1430.0,1080.0,1680.0,3.5,1.6,5.8,6.5,5.2,8.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3149.669,88.62767379,24.37542846,0..30cm,21.0,8.0,32.0,55.0,31.0,82.0,23.0,9.0,37.0,1290.0,1070.0,1550.0,8.8,3.5,18.1,6.1,4.9,7.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3149.669,88.62767379,24.37542846,30..60cm,22.0,8.0,34.0,55.0,29.0,85.0,24.0,8.0,38.0,1370.0,1080.0,1600.0,5.4,2.4,12.4,6.3,5.1,7.6
