sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,73.04777735,26.14805417,0..30cm,20.0,7.0,34.0,60.0,42.0,84.0,21.0,6.0,34.0,1490.0,1330.0,1650.0,4.2,2.1,7.2,7.8,7.1,8.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,73.04777735,26.14805417,30..60cm,23.0,6.0,40.0,54.0,24.0,90.0,22.0,4.0,38.0,1470.0,1310.0,1630.0,2.3,1.2,4.0,8.2,7.4,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,73.04777735,26.14805417,60..100cm,23.0,6.0,38.0,54.0,19.0,89.0,22.0,4.0,42.0,1450.0,1220.0,1640.0,1.9,0.9,4.0,8.4,7.4,9.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1048.686,73.04817796,26.1560286,0..30cm,25.0,13.0,35.0,50.0,26.0,74.0,25.0,11.0,39.0,1480.0,1300.0,1630.0,4.2,2.1,8.3,7.7,7.1,8.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1048.686,73.04817796,26.1560286,30..60cm,26.0,14.0,38.0,49.0,25.0,78.0,25.0,11.0,38.0,1470.0,1270.0,1670.0,2.4,1.4,4.5,8.3,7.7,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1048.686,73.04817796,26.1560286,60..100cm,25.0,12.0,38.0,51.0,24.0,84.0,24.0,6.0,36.0,1480.0,1230.0,1750.0,2.0,1.2,3.9,8.4,7.5,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2097.371,73.04738877,26.1649386,0..30cm,24.0,13.0,35.0,52.0,26.0,76.0,24.0,11.0,38.0,1490.0,1370.0,1650.0,4.1,1.9,8.6,7.7,6.9,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2097.371,73.04738877,26.1649386,30..60cm,25.0,13.0,38.0,51.0,24.0,78.0,24.0,9.0,38.0,1500.0,1310.0,1700.0,2.5,1.4,4.5,8.2,7.6,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2097.371,73.04738877,26.1649386,60..100cm,24.0,10.0,37.0,53.0,19.0,84.0,23.0,5.0,36.0,1500.0,1250.0,1760.0,2.1,1.0,4.2,8.4,7.6,9.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3146.057,73.04677584,26.17387451,0..30cm,23.0,11.0,35.0,54.0,29.0,79.0,23.0,9.0,38.0,1510.0,1380.0,1660.0,4.0,2.2,6.3,7.8,7.1,8.5
