sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,78.23149346,9.98246632,0..30cm,33.0,18.0,46.0,43.0,19.0,68.0,24.0,7.0,37.0,1500.0,1300.0,1670.0,9.0,4.1,16.6,7.3,6.4,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,78.23149346,9.98246632,30..60cm,34.0,17.0,48.0,45.0,20.0,68.0,21.0,7.0,37.0,1500.0,1250.0,1720.0,5.2,2.6,8.5,7.5,6.7,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,78.23149346,9.98246632,60..100cm,33.0,17.0,47.0,45.0,20.0,68.0,21.0,7.0,38.0,1520.0,1350.0,1760.0,3.4,1.5,7.0,7.6,6.7,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.207,78.22435126,9.97904697,0..30cm,33.0,18.0,46.0,42.0,17.0,72.0,25.0,7.0,40.0,1490.0,1340.0,1660.0,8.1,4.4,14.6,7.4,6.5,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.207,78.22435126,9.97904697,30..60cm,34.0,15.0,48.0,43.0,18.0,73.0,23.0,5.0,40.0,1500.0,1290.0,1690.0,5.0,2.9,8.3,7.7,6.7,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1045.207,78.22435126,9.97904697,60..100cm,34.0,16.0,47.0,43.0,18.0,70.0,23.0,5.0,41.0,1510.0,1350.0,1710.0,3.4,1.7,5.7,7.8,7.0,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2090.415,78.21718904,9.97375114,0..30cm,33.0,19.0,42.0,43.0,19.0,67.0,24.0,8.0,40.0,1500.0,1340.0,1650.0,8.6,5.0,15.9,7.4,6.5,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2090.415,78.21718904,9.97375114,30..60cm,34.0,20.0,46.0,43.0,18.0,67.0,24.0,7.0,40.0,1500.0,1270.0,1690.0,4.8,2.3,8.5,7.6,6.7,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2090.415,78.21718904,9.97375114,60..100cm,34.0,20.0,46.0,42.0,18.0,60.0,24.0,7.0,40.0,1510.0,1340.0,1760.0,3.3,1.5,6.3,7.8,6.9,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3135.622,78.21008598,9.96820452,0..30cm,33.0,21.0,44.0,39.0,19.0,57.0,28.0,15.0,41.0,1500.0,1320.0,1720.0,9.3,5.3,16.1,7.4,6.6,8.2
