sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,82.95601089,25.24822413,0..30cm,11.0,0.0,23.0,74.0,52.0,96.0,15.0,3.0,27.0,1470.0,1320.0,1610.0,3.7,1.3,9.8,6.8,5.8,8.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,82.95601089,25.24822413,30..60cm,12.0,0.0,20.0,73.0,56.0,94.0,15.0,4.0,26.0,1540.0,1400.0,1710.0,2.1,0.4,5.1,7.0,5.9,8.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,82.95601089,25.24822413,60..100cm,13.0,0.0,20.0,71.0,54.0,94.0,16.0,3.0,26.0,1570.0,1380.0,1750.0,1.7,0.5,4.3,7.0,5.6,8.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1046.988,82.95205863,25.24682373,0..30cm,12.0,0.0,24.0,73.0,50.0,98.0,15.0,2.0,28.0,1440.0,1270.0,1610.0,3.8,1.4,8.2,6.9,5.8,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1046.988,82.95205863,25.24682373,30..60cm,13.0,0.0,24.0,72.0,53.0,96.0,15.0,3.0,26.0,1550.0,1390.0,1690.0,2.1,0.5,4.7,7.1,6.2,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1046.988,82.95205863,25.24682373,60..100cm,14.0,0.0,26.0,71.0,52.0,97.0,16.0,3.0,27.0,1610.0,1400.0,1820.0,1.6,0.5,3.5,7.1,5.7,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2093.975,82.95829493,25.2537919,0..30cm,14.0,0.0,24.0,67.0,43.0,95.0,18.0,4.0,29.0,1460.0,1280.0,1620.0,4.3,1.4,11.8,6.8,5.7,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2093.975,82.95829493,25.2537919,30..60cm,16.0,1.0,25.0,64.0,38.0,90.0,20.0,5.0,37.0,1570.0,1420.0,1730.0,2.1,0.5,5.7,7.0,5.9,8.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2093.975,82.95829493,25.2537919,60..100cm,17.0,0.0,31.0,63.0,36.0,92.0,20.0,7.0,37.0,1640.0,1460.0,1810.0,1.5,0.4,3.2,7.0,5.6,8.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3140.963,82.96377477,25.26123473,0..30cm,16.0,0.0,26.0,64.0,37.0,90.0,20.0,6.0,37.0,1480.0,1300.0,1610.0,4.5,1.7,11.8,6.7,5.7,7.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3140.963,82.96377477,25.26123473,30..60cm,18.0,1.0,28.0,60.0,32.0,86.0,21.0,7.0,37.0,1560.0,1430.0,1720.0,2.1,0.6,4.3,6.8,5.7,8.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3140.963,82.96377477,25.26123473,60..100cm,20.0,2.0,34.0,58.0,31.0,85.0,22.0,6.0,37.0,1590.0,1450.0,1770.0,1.9,0.6,4.4,6.8,5.5,8.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4187.951,82.96714101,25.26958648,0..30cm,17.0,1.0,28.0,62.0,38.0,89.0,21.0,8.0,35.0,1460.0,1290.0,1640.0,4.4,1.6,11.3,6.6,5.6,7.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4187.951,82.96714101,25.26958648,30..60cm,19.0,6.0,28.0,59.0,37.0,81.0,22.0,10.0,32.0,1550.0,1410.0,1690.0,2.1,0.5,4.7,6.8,5.7,8.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4187.951,82.96714101,25.26958648,60..100cm,20.0,8.0,31.0,58.0,34.0,79.0,22.0,8.0,32.0,1600.0,1480.0,1760.0,1.9,0.6,4.0,6.8,5.5,8.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5234.938,82.96733977,25.27846642,0..30cm,18.0,1.0,31.0,60.0,36.0,86.0,22.0,10.0,35.0,1410.0,1200.0,1630.0,4.6,2.1,10.0,6.8,5.9,7.8
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5234.938,82.96733977,25.27846642,30..60cm,20.0,7.0,31.0,56.0,30.0,80.0,24.0,11.0,40.0,1520.0,1380.0,1710.0,2.2,0.5,5.7,6.9,6.0,8.0
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5234.938,82.96733977,25.27846642,60..100cm,21.0,8.0,35.0,54.0,28.0,79.0,25.0,8.0,43.0,1590.0,1390.0,1840.0,1.9,0.8,3.7,6.9,5.6,8.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6281.926,82.9720472,25.28380344,0..30cm,18.0,1.0,34.0,59.0,29.0,87.0,22.0,9.0,37.0,1480.0,1320.0,1610.0,5.5,2.1,12.1,6.6,5.5,7.7
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6281.926,82.9720472,25.28380344,30..60cm,20.0,4.0,35.0,56.0,27.0,83.0,24.0,10.0,41.0,1560.0,1420.0,1730.0,2.9,0.6,7.6,6.7,5.5,8.0
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6281.926,82.9720472,25.28380344,60..100cm,22.0,4.0,36.0,54.0,25.0,83.0,24.0,8.0,43.0,1600.0,1460.0,1830.0,2.6,0.9,7.1,6.7,5.4,8.2
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7328.913,82.98181766,25.28325419,0..30cm,17.0,1.0,31.0,62.0,38.0,87.0,21.0,10.0,35.0,1470.0,1300.0,1610.0,5.3,2.2,11.9,6.6,5.5,7.9
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7328.913,82.98181766,25.28325419,30..60cm,19.0,6.0,32.0,58.0,32.0,81.0,22.0,10.0,39.0,1540.0,1380.0,1720.0,2.8,0.5,7.4,6.7,5.5,8.0
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7328.913,82.98181766,25.28325419,60..100cm,21.0,6.0,33.0,56.0,31.0,81.0,23.0,8.0,40.0,1580.0,1450.0,1770.0,2.7,0.8,7.3,6.8,5.4,8.2
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8375.901,82.98380267,25.29181086,0..30cm,18.0,1.0,35.0,59.0,29.0,85.0,22.0,8.0,37.0,1420.0,1240.0,1610.0,5.5,2.6,12.0,6.5,5.5,7.7
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8375.901,82.98380267,25.29181086,30..60cm,21.0,8.0,35.0,55.0,26.0,81.0,24.0,10.0,41.0,1530.0,1330.0,1740.0,2.7,0.7,7.6,6.7,5.5,8.0
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8375.901,82.98380267,25.29181086,60..100cm,22.0,8.0,38.0,53.0,20.0,81.0,25.0,7.0,42.0,1590.0,1380.0,1830.0,2.5,0.8,6.4,6.7,5.4,8.2
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8725.65,82.98522746,25.29426159,0..30cm,16.0,0.0,35.0,64.0,31.0,95.0,20.0,5.0,37.0,1420.0,1240.0,1610.0,5.3,2.2,12.0,6.5,5.5,7.7
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8725.65,82.98522746,25.29426159,30..60cm,18.0,0.0,35.0,60.0,26.0,93.0,22.0,4.0,41.0,1530.0,1270.0,1710.0,2.9,0.7,7.6,6.7,5.5,8.0
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,8725.65,82.98522746,25.29426159,60..100cm,20.0,0.0,39.0,58.0,22.0,92.0,22.0,3.0,42.0,1580.0,1390.0,1810.0,2.7,0.8,6.1,6.7,5.4,8.2
