sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,87.26984621,26.4062714,0..30cm,20.0,9.0,31.0,58.0,33.0,80.0,22.0,10.0,32.0,1170.0,840.0,1460.0,9.5,5.0,17.5,6.1,4.9,7.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,87.26984621,26.4062714,30..60cm,19.0,7.0,35.0,60.0,34.0,83.0,20.0,8.0,32.0,1310.0,990.0,1570.0,6.7,2.6,14.8,6.2,5.0,7.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,87.26984621,26.4062714,60..100cm,20.0,5.0,36.0,61.0,32.0,84.0,20.0,6.0,32.0,1390.0,950.0,1750.0,4.8,1.8,12.7,6.3,5.2,7.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,1002.007,87.27285628,26.41406553,0..30cm,25.0,10.0,38.0,49.0,22.0,73.0,27.0,12.0,42.0,1180.0,810.0,1460.0,9.5,5.2,17.5,6.2,5.0,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,1002.007,87.27285628,26.41406553,30..60cm,24.0,10.0,39.0,50.0,23.0,73.0,26.0,12.0,41.0,1330.0,1000.0,1590.0,7.8,2.8,15.8,6.4,5.0,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,1002.007,87.27285628,26.41406553,60..100cm,24.0,11.0,39.0,51.0,23.0,81.0,25.0,12.0,39.0,1430.0,960.0,1760.0,6.6,1.5,18.8,6.5,5.2,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,2004.014,87.27175269,26.42237828,0..30cm,26.0,12.0,38.0,46.0,20.0,71.0,28.0,13.0,45.0,1200.0,880.0,1470.0,10.7,5.6,20.4,6.1,5.0,7.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,2004.014,87.27175269,26.42237828,30..60cm,25.0,12.0,40.0,49.0,21.0,73.0,27.0,10.0,44.0,1350.0,1090.0,1610.0,9.5,3.0,29.0,6.3,5.0,7.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,2004.014,87.27175269,26.42237828,60..100cm,25.0,12.0,40.0,50.0,22.0,76.0,26.0,10.0,44.0,1450.0,1060.0,1770.0,8.1,1.8,34.7,6.4,5.2,7.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,elevated,3006.021,87.26984621,26.42953473,0..30cm,25.0,10.0,39.0,49.0,17.0,73.0,26.0,11.0,44.0,1160.0,810.0,1450.0,12.1,5.2,24.9,6.1,4.9,7.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,elevated,3006.021,87.26984621,26.42953473,30..60cm,24.0,9.0,41.0,51.0,20.0,74.0,25.0,10.0,45.0,1320.0,1000.0,1580.0,10.1,3.6,26.6,6.2,5.0,7.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,elevated,3006.021,87.26984621,26.42953473,60..100cm,24.0,9.0,40.0,52.0,22.0,78.0,24.0,10.0,44.0,1430.0,960.0,1790.0,7.2,1.3,29.2,6.3,5.1,7.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,elevated,4008.028,87.27064889,26.43765996,0..30cm,26.0,13.0,41.0,46.0,20.0,71.0,27.0,12.0,44.0,1150.0,810.0,1440.0,9.9,4.9,21.0,6.1,4.9,7.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,elevated,4008.028,87.27064889,26.43765996,30..60cm,25.0,11.0,41.0,49.0,22.0,76.0,26.0,10.0,45.0,1310.0,990.0,1600.0,8.5,2.8,20.8,6.2,5.0,7.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,elevated,4008.028,87.27064889,26.43765996,60..100cm,25.0,11.0,40.0,50.0,22.0,78.0,25.0,11.0,44.0,1440.0,960.0,1770.0,8.6,1.7,35.1,6.4,5.1,7.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,elevated,5010.035,87.27225427,26.44593537,0..30cm,24.0,13.0,36.0,50.0,29.0,73.0,25.0,11.0,47.0,1060.0,830.0,1340.0,11.8,5.6,22.1,6.0,4.8,7.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,elevated,5010.035,87.27225427,26.44593537,30..60cm,23.0,9.0,38.0,53.0,21.0,77.0,24.0,8.0,46.0,1160.0,840.0,1510.0,9.7,3.2,26.2,6.2,5.0,7.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,elevated,5010.035,87.27225427,26.44593537,60..100cm,23.0,10.0,38.0,53.0,24.0,82.0,23.0,6.0,47.0,1240.0,760.0,1720.0,8.4,1.8,35.1,6.3,5.2,7.5
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,elevated,6012.042,87.27241369,26.45330981,0..30cm,20.0,7.0,30.0,59.0,33.0,81.0,22.0,10.0,31.0,1070.0,790.0,1330.0,10.2,3.8,21.8,6.0,4.9,7.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,elevated,6012.042,87.27241369,26.45330981,30..60cm,18.0,7.0,28.0,62.0,39.0,84.0,20.0,8.0,30.0,1150.0,820.0,1490.0,8.7,2.8,20.7,6.2,5.0,7.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,elevated,6012.042,87.27241369,26.45330981,60..100cm,18.0,5.0,31.0,63.0,38.0,86.0,19.0,6.0,30.0,1200.0,690.0,1600.0,7.7,1.3,35.4,6.3,5.2,7.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,elevated,6695.0,87.26824083,26.45729015,0..30cm,19.0,9.0,30.0,59.0,34.0,80.0,22.0,9.0,31.0,1080.0,790.0,1390.0,9.3,3.4,18.6,6.0,4.9,7.2
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,elevated,6695.0,87.26824083,26.45729015,30..60cm,19.0,6.0,28.0,61.0,39.0,82.0,20.0,8.0,30.0,1170.0,820.0,1510.0,7.4,2.7,23.9,6.2,5.0,7.5
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,elevated,6695.0,87.26824083,26.45729015,60..100cm,19.0,5.0,31.0,61.0,39.0,85.0,20.0,4.0,32.0,1230.0,760.0,1620.0,7.2,1.1,33.8,6.3,5.1,7.6
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,elevated,7014.049,87.26783949,26.46001399,0..30cm,19.0,9.0,30.0,58.0,46.0,78.0,23.0,12.0,31.0,1080.0,770.0,1380.0,10.5,4.6,21.8,6.0,5.0,7.3
