sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,85.42263286,27.64048375,0..30cm,33.0,23.0,41.0,32.0,13.0,50.0,35.0,23.0,45.0,1040.0,870.0,1270.0,11.1,4.4,23.6,5.7,5.0,6.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,85.42263286,27.64048375,30..60cm,33.0,22.0,41.0,33.0,15.0,57.0,34.0,22.0,46.0,1120.0,890.0,1300.0,4.1,2.1,8.0,5.8,5.1,6.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,85.42263286,27.64048375,60..100cm,33.0,22.0,42.0,33.0,15.0,53.0,34.0,22.0,46.0,1180.0,890.0,1400.0,2.6,1.1,4.6,5.8,5.1,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1050.226,85.41545213,27.64685111,0..30cm,31.0,20.0,40.0,39.0,20.0,65.0,30.0,18.0,42.0,1070.0,850.0,1270.0,18.9,7.1,47.6,5.8,5.2,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1050.226,85.41545213,27.64685111,30..60cm,31.0,20.0,42.0,40.0,20.0,62.0,30.0,16.0,42.0,1190.0,1010.0,1390.0,4.7,2.1,9.1,5.9,5.1,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1050.226,85.41545213,27.64685111,60..100cm,31.0,18.0,43.0,40.0,19.0,63.0,29.0,17.0,43.0,1260.0,1050.0,1470.0,2.7,1.2,4.3,5.9,5.1,6.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2100.452,85.4093827,27.65385274,0..30cm,29.0,19.0,40.0,40.0,18.0,59.0,31.0,21.0,39.0,1090.0,900.0,1260.0,14.0,6.7,26.6,5.6,5.0,6.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2100.452,85.4093827,27.65385274,30..60cm,29.0,19.0,40.0,41.0,17.0,63.0,30.0,18.0,41.0,1200.0,1080.0,1330.0,5.2,2.9,10.7,5.8,5.1,6.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2100.452,85.4093827,27.65385274,60..100cm,28.0,16.0,41.0,42.0,15.0,66.0,30.0,17.0,42.0,1260.0,1090.0,1420.0,2.5,1.1,4.6,5.9,5.1,6.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2380.9,85.40758436,27.65564056,0..30cm,29.0,19.0,41.0,38.0,14.0,61.0,32.0,19.0,45.0,1120.0,900.0,1270.0,12.6,6.7,26.5,5.7,5.0,6.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2380.9,85.40758436,27.65564056,30..60cm,29.0,18.0,41.0,39.0,15.0,64.0,32.0,18.0,45.0,1210.0,1100.0,1370.0,5.2,2.5,10.1,5.8,5.0,6.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2380.9,85.40758436,27.65564056,60..100cm,30.0,18.0,43.0,38.0,13.0,65.0,32.0,17.0,45.0,1260.0,1090.0,1420.0,2.7,1.4,5.4,5.9,5.1,6.6
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3150.678,85.40242376,27.66038337,0..30cm,26.0,16.0,34.0,43.0,26.0,62.0,30.0,22.0,41.0,1150.0,980.0,1330.0,11.0,5.8,20.9,5.7,5.0,6.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3150.678,85.40242376,27.66038337,30..60cm,27.0,17.0,36.0,42.0,21.0,60.0,30.0,19.0,42.0,1220.0,1090.0,1380.0,5.0,2.3,9.1,5.8,5.1,6.5
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3150.678,85.40242376,27.66038337,60..100cm,28.0,18.0,37.0,41.0,18.0,64.0,31.0,19.0,43.0,1260.0,1090.0,1440.0,2.5,1.2,4.2,5.9,5.1,6.7
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4200.903,85.39745344,27.66767015,0..30cm,27.0,18.0,37.0,43.0,24.0,60.0,30.0,21.0,40.0,1160.0,1010.0,1320.0,12.7,6.7,19.4,5.8,5.1,6.5
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4200.903,85.39745344,27.66767015,30..60cm,28.0,19.0,37.0,41.0,24.0,57.0,31.0,24.0,40.0,1230.0,1100.0,1390.0,5.3,2.9,9.0,5.9,5.1,6.8
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4200.903,85.39745344,27.66767015,60..100cm,29.0,18.0,39.0,40.0,20.0,57.0,32.0,21.0,42.0,1250.0,1090.0,1420.0,2.8,1.1,6.4,6.0,5.1,6.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4761.8,85.39543687,27.67187545,0..30cm,29.0,18.0,38.0,40.0,23.0,58.0,31.0,21.0,40.0,1130.0,980.0,1270.0,13.3,6.1,24.3,5.8,5.1,6.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4761.8,85.39543687,27.67187545,30..60cm,30.0,20.0,39.0,39.0,21.0,54.0,31.0,21.0,40.0,1220.0,1070.0,1400.0,7.4,3.1,13.9,5.9,5.1,6.8
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,4761.8,85.39543687,27.67187545,60..100cm,30.0,18.0,43.0,38.0,18.0,57.0,32.0,20.0,44.0,1250.0,1070.0,1430.0,4.7,1.5,10.9,6.1,5.1,7.1
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,4761.8,85.39543687,27.67187545,0..30cm,29.0,18.0,38.0,40.0,23.0,58.0,31.0,21.0,40.0,1130.0,980.0,1270.0,13.3,6.1,24.3,5.8,5.1,6.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,4761.8,85.39543687,27.67187545,30..60cm,30.0,20.0,39.0,39.0,21.0,54.0,31.0,21.0,40.0,1220.0,1070.0,1400.0,7.4,3.1,13.9,5.9,5.1,6.8
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,4761.8,85.39543687,27.67187545,60..100cm,30.0,18.0,43.0,38.0,18.0,57.0,32.0,20.0,44.0,1250.0,1070.0,1430.0,4.7,1.5,10.9,6.1,5.1,7.1
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4862.5,85.39535787,27.67272788,0..30cm,28.0,19.0,38.0,42.0,24.0,58.0,30.0,20.0,40.0,1120.0,960.0,1270.0,13.3,6.1,24.0,5.8,5.0,6.4
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4862.5,85.39535787,27.67272788,30..60cm,29.0,20.0,39.0,40.0,21.0,55.0,31.0,21.0,40.0,1200.0,1030.0,1380.0,6.9,3.1,14.7,5.9,5.1,6.8
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,4862.5,85.39535787,27.67272788,60..100cm,30.0,18.0,41.0,39.0,20.0,57.0,31.0,19.0,40.0,1230.0,1050.0,1420.0,4.5,1.7,8.7,6.1,5.1,7.1
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4963.2,85.39491142,27.67348658,0..30cm,26.0,16.0,36.0,46.0,28.0,65.0,28.0,17.0,39.0,1110.0,880.0,1300.0,12.5,6.1,22.3,5.9,5.1,6.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4963.2,85.39491142,27.67348658,30..60cm,27.0,15.0,39.0,44.0,19.0,64.0,28.0,17.0,40.0,1210.0,970.0,1440.0,6.9,2.7,13.1,6.0,5.2,7.0
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,4963.2,85.39491142,27.67348658,60..100cm,27.0,15.0,41.0,45.0,20.0,64.0,28.0,16.0,38.0,1230.0,940.0,1520.0,4.6,1.7,10.3,6.2,5.2,7.3
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,4963.2,85.39491142,27.67348658,0..30cm,26.0,16.0,36.0,46.0,28.0,65.0,28.0,17.0,39.0,1110.0,880.0,1300.0,12.5,6.1,22.3,5.9,5.1,6.7
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,4963.2,85.39491142,27.67348658,30..60cm,27.0,15.0,39.0,44.0,19.0,64.0,28.0,17.0,40.0,1210.0,970.0,1440.0,6.9,2.7,13.1,6.0,5.2,7.0
