sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,84.08462342,28.14412094,0..30cm,26.0,14.0,39.0,44.0,19.0,65.0,30.0,18.0,42.0,1080.0,890.0,1270.0,12.2,4.7,26.3,5.7,4.7,6.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,84.08462342,28.14412094,30..60cm,25.0,13.0,37.0,46.0,22.0,67.0,29.0,16.0,43.0,1120.0,850.0,1370.0,6.9,2.7,15.4,5.9,5.0,6.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,84.08462342,28.14412094,60..100cm,25.0,11.0,37.0,46.0,22.0,66.0,29.0,18.0,43.0,1110.0,840.0,1400.0,4.5,1.6,10.1,6.0,5.1,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1066.615,84.07485023,28.14304114,0..30cm,25.0,12.0,38.0,45.0,24.0,70.0,30.0,17.0,43.0,1090.0,880.0,1270.0,11.4,5.5,22.8,5.6,4.7,6.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1066.615,84.07485023,28.14304114,30..60cm,25.0,14.0,39.0,45.0,21.0,70.0,30.0,15.0,44.0,1130.0,880.0,1390.0,7.4,2.7,14.9,5.8,5.0,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1066.615,84.07485023,28.14304114,60..100cm,25.0,13.0,39.0,45.0,21.0,73.0,30.0,15.0,43.0,1120.0,840.0,1370.0,5.3,1.5,10.2,5.9,5.0,6.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2133.23,84.0669403,28.14785233,0..30cm,26.0,13.0,37.0,45.0,22.0,69.0,29.0,18.0,41.0,1090.0,860.0,1320.0,12.0,5.8,28.6,5.6,4.7,6.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2133.23,84.0669403,28.14785233,30..60cm,26.0,13.0,39.0,46.0,21.0,68.0,28.0,16.0,43.0,1130.0,880.0,1390.0,7.7,2.9,17.2,5.8,5.0,6.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2133.23,84.0669403,28.14785233,60..100cm,26.0,13.0,38.0,46.0,21.0,68.0,28.0,16.0,41.0,1130.0,870.0,1400.0,5.3,1.2,11.8,5.9,5.0,6.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2650.05,84.06370259,28.15112553,0..30cm,25.0,15.0,34.0,47.0,24.0,70.0,29.0,16.0,42.0,1060.0,850.0,1260.0,11.7,3.5,23.2,5.7,4.7,6.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2650.05,84.06370259,28.15112553,30..60cm,25.0,14.0,35.0,47.0,24.0,68.0,28.0,11.0,41.0,1110.0,790.0,1370.0,7.3,2.6,15.2,5.8,5.0,6.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2650.05,84.06370259,28.15112553,60..100cm,25.0,13.0,37.0,47.0,26.0,69.0,28.0,14.0,41.0,1120.0,790.0,1390.0,5.4,1.5,12.2,5.9,4.9,6.7
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3199.846,84.06078341,28.15499074,0..30cm,25.0,13.0,38.0,47.0,25.0,69.0,28.0,18.0,40.0,1090.0,870.0,1310.0,11.4,3.8,28.6,5.6,4.7,6.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3199.846,84.06078341,28.15499074,30..60cm,25.0,14.0,38.0,48.0,22.0,72.0,27.0,11.0,43.0,1140.0,850.0,1390.0,7.5,3.0,14.3,5.7,5.0,6.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3199.846,84.06078341,28.15499074,60..100cm,25.0,13.0,39.0,48.0,21.0,73.0,27.0,12.0,44.0,1130.0,840.0,1410.0,5.1,1.5,11.3,5.8,4.9,6.5
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4266.461,84.05689601,28.16322811,0..30cm,25.0,13.0,36.0,46.0,23.0,67.0,29.0,18.0,43.0,1080.0,860.0,1270.0,12.6,3.6,27.4,5.6,4.7,6.5
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4266.461,84.05689601,28.16322811,30..60cm,25.0,13.0,36.0,47.0,25.0,67.0,28.0,17.0,42.0,1120.0,790.0,1390.0,6.9,2.8,16.3,5.7,4.8,6.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4266.461,84.05689601,28.16322811,60..100cm,25.0,12.0,38.0,47.0,25.0,67.0,28.0,18.0,42.0,1120.0,790.0,1400.0,4.7,1.5,10.1,5.8,4.8,6.7
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5300.1,84.05421225,28.17111587,0..30cm,24.0,12.0,36.0,49.0,30.0,68.0,27.0,18.0,40.0,1100.0,890.0,1290.0,12.5,4.1,29.2,5.5,4.6,6.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5300.1,84.05421225,28.17111587,30..60cm,24.0,12.0,33.0,50.0,27.0,68.0,27.0,14.0,38.0,1120.0,850.0,1390.0,7.0,2.6,17.2,5.6,4.7,6.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5300.1,84.05421225,28.17111587,60..100cm,24.0,10.0,34.0,49.0,27.0,69.0,27.0,14.0,40.0,1120.0,790.0,1410.0,4.8,1.4,10.1,5.7,4.8,6.5
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5300.1,84.05421225,28.17111587,0..30cm,24.0,12.0,36.0,49.0,30.0,68.0,27.0,18.0,40.0,1100.0,890.0,1290.0,12.5,4.1,29.2,5.5,4.6,6.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5300.1,84.05421225,28.17111587,30..60cm,24.0,12.0,33.0,50.0,27.0,68.0,27.0,14.0,38.0,1120.0,850.0,1390.0,7.0,2.6,17.2,5.6,4.7,6.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,5300.1,84.05421225,28.17111587,60..100cm,24.0,10.0,34.0,49.0,27.0,69.0,27.0,14.0,40.0,1120.0,790.0,1410.0,4.8,1.4,10.1,5.7,4.8,6.5
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,5314.25,84.05407677,28.17111587,0..30cm,24.0,12.0,36.0,49.0,30.0,68.0,27.0,18.0,40.0,1100.0,890.0,1290.0,12.5,4.1,29.2,5.5,4.6,6.4
