sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,71.63825917,29.32148256,0..30cm,13.0,3.0,24.0,68.0,47.0,88.0,19.0,8.0,29.0,1550.0,1390.0,1700.0,3.4,1.5,7.2,8.4,8.1,8.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,71.63825917,29.32148256,30..60cm,15.0,3.0,27.0,64.0,42.0,89.0,21.0,6.0,32.0,1570.0,1390.0,1720.0,2.5,0.9,4.2,8.7,8.1,9.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,71.63825917,29.32148256,60..100cm,15.0,2.0,27.0,63.0,42.0,87.0,21.0,6.0,34.0,1590.0,1430.0,1750.0,2.0,0.8,4.1,8.7,8.0,9.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.739,71.64650764,29.32549454,0..30cm,12.0,4.0,20.0,69.0,51.0,88.0,18.0,9.0,29.0,1540.0,1380.0,1700.0,3.0,1.5,5.9,8.3,7.6,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.739,71.64650764,29.32549454,30..60cm,16.0,2.0,29.0,63.0,35.0,89.0,22.0,7.0,35.0,1550.0,1400.0,1690.0,2.3,1.0,4.8,8.5,7.8,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.739,71.64650764,29.32549454,60..100cm,15.0,0.0,30.0,63.0,37.0,88.0,22.0,7.0,35.0,1580.0,1410.0,1720.0,2.0,0.7,4.9,8.5,7.7,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.479,71.64650764,29.3342162,0..30cm,14.0,5.0,22.0,65.0,48.0,84.0,21.0,9.0,35.0,1520.0,1370.0,1660.0,4.3,1.7,10.3,8.3,7.8,8.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.479,71.64650764,29.3342162,30..60cm,17.0,4.0,28.0,60.0,37.0,83.0,24.0,9.0,37.0,1550.0,1390.0,1730.0,2.7,1.2,6.0,8.6,8.0,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2003.479,71.64650764,29.3342162,60..100cm,17.0,4.0,28.0,58.0,42.0,82.0,25.0,12.0,41.0,1550.0,1300.0,1740.0,1.9,0.8,3.4,8.7,8.0,9.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3005.218,71.6440331,29.34108654,0..30cm,17.0,6.0,26.0,61.0,41.0,82.0,23.0,13.0,36.0,1500.0,1370.0,1630.0,3.7,1.4,8.3,8.2,7.8,8.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3005.218,71.6440331,29.34108654,30..60cm,18.0,6.0,32.0,58.0,32.0,83.0,24.0,9.0,37.0,1530.0,1370.0,1670.0,2.3,0.7,4.8,8.6,8.1,9.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3005.218,71.6440331,29.34108654,60..100cm,18.0,7.0,30.0,57.0,32.0,84.0,24.0,8.0,41.0,1530.0,1300.0,1700.0,1.8,0.6,3.8,8.7,8.0,9.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4006.957,71.64271425,29.34962848,0..30cm,15.0,6.0,27.0,64.0,43.0,83.0,21.0,9.0,33.0,1500.0,1370.0,1640.0,3.5,1.3,9.5,8.3,7.8,8.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4006.957,71.64271425,29.34962848,30..60cm,18.0,5.0,32.0,59.0,31.0,85.0,23.0,8.0,36.0,1510.0,1380.0,1670.0,2.2,0.6,4.9,8.6,8.0,9.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4006.957,71.64271425,29.34962848,60..100cm,18.0,5.0,31.0,58.0,28.0,83.0,24.0,8.0,40.0,1510.0,1260.0,1750.0,1.8,0.5,3.6,8.7,8.0,9.4
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5008.696,71.65040124,29.35171688,0..30cm,17.0,6.0,28.0,60.0,37.0,82.0,23.0,12.0,36.0,1500.0,1360.0,1650.0,4.7,2.0,10.7,8.0,7.4,8.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5008.696,71.65040124,29.35171688,30..60cm,20.0,7.0,34.0,56.0,25.0,82.0,24.0,9.0,40.0,1540.0,1400.0,1710.0,2.4,0.7,6.2,8.5,7.9,9.1
