sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,71.52008177,30.25897923,0..30cm,17.0,5.0,28.0,61.0,38.0,82.0,22.0,9.0,35.0,1510.0,1370.0,1660.0,4.8,1.8,9.8,8.2,7.5,8.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,71.52008177,30.25897923,30..60cm,18.0,6.0,31.0,61.0,32.0,84.0,21.0,8.0,38.0,1520.0,1400.0,1680.0,2.5,0.8,5.2,8.5,8.0,9.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,71.52008177,30.25897923,60..100cm,17.0,5.0,29.0,62.0,33.0,87.0,21.0,6.0,36.0,1530.0,1370.0,1710.0,1.8,0.5,4.1,8.6,8.0,9.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1030.253,71.51009752,30.25802541,0..30cm,19.0,6.0,31.0,58.0,33.0,82.0,24.0,10.0,37.0,1520.0,1390.0,1620.0,4.6,1.8,9.6,8.2,7.6,8.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1030.253,71.51009752,30.25802541,30..60cm,20.0,7.0,34.0,57.0,27.0,82.0,23.0,9.0,40.0,1550.0,1430.0,1690.0,2.4,0.9,6.0,8.5,8.0,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1030.253,71.51009752,30.25802541,60..100cm,19.0,6.0,34.0,58.0,29.0,85.0,22.0,9.0,41.0,1550.0,1420.0,1720.0,1.7,0.5,4.1,8.6,8.0,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2060.507,71.49975519,30.25784545,0..30cm,19.0,6.0,32.0,57.0,33.0,82.0,23.0,10.0,38.0,1540.0,1440.0,1660.0,4.2,1.8,8.1,8.4,7.7,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2060.507,71.49975519,30.25784545,30..60cm,21.0,7.0,35.0,56.0,22.0,85.0,24.0,9.0,40.0,1570.0,1450.0,1720.0,2.5,1.4,4.1,8.6,8.0,9.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2060.507,71.49975519,30.25784545,60..100cm,20.0,5.0,35.0,57.0,22.0,88.0,23.0,7.0,42.0,1590.0,1430.0,1770.0,2.0,0.8,3.7,8.6,8.0,9.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3090.76,71.49015401,30.25587664,0..30cm,19.0,6.0,32.0,58.0,36.0,81.0,23.0,10.0,35.0,1520.0,1400.0,1650.0,4.8,1.8,9.8,8.2,7.6,8.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3090.76,71.49015401,30.25587664,30..60cm,19.0,6.0,32.0,58.0,32.0,82.0,23.0,9.0,38.0,1530.0,1400.0,1670.0,2.4,0.9,4.8,8.6,8.0,9.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3090.76,71.49015401,30.25587664,60..100cm,18.0,5.0,32.0,59.0,32.0,86.0,22.0,9.0,36.0,1550.0,1370.0,1730.0,1.7,0.5,3.8,8.7,8.0,9.4
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4121.013,71.48577521,30.24825904,0..30cm,20.0,6.0,30.0,56.0,37.0,79.0,24.0,11.0,35.0,1540.0,1390.0,1660.0,3.8,1.5,7.2,8.2,7.6,8.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4121.013,71.48577521,30.24825904,30..60cm,20.0,7.0,33.0,56.0,27.0,88.0,23.0,7.0,40.0,1580.0,1430.0,1760.0,2.8,1.0,5.7,8.6,8.0,9.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4121.013,71.48577521,30.24825904,60..100cm,19.0,5.0,33.0,59.0,30.0,86.0,22.0,6.0,38.0,1600.0,1400.0,1770.0,2.5,0.4,5.9,8.6,7.9,9.3
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5151.267,71.48267221,30.23987614,0..30cm,18.0,6.0,29.0,56.0,33.0,84.0,26.0,8.0,40.0,1530.0,1380.0,1680.0,3.8,1.6,7.3,8.2,7.7,8.7
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5151.267,71.48267221,30.23987614,30..60cm,19.0,5.0,32.0,56.0,25.0,89.0,25.0,7.0,40.0,1590.0,1450.0,1760.0,2.7,1.0,5.5,8.5,8.0,9.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5151.267,71.48267221,30.23987614,60..100cm,18.0,3.0,32.0,58.0,27.0,86.0,24.0,8.0,39.0,1610.0,1420.0,1770.0,2.1,0.4,4.8,8.5,7.9,9.3
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6181.52,71.48049699,30.23143144,0..30cm,20.0,6.0,31.0,52.0,29.0,82.0,28.0,11.0,42.0,1500.0,1370.0,1650.0,3.9,1.9,7.3,8.3,7.7,8.7
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6181.52,71.48049699,30.23143144,30..60cm,20.0,7.0,34.0,52.0,24.0,86.0,28.0,8.0,45.0,1560.0,1400.0,1710.0,2.6,0.9,5.6,8.6,8.0,9.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,6181.52,71.48049699,30.23143144,60..100cm,19.0,4.0,33.0,54.0,24.0,85.0,27.0,8.0,42.0,1580.0,1380.0,1770.0,2.2,0.4,5.6,8.6,7.9,9.3
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7211.773,71.47658265,30.22321551,0..30cm,19.0,6.0,32.0,53.0,26.0,82.0,28.0,11.0,42.0,1500.0,1370.0,1650.0,3.7,1.6,7.0,8.3,7.7,8.8
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7211.773,71.47658265,30.22321551,30..60cm,20.0,6.0,35.0,53.0,22.0,86.0,27.0,8.0,44.0,1550.0,1380.0,1710.0,2.8,1.0,5.5,8.6,8.0,9.3
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,7211.773,71.47658265,30.22321551,60..100cm,20.0,5.0,34.0,54.0,26.0,86.0,26.0,9.0,41.0,1570.0,1380.0,1770.0,2.6,0.5,5.6,8.7,7.9,9.4
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8242.027,71.46820075,30.22077241,0..30cm,18.0,6.0,28.0,56.0,32.0,79.0,26.0,11.0,39.0,1500.0,1370.0,1660.0,5.0,1.9,11.0,8.2,7.7,8.6
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8242.027,71.46820075,30.22077241,30..60cm,19.0,7.0,32.0,55.0,31.0,79.0,25.0,9.0,40.0,1520.0,1380.0,1670.0,2.4,1.0,4.3,8.6,8.1,9.3
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,8242.027,71.46820075,30.22077241,60..100cm,19.0,6.0,32.0,57.0,31.0,84.0,25.0,9.0,39.0,1530.0,1370.0,1740.0,1.7,0.5,3.2,8.8,8.1,9.3
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9076.95,71.46107457,30.21922484,0..30cm,20.0,7.0,30.0,54.0,30.0,77.0,27.0,12.0,40.0,1520.0,1370.0,1670.0,3.9,1.8,7.1,8.2,7.7,8.7
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9076.95,71.46107457,30.21922484,30..60cm,21.0,8.0,34.0,53.0,27.0,79.0,26.0,10.0,41.0,1570.0,1400.0,1750.0,3.0,0.9,5.5,8.6,8.0,9.2
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,9076.95,71.46107457,30.21922484,60..100cm,20.0,6.0,33.0,55.0,29.0,84.0,25.0,11.0,39.0,1580.0,1380.0,1770.0,2.3,0.7,5.1,8.6,8.0,9.3
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9272.28,71.45994487,30.21785103,0..30cm,19.0,6.0,30.0,55.0,30.0,79.0,26.0,11.0,43.0,1530.0,1380.0,1680.0,3.8,1.6,7.1,8.2,7.7,8.7
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9272.28,71.45994487,30.21785103,30..60cm,19.0,7.0,32.0,56.0,27.0,82.0,25.0,10.0,41.0,1580.0,1430.0,1750.0,3.0,1.3,5.6,8.6,8.0,9.2
segment:line-1-civil-001:0010,civil_segment,line-1-civil-001,line-1,at-grade,9272.28,71.45994487,30.21785103,60..100cm,19.0,4.0,32.0,57.0,27.0,84.0,24.0,11.0,38.0,1590.0,1380.0,1750.0,2.5,0.9,5.0,8.6,8.0,9.3
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10302.533,71.4541716,30.21477359,0..30cm,18.0,6.0,29.0,56.0,33.0,79.0,26.0,11.0,41.0,1520.0,1380.0,1680.0,3.8,1.4,7.1,8.2,7.7,8.7
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10302.533,71.4541716,30.21477359,30..60cm,19.0,6.0,32.0,56.0,27.0,85.0,25.0,8.0,40.0,1580.0,1380.0,1750.0,2.8,1.0,5.3,8.5,8.0,9.1
segment:line-1-civil-001:0011,civil_segment,line-1-civil-001,line-1,at-grade,10302.533,71.4541716,30.21477359,60..100cm,18.0,4.0,32.0,58.0,27.0,86.0,24.0,10.0,40.0,1590.0,1380.0,1750.0,2.2,0.5,4.8,8.6,7.9,9.2
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11332.787,71.44897363,30.20783422,0..30cm,14.0,2.0,25.0,64.0,41.0,85.0,22.0,9.0,35.0,1500.0,1370.0,1640.0,4.2,2.0,7.1,8.1,7.5,8.7
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11332.787,71.44897363,30.20783422,30..60cm,15.0,2.0,29.0,62.0,37.0,89.0,23.0,7.0,39.0,1560.0,1430.0,1710.0,2.3,0.9,4.6,8.2,7.2,8.7
segment:line-1-civil-001:0012,civil_segment,line-1-civil-001,line-1,at-grade,11332.787,71.44897363,30.20783422,60..100cm,15.0,2.0,31.0,62.0,30.0,88.0,22.0,7.0,38.0,1570.0,1400.0,1750.0,2.0,0.7,3.7,8.2,7.4,8.8
segment:line-1-civil-001:0013,civil_segment,line-1-civil-001,line-1,at-grade,12363.04,71.45169727,30.200832,0..30cm,19.0,6.0,31.0,54.0,29.0,83.0,27.0,10.0,42.0,1500.0,1370.0,1620.0,3.5,1.4,6.6,8.2,7.7,8.7
