sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,66.93622161,30.09435315,0..30cm,17.0,7.0,27.0,58.0,35.0,80.0,25.0,10.0,38.0,1430.0,1310.0,1560.0,3.9,1.6,7.3,7.8,7.0,8.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,66.93622161,30.09435315,30..60cm,18.0,4.0,34.0,57.0,25.0,86.0,24.0,7.0,44.0,1420.0,1250.0,1580.0,3.4,1.3,6.9,7.9,7.2,8.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,66.93622161,30.09435315,60..100cm,19.0,4.0,35.0,57.0,22.0,84.0,24.0,8.0,43.0,1460.0,1240.0,1690.0,2.9,0.9,6.3,8.0,7.0,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1035.37,66.93572001,30.10080079,0..30cm,19.0,7.0,30.0,56.0,36.0,80.0,26.0,14.0,38.0,1430.0,1350.0,1560.0,4.7,2.3,9.2,7.9,7.1,8.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1035.37,66.93572001,30.10080079,30..60cm,19.0,4.0,36.0,56.0,25.0,84.0,25.0,9.0,46.0,1420.0,1250.0,1600.0,3.5,1.2,6.9,8.1,7.2,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1035.37,66.93572001,30.10080079,60..100cm,21.0,4.0,37.0,53.0,17.0,84.0,26.0,8.0,49.0,1470.0,1240.0,1690.0,2.7,0.9,6.5,8.2,7.0,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2070.74,66.93665545,30.10932182,0..30cm,19.0,7.0,31.0,51.0,29.0,73.0,29.0,17.0,42.0,1430.0,1310.0,1570.0,4.4,2.0,8.8,7.8,7.2,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2070.74,66.93665545,30.10932182,30..60cm,21.0,4.0,37.0,50.0,21.0,80.0,29.0,11.0,46.0,1440.0,1260.0,1600.0,3.2,1.2,7.2,8.0,7.1,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2070.74,66.93665545,30.10932182,60..100cm,23.0,4.0,39.0,49.0,18.0,82.0,29.0,12.0,46.0,1470.0,1290.0,1670.0,2.6,0.9,5.6,8.1,7.0,9.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3106.11,66.93913128,30.11783271,0..30cm,20.0,11.0,28.0,50.0,31.0,66.0,30.0,18.0,40.0,1420.0,1300.0,1570.0,5.3,2.9,8.3,7.9,7.2,8.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3106.11,66.93913128,30.11783271,30..60cm,21.0,10.0,32.0,49.0,30.0,73.0,30.0,17.0,45.0,1420.0,1270.0,1590.0,3.4,1.7,5.7,8.1,7.2,9.0
