sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,70.30509554,28.43666548,0..30cm,16.0,6.0,27.0,60.0,34.0,79.0,24.0,12.0,34.0,1560.0,1400.0,1700.0,3.1,1.0,6.7,8.2,7.7,8.8
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,70.30509554,28.43666548,30..60cm,18.0,6.0,32.0,56.0,29.0,80.0,26.0,10.0,39.0,1590.0,1390.0,1790.0,2.2,0.9,4.2,8.5,7.9,9.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,70.30509554,28.43666548,60..100cm,19.0,6.0,32.0,55.0,27.0,80.0,27.0,10.0,40.0,1610.0,1380.0,1800.0,2.0,0.9,4.5,8.5,7.9,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.989,70.30411575,28.42997007,0..30cm,17.0,8.0,27.0,57.0,34.0,78.0,25.0,14.0,39.0,1540.0,1390.0,1680.0,2.8,0.9,5.8,8.2,7.7,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.989,70.30411575,28.42997007,30..60cm,19.0,8.0,36.0,54.0,21.0,80.0,27.0,10.0,40.0,1570.0,1390.0,1750.0,2.0,0.5,4.2,8.5,7.9,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.989,70.30411575,28.42997007,60..100cm,19.0,6.0,34.0,53.0,23.0,79.0,27.0,11.0,43.0,1580.0,1300.0,1770.0,1.7,0.3,4.9,8.5,8.0,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.978,70.30420144,28.42335653,0..30cm,18.0,8.0,27.0,56.0,33.0,79.0,26.0,15.0,38.0,1540.0,1380.0,1680.0,2.7,1.1,6.1,8.2,7.6,8.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.978,70.30420144,28.42335653,30..60cm,20.0,8.0,36.0,53.0,21.0,76.0,27.0,13.0,42.0,1570.0,1390.0,1750.0,1.9,0.7,3.6,8.5,7.9,9.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2001.978,70.30420144,28.42335653,60..100cm,20.0,6.0,34.0,52.0,22.0,77.0,28.0,11.0,43.0,1580.0,1360.0,1770.0,1.8,0.5,4.0,8.5,8.0,9.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3002.967,70.30663885,28.42262812,0..30cm,15.0,4.0,28.0,62.0,37.0,83.0,23.0,10.0,35.0,1540.0,1380.0,1710.0,2.9,1.2,5.6,8.1,7.5,8.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3002.967,70.30663885,28.42262812,30..60cm,17.0,2.0,30.0,58.0,32.0,86.0,25.0,8.0,40.0,1600.0,1410.0,1770.0,2.0,0.5,3.8,8.4,7.9,9.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3002.967,70.30663885,28.42262812,60..100cm,18.0,3.0,33.0,56.0,25.0,86.0,25.0,9.0,40.0,1630.0,1420.0,1820.0,2.0,0.8,4.5,8.4,7.8,9.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4003.956,70.31093148,28.41614934,0..30cm,19.0,8.0,33.0,54.0,33.0,74.0,27.0,16.0,38.0,1530.0,1380.0,1700.0,3.1,0.9,7.6,8.1,7.5,8.7
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4003.956,70.31093148,28.41614934,30..60cm,21.0,8.0,36.0,51.0,21.0,75.0,28.0,15.0,41.0,1580.0,1390.0,1770.0,1.9,0.5,4.0,8.5,7.9,9.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4003.956,70.31093148,28.41614934,60..100cm,21.0,9.0,35.0,50.0,21.0,74.0,29.0,14.0,43.0,1590.0,1360.0,1790.0,2.1,0.5,4.7,8.5,7.9,9.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5004.945,70.31857812,28.41367538,0..30cm,18.0,8.0,29.0,57.0,38.0,79.0,25.0,14.0,39.0,1490.0,1330.0,1650.0,3.9,1.8,8.4,8.0,7.5,8.6
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5004.945,70.31857812,28.41367538,30..60cm,20.0,8.0,31.0,54.0,30.0,76.0,26.0,12.0,40.0,1530.0,1370.0,1690.0,2.3,0.9,4.9,8.4,7.9,9.0
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,5004.945,70.31857812,28.41367538,60..100cm,19.0,8.0,33.0,54.0,28.0,76.0,27.0,12.0,40.0,1520.0,1280.0,1740.0,1.8,0.6,3.7,8.5,8.0,9.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5085.9,70.31857812,28.41294563,0..30cm,18.0,8.0,27.0,57.0,38.0,74.0,25.0,16.0,36.0,1530.0,1380.0,1680.0,3.1,1.2,7.5,8.2,7.6,8.8
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5085.9,70.31857812,28.41294563,30..60cm,20.0,8.0,31.0,54.0,24.0,76.0,26.0,13.0,39.0,1570.0,1390.0,1770.0,2.1,0.6,4.3,8.4,7.9,9.0
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5085.9,70.31857812,28.41294563,60..100cm,20.0,8.0,33.0,53.0,28.0,76.0,27.0,13.0,39.0,1580.0,1360.0,1770.0,2.2,0.5,5.4,8.4,7.9,9.1
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6005.934,70.31939525,28.40495224,0..30cm,15.0,3.0,26.0,64.0,39.0,85.0,22.0,10.0,33.0,1540.0,1380.0,1690.0,2.8,1.3,5.6,8.1,7.3,8.9
