sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,73.94047038,31.72194697,0..30cm,26.0,13.0,39.0,46.0,24.0,68.0,28.0,15.0,41.0,1510.0,1380.0,1640.0,5.1,2.1,10.3,7.6,7.0,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,73.94047038,31.72194697,30..60cm,28.0,13.0,40.0,43.0,20.0,64.0,29.0,15.0,44.0,1560.0,1370.0,1680.0,1.8,0.4,4.1,7.8,7.1,8.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,73.94047038,31.72194697,60..100cm,28.0,13.0,40.0,42.0,22.0,64.0,30.0,15.0,43.0,1600.0,1450.0,1720.0,1.2,0.2,3.6,8.0,7.1,8.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,998.569,73.94974421,31.72212693,0..30cm,26.0,11.0,39.0,45.0,21.0,74.0,29.0,15.0,45.0,1500.0,1380.0,1650.0,4.8,1.8,10.3,7.7,6.9,8.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,998.569,73.94974421,31.72212693,30..60cm,26.0,10.0,39.0,43.0,16.0,70.0,30.0,13.0,46.0,1550.0,1370.0,1710.0,1.9,0.3,5.4,7.9,7.1,8.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,998.569,73.94974421,31.72212693,60..100cm,27.0,10.0,39.0,43.0,19.0,73.0,30.0,13.0,43.0,1600.0,1370.0,1800.0,1.3,0.3,3.6,8.0,7.4,8.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1997.138,73.95974862,31.72099649,0..30cm,25.0,10.0,39.0,45.0,22.0,72.0,30.0,14.0,46.0,1470.0,1280.0,1660.0,4.3,2.0,8.8,7.7,7.0,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1997.138,73.95974862,31.72099649,30..60cm,26.0,10.0,39.0,43.0,14.0,73.0,31.0,11.0,47.0,1530.0,1330.0,1690.0,1.8,0.3,3.9,7.8,7.1,8.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1997.138,73.95974862,31.72099649,60..100cm,27.0,10.0,38.0,42.0,14.0,73.0,31.0,11.0,47.0,1600.0,1440.0,1750.0,1.3,0.2,2.9,8.0,7.3,8.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2995.708,73.9696242,31.7195999,0..30cm,24.0,8.0,38.0,46.0,19.0,68.0,30.0,15.0,44.0,1450.0,1340.0,1610.0,4.7,2.4,9.4,7.5,6.5,8.3
