sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,80.02733177,9.64911096,0..30cm,25.0,7.0,43.0,57.0,24.0,88.0,17.0,1.0,36.0,1250.0,920.0,1560.0,10.3,5.0,18.4,7.2,6.1,8.2
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,80.02733177,9.64911096,30..60cm,26.0,8.0,44.0,58.0,26.0,90.0,16.0,0.0,37.0,1180.0,810.0,1600.0,7.9,3.5,14.8,7.3,6.2,8.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,80.02733177,9.64911096,60..100cm,26.0,7.0,44.0,59.0,27.0,91.0,15.0,0.0,38.0,1110.0,580.0,1640.0,8.3,3.0,20.5,7.5,6.2,8.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,349.7,80.02696728,9.65195262,0..30cm,26.0,8.0,42.0,57.0,24.0,88.0,18.0,0.0,36.0,1210.0,920.0,1510.0,15.0,5.9,28.7,7.0,5.7,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,349.7,80.02696728,9.65195262,30..60cm,27.0,9.0,43.0,57.0,27.0,90.0,17.0,0.0,34.0,1190.0,860.0,1600.0,9.8,4.7,21.8,7.3,5.9,8.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,349.7,80.02696728,9.65195262,60..100cm,27.0,8.0,44.0,57.0,27.0,90.0,16.0,0.0,37.0,1110.0,580.0,1640.0,8.8,3.1,20.7,7.4,5.9,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,699.4,80.02752631,9.65431784,0..30cm,26.0,10.0,41.0,54.0,23.0,86.0,20.0,0.0,39.0,1220.0,930.0,1500.0,16.0,6.8,34.5,7.1,6.0,8.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,699.4,80.02752631,9.65431784,30..60cm,27.0,10.0,42.0,53.0,21.0,84.0,20.0,0.0,42.0,1180.0,860.0,1600.0,10.9,4.7,28.5,7.3,6.2,8.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,699.4,80.02752631,9.65431784,60..100cm,27.0,10.0,40.0,54.0,22.0,84.0,19.0,0.0,40.0,1110.0,500.0,1580.0,9.8,3.8,26.0,7.5,6.1,8.6
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,699.4,80.02752631,9.65431784,0..30cm,26.0,10.0,41.0,54.0,23.0,86.0,20.0,0.0,39.0,1220.0,930.0,1500.0,16.0,6.8,34.5,7.1,6.0,8.2
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,699.4,80.02752631,9.65431784,30..60cm,27.0,10.0,42.0,53.0,21.0,84.0,20.0,0.0,42.0,1180.0,860.0,1600.0,10.9,4.7,28.5,7.3,6.2,8.3
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,699.4,80.02752631,9.65431784,60..100cm,27.0,10.0,40.0,54.0,22.0,84.0,19.0,0.0,40.0,1110.0,500.0,1580.0,9.8,3.8,26.0,7.5,6.1,8.6
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,713.55,80.02743535,9.65440767,0..30cm,26.0,10.0,41.0,54.0,23.0,86.0,20.0,0.0,39.0,1220.0,930.0,1500.0,16.0,6.8,34.5,7.1,6.0,8.2
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,713.55,80.02743535,9.65440767,30..60cm,27.0,10.0,42.0,53.0,21.0,84.0,20.0,0.0,42.0,1180.0,860.0,1600.0,10.9,4.7,28.5,7.3,6.2,8.3
