sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,112.72397408,-7.13026995,0..30cm,31.0,16.0,43.0,44.0,17.0,77.0,25.0,4.0,43.0,1220.0,950.0,1440.0,16.8,8.2,30.6,5.9,4.8,7.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,112.72397408,-7.13026995,30..60cm,34.0,20.0,47.0,41.0,15.0,69.0,24.0,4.0,41.0,1270.0,1030.0,1520.0,8.7,4.1,19.8,5.9,4.8,7.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,112.72397408,-7.13026995,60..100cm,36.0,19.0,49.0,39.0,14.0,66.0,25.0,7.0,40.0,1290.0,1010.0,1540.0,6.8,2.9,11.5,6.0,4.9,7.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,112.72400333,-7.13038622,0..30cm,30.0,13.0,41.0,46.0,19.0,81.0,24.0,1.0,43.0,1240.0,940.0,1450.0,11.8,7.1,19.4,6.0,4.6,7.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,112.72400333,-7.13038622,30..60cm,32.0,15.0,46.0,45.0,16.0,78.0,22.0,1.0,41.0,1320.0,1090.0,1520.0,6.7,3.2,12.7,6.0,4.7,7.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,112.72400333,-7.13038622,60..100cm,33.0,16.0,49.0,43.0,15.0,77.0,23.0,2.0,40.0,1360.0,1070.0,1620.0,6.1,2.6,13.1,6.1,4.8,7.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,112.72403258,-7.13050248,0..30cm,30.0,13.0,41.0,46.0,19.0,81.0,24.0,1.0,43.0,1240.0,940.0,1450.0,11.8,7.1,19.4,6.0,4.6,7.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,112.72403258,-7.13050248,30..60cm,32.0,15.0,46.0,45.0,16.0,78.0,22.0,1.0,41.0,1320.0,1090.0,1520.0,6.7,3.2,12.7,6.0,4.7,7.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,112.72403258,-7.13050248,60..100cm,33.0,16.0,49.0,43.0,15.0,77.0,23.0,2.0,40.0,1360.0,1070.0,1620.0,6.1,2.6,13.1,6.1,4.8,7.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,112.72403258,-7.13050248,0..30cm,30.0,13.0,41.0,46.0,19.0,81.0,24.0,1.0,43.0,1240.0,940.0,1450.0,11.8,7.1,19.4,6.0,4.6,7.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,112.72403258,-7.13050248,30..60cm,32.0,15.0,46.0,45.0,16.0,78.0,22.0,1.0,41.0,1320.0,1090.0,1520.0,6.7,3.2,12.7,6.0,4.7,7.1
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,112.72403258,-7.13050248,60..100cm,33.0,16.0,49.0,43.0,15.0,77.0,23.0,2.0,40.0,1360.0,1070.0,1620.0,6.1,2.6,13.1,6.1,4.8,7.4
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1095.418,112.7241552,-7.13952962,0..30cm,33.0,17.0,45.0,40.0,19.0,69.0,27.0,10.0,43.0,1280.0,1030.0,1520.0,13.1,7.7,20.2,6.0,5.1,7.0
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1095.418,112.7241552,-7.13952962,30..60cm,36.0,21.0,46.0,39.0,13.0,69.0,26.0,7.0,46.0,1350.0,1100.0,1580.0,7.1,3.4,13.5,6.0,4.8,7.0
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1095.418,112.7241552,-7.13952962,60..100cm,36.0,19.0,50.0,38.0,9.0,70.0,26.0,7.0,45.0,1360.0,1180.0,1660.0,5.6,2.7,10.5,6.0,4.7,7.3
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2162.535,112.7241552,-7.14857191,0..30cm,26.0,10.0,40.0,53.0,28.0,85.0,21.0,0.0,41.0,1290.0,1100.0,1500.0,11.1,6.5,18.6,5.8,4.6,6.9
