sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,96.1544958,16.96049743,0..30cm,26.0,11.0,37.0,49.0,26.0,83.0,25.0,6.0,39.0,1190.0,880.0,1460.0,9.7,3.4,20.6,5.9,4.7,7.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,96.1544958,16.96049743,30..60cm,25.0,9.0,38.0,50.0,26.0,80.0,25.0,7.0,42.0,1290.0,1010.0,1610.0,5.8,1.6,13.5,6.2,4.8,7.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,96.1544958,16.96049743,60..100cm,25.0,9.0,39.0,50.0,26.0,81.0,25.0,7.0,43.0,1290.0,680.0,1680.0,4.0,1.8,6.9,6.4,4.8,8.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.807,96.14959159,16.95375111,0..30cm,26.0,10.0,38.0,50.0,25.0,77.0,25.0,11.0,39.0,1110.0,790.0,1430.0,12.7,6.1,27.0,5.9,4.7,7.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.807,96.14959159,16.95375111,30..60cm,26.0,9.0,43.0,48.0,22.0,77.0,27.0,12.0,42.0,1180.0,740.0,1570.0,10.4,3.4,29.1,6.3,4.8,7.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1049.807,96.14959159,16.95375111,60..100cm,26.0,8.0,43.0,48.0,23.0,81.0,26.0,9.0,42.0,1210.0,680.0,1680.0,7.1,2.0,21.2,6.4,4.9,8.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2099.613,96.15111725,16.94489657,0..30cm,27.0,13.0,39.0,47.0,20.0,73.0,26.0,10.0,43.0,1040.0,680.0,1390.0,14.4,7.0,32.2,6.1,4.9,7.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2099.613,96.15111725,16.94489657,30..60cm,27.0,9.0,42.0,45.0,18.0,76.0,28.0,10.0,43.0,1110.0,580.0,1530.0,11.0,3.4,34.3,6.5,5.1,7.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2099.613,96.15111725,16.94489657,60..100cm,27.0,9.0,42.0,46.0,16.0,78.0,27.0,7.0,43.0,1140.0,680.0,1660.0,8.5,2.5,21.2,6.6,5.1,8.1
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3149.42,96.1529368,16.93613214,0..30cm,29.0,13.0,42.0,42.0,19.0,70.0,28.0,16.0,44.0,1070.0,690.0,1410.0,12.1,5.1,39.3,6.2,4.7,7.6
