sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,125.66734444,7.27037181,0..30cm,31.0,16.0,44.0,43.0,18.0,76.0,26.0,4.0,44.0,1100.0,750.0,1460.0,12.7,4.3,36.5,5.6,4.5,6.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,125.66734444,7.27037181,30..60cm,32.0,16.0,44.0,43.0,14.0,78.0,25.0,3.0,49.0,1190.0,740.0,1570.0,9.1,2.7,28.3,5.7,4.5,6.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,125.66734444,7.27037181,60..100cm,33.0,16.0,48.0,41.0,12.0,76.0,26.0,4.0,46.0,1210.0,730.0,1600.0,11.1,2.4,37.4,5.7,4.5,7.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,195.55,125.66646596,7.26896767,0..30cm,31.0,16.0,45.0,41.0,10.0,72.0,27.0,12.0,41.0,1130.0,810.0,1480.0,13.1,4.2,31.6,5.6,4.5,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,195.55,125.66646596,7.26896767,30..60cm,32.0,16.0,46.0,42.0,11.0,73.0,26.0,7.0,47.0,1200.0,730.0,1600.0,9.5,2.5,35.4,5.7,4.5,6.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,195.55,125.66646596,7.26896767,60..100cm,32.0,14.0,49.0,42.0,12.0,79.0,26.0,4.0,46.0,1190.0,700.0,1660.0,10.5,2.0,28.0,5.8,4.6,7.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,391.1,125.66538739,7.26770679,0..30cm,31.0,15.0,44.0,43.0,11.0,72.0,26.0,12.0,41.0,1130.0,810.0,1480.0,12.6,4.1,31.9,5.7,4.5,6.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,391.1,125.66538739,7.26770679,30..60cm,31.0,16.0,45.0,43.0,13.0,78.0,26.0,6.0,47.0,1190.0,840.0,1580.0,10.0,2.8,32.9,5.7,4.6,7.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,391.1,125.66538739,7.26770679,60..100cm,32.0,14.0,47.0,42.0,12.0,80.0,26.0,4.0,46.0,1180.0,710.0,1620.0,10.5,2.2,25.9,5.8,4.6,7.1
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,391.1,125.66538739,7.26770679,0..30cm,31.0,15.0,44.0,43.0,11.0,72.0,26.0,12.0,41.0,1130.0,810.0,1480.0,12.6,4.1,31.9,5.7,4.5,6.6
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,391.1,125.66538739,7.26770679,30..60cm,31.0,16.0,45.0,43.0,13.0,78.0,26.0,6.0,47.0,1190.0,840.0,1580.0,10.0,2.8,32.9,5.7,4.6,7.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,391.1,125.66538739,7.26770679,60..100cm,32.0,14.0,47.0,42.0,12.0,80.0,26.0,4.0,46.0,1180.0,710.0,1620.0,10.5,2.2,25.9,5.8,4.6,7.1
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1454.674,125.65791045,7.26266443,0..30cm,30.0,15.0,42.0,44.0,13.0,74.0,26.0,11.0,41.0,1100.0,750.0,1460.0,18.9,5.5,46.5,5.7,4.6,6.6
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1454.674,125.65791045,7.26266443,30..60cm,30.0,14.0,44.0,43.0,12.0,74.0,27.0,5.0,48.0,1200.0,780.0,1560.0,11.5,3.3,31.2,5.8,4.6,6.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1454.674,125.65791045,7.26266443,60..100cm,31.0,13.0,46.0,42.0,9.0,80.0,27.0,4.0,48.0,1210.0,740.0,1640.0,12.3,2.0,81.0,5.8,4.8,7.1
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2518.249,125.65127563,7.25687765,0..30cm,31.0,15.0,46.0,42.0,16.0,72.0,27.0,12.0,42.0,1020.0,730.0,1430.0,26.1,11.5,70.3,5.6,4.6,6.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2518.249,125.65127563,7.25687765,30..60cm,31.0,15.0,47.0,41.0,12.0,74.0,27.0,8.0,45.0,1160.0,710.0,1560.0,12.1,3.3,41.5,5.7,4.6,6.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2518.249,125.65127563,7.25687765,60..100cm,32.0,13.0,48.0,40.0,5.0,79.0,28.0,5.0,44.0,1160.0,670.0,1620.0,12.2,2.5,81.0,5.8,4.8,7.1
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,2735.6,125.65082484,7.25508545,0..30cm,30.0,15.0,46.0,43.0,20.0,72.0,27.0,12.0,42.0,1010.0,630.0,1380.0,30.7,11.0,83.7,5.6,4.6,6.7
