sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,10.08675683,3.80362203,0..30cm,32.0,21.0,43.0,41.0,22.0,60.0,27.0,14.0,40.0,1040.0,790.0,1270.0,21.5,13.1,38.3,5.5,4.3,6.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,10.08675683,3.80362203,30..60cm,35.0,23.0,45.0,37.0,21.0,60.0,28.0,8.0,44.0,1120.0,920.0,1340.0,10.2,5.7,17.5,5.6,4.3,6.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,10.08675683,3.80362203,60..100cm,36.0,19.0,47.0,35.0,11.0,59.0,29.0,8.0,47.0,1180.0,890.0,1430.0,5.5,3.0,9.4,5.7,4.4,6.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1002.084,10.0934775,3.80572313,0..30cm,30.0,20.0,41.0,45.0,21.0,64.0,25.0,12.0,39.0,1060.0,780.0,1340.0,13.4,7.4,23.2,5.6,4.6,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1002.084,10.0934775,3.80572313,30..60cm,34.0,19.0,47.0,42.0,24.0,67.0,24.0,9.0,42.0,1160.0,910.0,1410.0,6.8,3.4,12.6,5.6,4.7,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1002.084,10.0934775,3.80572313,60..100cm,35.0,21.0,49.0,40.0,19.0,62.0,25.0,9.0,40.0,1200.0,900.0,1460.0,5.5,2.9,9.8,5.7,4.7,7.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2004.169,10.10106503,3.80640509,0..30cm,31.0,18.0,42.0,41.0,22.0,60.0,28.0,14.0,41.0,1090.0,790.0,1340.0,12.4,5.9,21.1,5.8,4.6,6.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2004.169,10.10106503,3.80640509,30..60cm,33.0,20.0,48.0,42.0,24.0,65.0,25.0,10.0,41.0,1180.0,920.0,1480.0,6.1,2.7,12.7,5.8,4.7,7.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2004.169,10.10106503,3.80640509,60..100cm,33.0,20.0,48.0,41.0,18.0,61.0,26.0,11.0,39.0,1210.0,900.0,1510.0,5.5,3.1,11.6,5.9,4.7,7.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3006.253,10.1079711,3.80761385,0..30cm,31.0,19.0,43.0,42.0,21.0,66.0,27.0,13.0,41.0,970.0,670.0,1250.0,12.5,6.5,22.6,5.7,4.6,6.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3006.253,10.1079711,3.80761385,30..60cm,33.0,21.0,48.0,42.0,19.0,66.0,25.0,10.0,45.0,1010.0,700.0,1300.0,6.4,2.9,13.8,5.7,4.7,6.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3006.253,10.1079711,3.80761385,60..100cm,33.0,21.0,46.0,41.0,18.0,62.0,25.0,9.0,45.0,1090.0,710.0,1420.0,6.6,2.6,16.4,5.8,4.7,7.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3642.75,10.11202468,3.80356233,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3642.75,10.11202468,3.80356233,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3642.75,10.11202468,3.80356233,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4008.337,10.11440537,3.80136283,0..30cm,29.0,20.0,43.0,42.0,25.0,71.0,29.0,12.0,42.0,900.0,520.0,1210.0,18.1,6.7,59.5,5.5,4.4,6.4
