asset_id,source_id,asset_type,subtype,name,line,parent_asset,station,km_start,km_end,location,criticality,product_family
EDE-SYS-001,edea,system,whole railway,Edea railway system,,,,,,"3.7324,10.0656 to 3.8676,10.201",system,
EDE-RS-L1-001,line-1-001,rolling-stock,revenue,line-1 trainset 001,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-002,line-1-002,rolling-stock,revenue,line-1 trainset 002,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-003,line-1-003,rolling-stock,revenue,line-1 trainset 003,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-004,line-1-004,rolling-stock,revenue,line-1 trainset 004,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-005,line-1-005,rolling-stock,revenue,line-1 trainset 005,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-006,line-1-006,rolling-stock,revenue,line-1 trainset 006,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-007,line-1-007,rolling-stock,revenue,line-1 trainset 007,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-008,line-1-008,rolling-stock,revenue,line-1 trainset 008,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-009,line-1-009,rolling-stock,revenue,line-1 trainset 009,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-010,line-1-010,rolling-stock,revenue,line-1 trainset 010,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-011,line-1-011,rolling-stock,revenue,line-1 trainset 011,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-012,line-1-012,rolling-stock,revenue,line-1 trainset 012,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-013,line-1-013,rolling-stock,revenue,line-1 trainset 013,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-014,line-1-014,rolling-stock,revenue,line-1 trainset 014,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-015,line-1-015,rolling-stock,revenue,line-1 trainset 015,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-016,line-1-016,rolling-stock,revenue,line-1 trainset 016,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-017,line-1-017,rolling-stock,revenue,line-1 trainset 017,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-018,line-1-018,rolling-stock,revenue,line-1 trainset 018,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-019,line-1-019,rolling-stock,spare,line-1 trainset 019,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-RS-L1-020,line-1-020,rolling-stock,cold-reserve,line-1 trainset 020,line-1,EDE-SYS-001,,,,fleet,service,tram-2car
EDE-ST-001,line-1-0355-0117-s000000,station,terminal,Ekité,line-1,EDE-SYS-001,line-1-0355-0117-s000000,0.000,0.000,"3.803622, 10.086757",public,
EDE-ST-002,line-1-0348-0250-s003434,station,standard,line-1-0348-0250-s003434,line-1,EDE-SYS-001,line-1-0348-0250-s003434,3.434,3.434,"3.804882, 10.110705",public,
EDE-ST-003,line-1-0366-0325-s005369,station,major,line-1-0366-0325-s005369,line-1,EDE-SYS-001,line-1-0366-0325-s005369,5.369,5.369,"3.801642, 10.124209",public,
EDE-ST-004,line-1-0377-0369-s007314,station,major,line-1-0377-0369-s007314,line-1,EDE-SYS-001,line-1-0377-0369-s007314,7.314,7.314,"3.799663, 10.132131",public,
EDE-ST-005,line-1-0442-0432-s009610,station,depot-terminal,Ntoumba,line-1,EDE-SYS-001,line-1-0442-0432-s009610,9.610,9.610,"3.787965, 10.143475",public,
EDE-TRK-L1-001,line-1-0355-0117-s000000--line-1-0348-0250-s003434,track-section,standard-urban,line-1 section 001,line-1,EDE-SYS-001,line-1-0355-0117-s000000 to line-1-0348-0250-s003434,0.000,3.434,Ekité to line-1-0348-0250-s003434,safety,
