sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-13.55637514,9.6457708,0..30cm,25.0,9.0,41.0,46.0,16.0,73.0,28.0,12.0,46.0,980.0,600.0,1340.0,12.8,6.1,26.2,5.5,4.8,6.3
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-13.55637514,9.6457708,30..60cm,27.0,9.0,43.0,44.0,13.0,76.0,29.0,9.0,46.0,1060.0,610.0,1480.0,9.8,2.8,33.1,5.6,4.8,6.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,-13.55637514,9.6457708,60..100cm,28.0,9.0,43.0,43.0,12.0,77.0,29.0,9.0,48.0,1090.0,600.0,1460.0,9.9,2.2,36.0,5.8,4.9,6.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,20.0,-13.55637514,9.64559893,0..30cm,25.0,9.0,41.0,46.0,16.0,73.0,28.0,12.0,46.0,980.0,600.0,1340.0,12.8,6.1,26.2,5.5,4.8,6.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,20.0,-13.55637514,9.64559893,30..60cm,27.0,9.0,43.0,44.0,13.0,76.0,29.0,9.0,46.0,1060.0,610.0,1480.0,9.8,2.8,33.1,5.6,4.8,6.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,20.0,-13.55637514,9.64559893,60..100cm,28.0,9.0,43.0,43.0,12.0,77.0,29.0,9.0,48.0,1090.0,600.0,1460.0,9.9,2.2,36.0,5.8,4.9,6.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,40.0,-13.55637514,9.64542706,0..30cm,25.0,9.0,41.0,46.0,16.0,73.0,28.0,12.0,46.0,980.0,600.0,1340.0,12.8,6.1,26.2,5.5,4.8,6.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,40.0,-13.55637514,9.64542706,30..60cm,27.0,9.0,43.0,44.0,13.0,76.0,29.0,9.0,46.0,1060.0,610.0,1480.0,9.8,2.8,33.1,5.6,4.8,6.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,40.0,-13.55637514,9.64542706,60..100cm,28.0,9.0,43.0,43.0,12.0,77.0,29.0,9.0,48.0,1090.0,600.0,1460.0,9.9,2.2,36.0,5.8,4.9,6.8
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,40.0,-13.55637514,9.64542706,0..30cm,25.0,9.0,41.0,46.0,16.0,73.0,28.0,12.0,46.0,980.0,600.0,1340.0,12.8,6.1,26.2,5.5,4.8,6.3
