sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-8.10404561,12.7941511,0..30cm,32.0,18.0,46.0,45.0,17.0,73.0,23.0,10.0,38.0,1510.0,1380.0,1640.0,5.6,3.4,11.2,5.6,5.1,6.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-8.10404561,12.7941511,30..60cm,33.0,16.0,47.0,46.0,15.0,73.0,21.0,4.0,38.0,1490.0,1350.0,1610.0,3.2,1.5,5.9,5.8,5.3,6.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,-8.10404561,12.7941511,60..100cm,33.0,14.0,47.0,47.0,15.0,75.0,21.0,6.0,39.0,1470.0,1310.0,1630.0,2.4,1.0,4.6,6.1,5.6,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-8.10415561,12.79420485,0..30cm,32.0,18.0,46.0,45.0,17.0,73.0,23.0,10.0,38.0,1510.0,1380.0,1640.0,5.6,3.4,11.2,5.6,5.1,6.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-8.10415561,12.79420485,30..60cm,33.0,16.0,47.0,46.0,15.0,73.0,21.0,4.0,38.0,1490.0,1350.0,1610.0,3.2,1.5,5.9,5.8,5.3,6.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,-8.10415561,12.79420485,60..100cm,33.0,14.0,47.0,47.0,15.0,75.0,21.0,6.0,39.0,1470.0,1310.0,1630.0,2.4,1.0,4.6,6.1,5.6,6.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-8.1042656,12.79425861,0..30cm,32.0,18.0,46.0,45.0,17.0,73.0,23.0,10.0,38.0,1510.0,1380.0,1640.0,5.6,3.4,11.2,5.6,5.1,6.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-8.1042656,12.79425861,30..60cm,33.0,16.0,47.0,46.0,15.0,73.0,21.0,4.0,38.0,1490.0,1350.0,1610.0,3.2,1.5,5.9,5.8,5.3,6.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,-8.1042656,12.79425861,60..100cm,33.0,14.0,47.0,47.0,15.0,75.0,21.0,6.0,39.0,1470.0,1310.0,1630.0,2.4,1.0,4.6,6.1,5.6,6.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,-8.1042656,12.79425861,0..30cm,32.0,18.0,46.0,45.0,17.0,73.0,23.0,10.0,38.0,1510.0,1380.0,1640.0,5.6,3.4,11.2,5.6,5.1,6.0
