sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,2.16603089,13.43035129,0..30cm,17.0,6.0,31.0,66.0,47.0,87.0,17.0,7.0,27.0,1450.0,1300.0,1640.0,3.6,2.2,6.1,5.8,5.0,6.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,2.16603089,13.43035129,30..60cm,18.0,6.0,30.0,65.0,44.0,89.0,16.0,5.0,29.0,1470.0,1340.0,1640.0,2.7,1.2,5.1,5.8,4.7,6.5
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,2.16603089,13.43035129,60..100cm,19.0,5.0,32.0,65.0,38.0,90.0,17.0,5.0,32.0,1440.0,1350.0,1630.0,2.1,0.9,4.0,5.8,4.7,6.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1038.362,2.16415579,13.43757646,0..30cm,13.0,5.0,18.0,74.0,57.0,88.0,14.0,7.0,24.0,1460.0,1240.0,1650.0,3.2,1.6,5.5,5.8,5.0,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1038.362,2.16415579,13.43757646,30..60cm,13.0,4.0,21.0,75.0,58.0,91.0,12.0,4.0,22.0,1410.0,1140.0,1660.0,2.4,1.0,4.6,5.7,4.7,6.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1038.362,2.16415579,13.43757646,60..100cm,12.0,4.0,19.0,76.0,63.0,92.0,11.0,4.0,21.0,1380.0,1060.0,1690.0,2.0,0.8,4.5,5.7,4.7,6.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2076.724,2.15852911,13.44460353,0..30cm,13.0,5.0,18.0,73.0,58.0,89.0,14.0,6.0,23.0,1480.0,1280.0,1640.0,3.1,1.8,5.5,5.9,5.0,7.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2076.724,2.15852911,13.44460353,30..60cm,13.0,4.0,20.0,75.0,62.0,91.0,12.0,4.0,20.0,1470.0,1360.0,1640.0,2.5,1.2,4.5,5.8,4.7,7.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2076.724,2.15852911,13.44460353,60..100cm,12.0,4.0,19.0,77.0,62.0,92.0,11.0,4.0,20.0,1450.0,1350.0,1640.0,2.1,0.9,4.4,5.9,4.7,7.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3115.086,2.15277381,13.45118104,0..30cm,19.0,8.0,32.0,58.0,31.0,80.0,23.0,10.0,38.0,1480.0,1290.0,1660.0,5.5,3.2,8.6,6.2,5.1,7.2
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3115.086,2.15277381,13.45118104,30..60cm,19.0,5.0,35.0,62.0,32.0,90.0,19.0,5.0,34.0,1480.0,1300.0,1660.0,2.9,1.4,5.3,6.2,4.8,7.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3115.086,2.15277381,13.45118104,60..100cm,19.0,5.0,35.0,62.0,31.0,91.0,19.0,4.0,34.0,1470.0,1240.0,1720.0,2.1,0.9,3.7,6.2,4.8,7.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4153.448,2.14792179,13.45862425,0..30cm,23.0,11.0,37.0,50.0,20.0,75.0,27.0,14.0,41.0,1450.0,1260.0,1630.0,5.9,3.3,11.3,6.2,5.2,7.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,4153.448,2.14792179,13.45862425,30..60cm,23.0,6.0,41.0,54.0,18.0,88.0,23.0,6.0,43.0,1490.0,1280.0,1660.0,2.6,0.8,6.3,6.2,5.0,7.2
