sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,8.88964905,9.97301425,0..30cm,23.0,12.0,36.0,52.0,29.0,74.0,25.0,11.0,41.0,1420.0,1300.0,1560.0,6.6,3.6,10.7,6.0,5.5,6.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,8.88964905,9.97301425,30..60cm,27.0,11.0,43.0,48.0,15.0,78.0,26.0,8.0,45.0,1450.0,1310.0,1600.0,3.8,2.2,6.1,6.1,5.5,6.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,8.88964905,9.97301425,60..100cm,27.0,10.0,43.0,48.0,17.0,79.0,25.0,8.0,42.0,1470.0,1260.0,1690.0,2.8,1.5,4.7,6.2,5.2,6.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,800.85,8.89329657,9.96811942,0..30cm,24.0,10.0,39.0,50.0,16.0,76.0,25.0,12.0,44.0,1380.0,1220.0,1540.0,9.4,4.9,15.8,5.9,5.4,6.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,800.85,8.89329657,9.96811942,30..60cm,27.0,11.0,41.0,48.0,14.0,79.0,25.0,8.0,45.0,1410.0,1300.0,1560.0,5.1,2.8,9.0,6.0,5.4,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,800.85,8.89329657,9.96811942,60..100cm,27.0,12.0,41.0,48.0,14.0,80.0,24.0,4.0,42.0,1450.0,1200.0,1720.0,3.3,1.7,5.7,6.2,5.3,7.1
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1045.169,8.89220551,9.96635865,0..30cm,25.0,12.0,40.0,50.0,16.0,76.0,25.0,11.0,43.0,1380.0,1230.0,1550.0,9.2,5.7,15.5,5.9,5.3,6.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1045.169,8.89220551,9.96635865,30..60cm,27.0,12.0,42.0,48.0,13.0,77.0,25.0,8.0,45.0,1430.0,1270.0,1600.0,5.1,3.1,9.0,6.0,5.4,6.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1045.169,8.89220551,9.96635865,60..100cm,28.0,13.0,41.0,47.0,14.0,78.0,25.0,5.0,45.0,1470.0,1240.0,1720.0,3.3,1.8,5.9,6.1,5.1,6.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1601.7,8.89062608,9.96246053,0..30cm,24.0,9.0,37.0,50.0,20.0,74.0,26.0,15.0,41.0,1380.0,1230.0,1550.0,9.7,5.4,15.8,5.9,5.3,6.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1601.7,8.89062608,9.96246053,30..60cm,27.0,12.0,42.0,47.0,20.0,77.0,26.0,9.0,42.0,1460.0,1300.0,1610.0,5.1,2.7,8.5,6.0,5.5,6.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,1601.7,8.89062608,9.96246053,60..100cm,27.0,12.0,44.0,47.0,16.0,78.0,25.0,7.0,43.0,1500.0,1340.0,1720.0,3.1,1.8,6.0,6.1,5.3,7.0
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,1601.7,8.89062608,9.96246053,0..30cm,24.0,9.0,37.0,50.0,20.0,74.0,26.0,15.0,41.0,1380.0,1230.0,1550.0,9.7,5.4,15.8,5.9,5.3,6.4
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,1601.7,8.89062608,9.96246053,30..60cm,27.0,12.0,42.0,47.0,20.0,77.0,26.0,9.0,42.0,1460.0,1300.0,1610.0,5.1,2.7,8.5,6.0,5.5,6.5
