sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,6.72151598,6.19085255,0..30cm,28.0,13.0,42.0,59.0,34.0,83.0,13.0,0.0,27.0,1400.0,1170.0,1560.0,7.0,2.3,16.9,5.7,4.8,6.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,6.72151598,6.19085255,30..60cm,30.0,18.0,43.0,58.0,38.0,79.0,12.0,0.0,27.0,1440.0,1300.0,1600.0,4.5,1.4,10.6,5.7,4.7,6.6
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,6.72151598,6.19085255,60..100cm,31.0,14.0,47.0,57.0,30.0,81.0,13.0,1.0,28.0,1440.0,1260.0,1600.0,4.5,1.6,9.0,5.7,4.8,6.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1042.005,6.72895044,6.1859808,0..30cm,30.0,18.0,44.0,56.0,37.0,77.0,14.0,2.0,27.0,1390.0,1270.0,1530.0,6.9,3.2,12.9,5.8,4.8,6.7
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1042.005,6.72895044,6.1859808,30..60cm,32.0,20.0,44.0,54.0,37.0,68.0,14.0,3.0,27.0,1440.0,1320.0,1600.0,3.8,1.6,7.0,5.8,4.8,6.6
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1042.005,6.72895044,6.1859808,60..100cm,33.0,18.0,47.0,53.0,28.0,67.0,14.0,3.0,28.0,1450.0,1290.0,1600.0,3.6,2.2,5.4,5.8,4.8,6.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2084.009,6.73665957,6.18142219,0..30cm,29.0,13.0,42.0,59.0,36.0,83.0,13.0,0.0,29.0,1400.0,1240.0,1530.0,7.1,2.4,16.0,5.6,4.8,6.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2084.009,6.73665957,6.18142219,30..60cm,31.0,17.0,40.0,57.0,36.0,75.0,12.0,0.0,25.0,1440.0,1300.0,1600.0,4.7,1.7,10.4,5.7,4.7,6.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2084.009,6.73665957,6.18142219,60..100cm,32.0,17.0,45.0,56.0,33.0,79.0,13.0,0.0,27.0,1450.0,1280.0,1600.0,4.9,2.4,14.0,5.7,4.8,6.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3126.014,6.74427357,6.17673099,0..30cm,32.0,22.0,44.0,52.0,32.0,70.0,16.0,4.0,26.0,1350.0,1210.0,1500.0,7.9,4.2,15.1,5.8,4.8,6.7
