sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,7.8844516,5.00659448,0..30cm,25.0,13.0,32.0,55.0,33.0,77.0,20.0,4.0,38.0,1270.0,1110.0,1420.0,10.4,4.8,19.7,5.2,4.6,5.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,7.8844516,5.00659448,30..60cm,25.0,11.0,35.0,53.0,28.0,76.0,22.0,4.0,41.0,1270.0,1070.0,1490.0,5.8,2.4,14.1,5.2,4.6,5.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,7.8844516,5.00659448,60..100cm,26.0,11.0,35.0,53.0,24.0,77.0,21.0,3.0,42.0,1300.0,1040.0,1530.0,6.3,2.3,18.1,5.2,4.7,5.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.686,7.88412713,5.01339703,0..30cm,27.0,16.0,38.0,52.0,30.0,74.0,22.0,2.0,39.0,1260.0,1110.0,1420.0,10.8,5.1,20.3,5.2,4.5,5.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.686,7.88412713,5.01339703,30..60cm,27.0,12.0,38.0,51.0,30.0,75.0,22.0,7.0,41.0,1240.0,980.0,1490.0,5.5,2.3,11.5,5.1,4.6,5.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,999.686,7.88412713,5.01339703,60..100cm,28.0,13.0,41.0,50.0,26.0,75.0,22.0,7.0,40.0,1280.0,980.0,1540.0,5.7,2.3,10.7,5.2,4.6,6.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.372,7.88658293,5.01955204,0..30cm,33.0,21.0,46.0,44.0,23.0,70.0,23.0,7.0,39.0,1330.0,1140.0,1510.0,11.6,6.5,19.7,5.2,4.5,5.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.372,7.88658293,5.01955204,30..60cm,35.0,23.0,49.0,41.0,19.0,65.0,24.0,6.0,43.0,1330.0,1160.0,1570.0,6.4,3.6,11.2,5.2,4.6,5.7
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1999.372,7.88658293,5.01955204,60..100cm,35.0,17.0,49.0,41.0,16.0,63.0,24.0,8.0,43.0,1340.0,1130.0,1600.0,5.5,2.9,10.0,5.2,4.7,5.8
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2942.2,7.89377641,5.02273769,0..30cm,27.0,13.0,38.0,55.0,34.0,75.0,18.0,4.0,33.0,1300.0,1130.0,1520.0,10.5,5.2,19.8,5.2,4.5,6.0
