sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,33.83042696,31.0736736,0..30cm,11.0,3.0,20.0,74.0,55.0,90.0,15.0,7.0,23.0,1450.0,1290.0,1650.0,2.4,1.0,4.8,8.3,7.7,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,33.83042696,31.0736736,30..60cm,12.0,2.0,23.0,74.0,55.0,93.0,14.0,4.0,24.0,1510.0,1350.0,1670.0,1.7,0.6,3.5,8.4,7.9,9.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,33.83042696,31.0736736,60..100cm,12.0,2.0,23.0,73.0,55.0,93.0,14.0,4.0,25.0,1550.0,1380.0,1710.0,1.2,0.3,3.2,8.4,7.9,9.2
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.084,33.83770284,31.08009212,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.084,33.83770284,31.08009212,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.084,33.83770284,31.08009212,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.168,33.83649272,31.08862884,0..30cm,16.0,6.0,24.0,64.0,44.0,85.0,20.0,9.0,31.0,1440.0,1240.0,1630.0,2.4,1.1,5.1,8.5,8.1,9.0
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.168,33.83649272,31.08862884,30..60cm,15.0,4.0,27.0,66.0,40.0,86.0,19.0,7.0,33.0,1520.0,1360.0,1710.0,1.5,0.4,3.3,8.5,7.8,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.168,33.83649272,31.08862884,60..100cm,15.0,4.0,26.0,66.0,40.0,91.0,18.0,5.0,32.0,1550.0,1380.0,1710.0,1.0,0.2,2.1,8.5,7.8,9.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3003.251,33.82979729,31.09525548,0..30cm,20.0,7.0,33.0,53.0,27.0,82.0,26.0,10.0,39.0,1500.0,1390.0,1620.0,5.2,2.8,8.7,8.3,7.9,8.7
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3003.251,33.82979729,31.09525548,30..60cm,21.0,8.0,35.0,54.0,29.0,84.0,25.0,7.0,39.0,1570.0,1460.0,1710.0,3.2,1.2,6.3,8.3,7.8,8.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3003.251,33.82979729,31.09525548,60..100cm,21.0,8.0,35.0,54.0,26.0,84.0,25.0,8.0,39.0,1570.0,1400.0,1730.0,2.5,1.0,5.7,8.4,7.8,9.0
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3529.9,33.82979729,31.10000043,0..30cm,21.0,6.0,33.0,53.0,29.0,80.0,26.0,11.0,39.0,1510.0,1390.0,1620.0,4.4,2.6,6.9,8.3,7.9,8.7
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3529.9,33.82979729,31.10000043,30..60cm,21.0,7.0,32.0,54.0,29.0,82.0,25.0,8.0,39.0,1580.0,1460.0,1710.0,2.8,1.1,5.7,8.4,7.8,9.1
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,3529.9,33.82979729,31.10000043,60..100cm,21.0,7.0,32.0,54.0,29.0,86.0,25.0,8.0,39.0,1580.0,1450.0,1750.0,2.3,0.9,4.6,8.5,7.8,9.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4004.335,33.8283751,31.10336802,0..30cm,19.0,9.0,29.0,56.0,34.0,79.0,25.0,13.0,39.0,1490.0,1360.0,1630.0,4.3,2.2,7.7,8.4,7.9,8.9
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4004.335,33.8283751,31.10336802,30..60cm,20.0,7.0,32.0,56.0,30.0,82.0,24.0,9.0,38.0,1550.0,1410.0,1690.0,2.9,1.3,5.6,8.5,7.8,9.2
segment:line-1-civil-001:0005,civil_segment,line-1-civil-001,line-1,at-grade,4004.335,33.8283751,31.10336802,60..100cm,20.0,6.0,33.0,56.0,31.0,83.0,24.0,7.0,38.0,1560.0,1380.0,1700.0,2.3,0.8,5.1,8.6,7.8,9.4
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5005.419,33.82182146,31.10875493,0..30cm,19.0,8.0,30.0,57.0,36.0,84.0,24.0,10.0,36.0,1500.0,1380.0,1630.0,4.9,2.2,8.2,8.4,8.0,8.9
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5005.419,33.82182146,31.10875493,30..60cm,20.0,7.0,32.0,57.0,30.0,83.0,24.0,8.0,39.0,1570.0,1400.0,1750.0,2.9,1.2,5.5,8.5,7.8,9.2
segment:line-1-civil-001:0006,civil_segment,line-1-civil-001,line-1,at-grade,5005.419,33.82182146,31.10875493,60..100cm,19.0,6.0,33.0,56.0,31.0,83.0,24.0,8.0,39.0,1590.0,1380.0,1780.0,2.2,0.7,4.4,8.6,7.8,9.4
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6006.503,33.81880137,31.11639557,0..30cm,20.0,6.0,31.0,55.0,28.0,84.0,25.0,11.0,39.0,1460.0,1270.0,1640.0,6.5,2.7,12.4,8.1,7.6,8.6
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6006.503,33.81880137,31.11639557,30..60cm,20.0,6.0,30.0,56.0,29.0,86.0,24.0,7.0,39.0,1530.0,1340.0,1760.0,3.5,1.2,8.2,8.2,7.8,8.9
segment:line-1-civil-001:0007,civil_segment,line-1-civil-001,line-1,at-grade,6006.503,33.81880137,31.11639557,60..100cm,20.0,6.0,31.0,56.0,29.0,86.0,24.0,9.0,38.0,1510.0,1260.0,1750.0,2.5,1.0,4.9,8.3,7.8,8.9
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7007.587,33.81136814,31.12172457,0..30cm,16.0,6.0,25.0,61.0,44.0,82.0,23.0,11.0,37.0,1450.0,1270.0,1620.0,3.3,2.0,5.2,8.3,7.8,9.0
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7007.587,33.81136814,31.12172457,30..60cm,17.0,6.0,27.0,62.0,38.0,85.0,21.0,8.0,37.0,1530.0,1370.0,1640.0,2.1,0.8,4.0,8.4,7.8,9.0
segment:line-1-civil-001:0008,civil_segment,line-1-civil-001,line-1,at-grade,7007.587,33.81136814,31.12172457,60..100cm,17.0,5.0,28.0,62.0,36.0,86.0,22.0,8.0,37.0,1560.0,1360.0,1670.0,1.4,0.4,3.1,8.4,7.8,9.1
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7059.8,33.81090777,31.12190453,0..30cm,17.0,7.0,26.0,58.0,36.0,80.0,24.0,11.0,37.0,1450.0,1280.0,1620.0,4.0,2.2,6.5,8.3,7.7,8.7
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7059.8,33.81090777,31.12190453,30..60cm,19.0,7.0,29.0,58.0,34.0,82.0,23.0,9.0,38.0,1530.0,1420.0,1620.0,2.8,1.3,4.5,8.4,7.8,8.9
segment:line-1-civil-001:0009,civil_segment,line-1-civil-001,line-1,at-grade,7059.8,33.81090777,31.12190453,60..100cm,19.0,6.0,30.0,58.0,32.0,85.0,24.0,8.0,38.0,1540.0,1310.0,1690.0,1.8,0.8,3.7,8.4,7.8,9.1
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,7059.8,33.81090777,31.12190453,0..30cm,17.0,7.0,26.0,58.0,36.0,80.0,24.0,11.0,37.0,1450.0,1280.0,1620.0,4.0,2.2,6.5,8.3,7.7,8.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,7059.8,33.81090777,31.12190453,30..60cm,19.0,7.0,29.0,58.0,34.0,82.0,23.0,9.0,38.0,1530.0,1420.0,1620.0,2.8,1.3,4.5,8.4,7.8,8.9
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,elevated,7059.8,33.81090777,31.12190453,60..100cm,19.0,6.0,30.0,58.0,32.0,85.0,24.0,8.0,38.0,1540.0,1310.0,1690.0,1.8,0.8,3.7,8.4,7.8,9.1
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,7073.95,33.81080257,31.12181484,0..30cm,17.0,7.0,26.0,58.0,36.0,80.0,24.0,11.0,37.0,1450.0,1280.0,1620.0,4.0,2.2,6.5,8.3,7.7,8.7
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,7073.95,33.81080257,31.12181484,30..60cm,19.0,7.0,29.0,58.0,34.0,82.0,23.0,9.0,38.0,1530.0,1420.0,1620.0,2.8,1.3,4.5,8.4,7.8,8.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,elevated,7073.95,33.81080257,31.12181484,60..100cm,19.0,6.0,30.0,58.0,32.0,85.0,24.0,8.0,38.0,1540.0,1310.0,1690.0,1.8,0.8,3.7,8.4,7.8,9.1
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,7088.1,33.81069754,31.12172478,0..30cm,17.0,7.0,26.0,58.0,36.0,80.0,24.0,11.0,37.0,1450.0,1280.0,1620.0,4.0,2.2,6.5,8.3,7.7,8.7
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,7088.1,33.81069754,31.12172478,30..60cm,19.0,7.0,29.0,58.0,34.0,82.0,23.0,9.0,38.0,1530.0,1420.0,1620.0,2.8,1.3,4.5,8.4,7.8,8.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,elevated,7088.1,33.81069754,31.12172478,60..100cm,19.0,6.0,30.0,58.0,32.0,85.0,24.0,8.0,38.0,1540.0,1310.0,1690.0,1.8,0.8,3.7,8.4,7.8,9.1
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,7088.1,33.81069754,31.12172478,0..30cm,17.0,7.0,26.0,58.0,36.0,80.0,24.0,11.0,37.0,1450.0,1280.0,1620.0,4.0,2.2,6.5,8.3,7.7,8.7
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,7088.1,33.81069754,31.12172478,30..60cm,19.0,7.0,29.0,58.0,34.0,82.0,23.0,9.0,38.0,1530.0,1420.0,1620.0,2.8,1.3,4.5,8.4,7.8,8.9
segment:line-1-civil-003:0000,civil_segment,line-1-civil-003,line-1,at-grade,7088.1,33.81069754,31.12172478,60..100cm,19.0,6.0,30.0,58.0,32.0,85.0,24.0,8.0,38.0,1540.0,1310.0,1690.0,1.8,0.8,3.7,8.4,7.8,9.1
segment:line-1-civil-003:0001,civil_segment,line-1-civil-003,line-1,at-grade,8088.565,33.80537791,31.12736536,0..30cm,19.0,5.0,31.0,59.0,36.0,88.0,22.0,6.0,34.0,1470.0,1290.0,1630.0,2.9,1.7,5.4,8.3,7.7,9.0
