sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.81498877,31.50183259,0..30cm,26.0,14.0,36.0,45.0,25.0,69.0,29.0,16.0,44.0,1390.0,1170.0,1570.0,5.4,2.2,12.4,8.0,7.4,8.7
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.81498877,31.50183259,30..60cm,27.0,13.0,38.0,46.0,23.0,71.0,27.0,13.0,42.0,1460.0,1230.0,1720.0,3.4,1.3,8.6,8.1,7.1,9.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.81498877,31.50183259,60..100cm,27.0,14.0,39.0,47.0,23.0,75.0,26.0,9.0,42.0,1450.0,1170.0,1850.0,3.6,0.8,9.0,8.2,7.0,9.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1027.992,31.81074644,31.49628085,0..30cm,21.0,10.0,31.0,56.0,37.0,78.0,23.0,8.0,35.0,1410.0,1150.0,1640.0,3.6,1.7,7.0,8.4,7.8,8.9
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1027.992,31.81074644,31.49628085,30..60cm,22.0,10.0,32.0,57.0,37.0,82.0,21.0,6.0,32.0,1520.0,1310.0,1690.0,2.5,0.7,5.5,8.5,7.9,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1027.992,31.81074644,31.49628085,60..100cm,22.0,10.0,32.0,58.0,35.0,83.0,20.0,5.0,34.0,1510.0,1250.0,1750.0,2.1,0.5,3.8,8.4,7.8,9.3
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2055.984,31.81927279,31.4913317,0..30cm,25.0,15.0,34.0,47.0,29.0,68.0,28.0,17.0,38.0,1410.0,1140.0,1620.0,5.1,1.9,10.2,8.3,7.6,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2055.984,31.81927279,31.4913317,30..60cm,27.0,12.0,36.0,47.0,29.0,70.0,26.0,14.0,39.0,1510.0,1250.0,1760.0,3.5,1.0,8.3,8.4,7.8,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2055.984,31.81927279,31.4913317,60..100cm,27.0,14.0,38.0,47.0,29.0,70.0,26.0,12.0,37.0,1500.0,1220.0,1820.0,3.7,1.3,12.9,8.4,7.6,9.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2882.2,31.82298872,31.48492165,0..30cm,24.0,11.0,33.0,50.0,31.0,73.0,27.0,14.0,39.0,1390.0,1140.0,1580.0,5.3,1.9,10.2,8.3,7.6,8.8
