sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.33329184,30.58735035,0..30cm,7.0,4.0,12.0,82.0,74.0,89.0,11.0,6.0,16.0,1520.0,1370.0,1660.0,1.9,0.7,3.8,8.4,7.8,9.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.33329184,30.58735035,30..60cm,7.0,2.0,14.0,84.0,71.0,93.0,9.0,4.0,16.0,1530.0,1400.0,1650.0,1.2,0.3,2.6,8.4,7.8,9.0
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.33329184,30.58735035,60..100cm,7.0,2.0,13.0,84.0,73.0,94.0,9.0,3.0,16.0,1560.0,1370.0,1710.0,0.9,0.1,1.9,8.5,7.8,9.1
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.175,32.32431323,30.58843015,0..30cm,10.0,4.0,17.0,77.0,65.0,89.0,13.0,7.0,20.0,1510.0,1350.0,1650.0,2.3,0.9,3.8,8.8,8.2,9.3
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.175,32.32431323,30.58843015,30..60cm,11.0,3.0,20.0,77.0,60.0,92.0,12.0,4.0,19.0,1540.0,1430.0,1660.0,1.2,0.2,2.9,8.9,8.3,9.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.175,32.32431323,30.58843015,60..100cm,11.0,2.0,22.0,77.0,57.0,95.0,12.0,3.0,24.0,1560.0,1400.0,1700.0,0.8,0.0,2.0,8.9,8.3,9.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.349,32.31431684,30.58789025,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.349,32.31431684,30.58789025,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2000.349,32.31431684,30.58789025,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3000.524,32.30560967,30.59148957,0..30cm,19.0,8.0,35.0,58.0,26.0,82.0,23.0,11.0,37.0,1450.0,1280.0,1600.0,4.4,2.0,8.7,8.2,7.5,8.9
