sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.60605635,25.73797908,0..30cm,17.0,5.0,28.0,57.0,37.0,78.0,26.0,14.0,37.0,1380.0,1130.0,1620.0,7.7,1.6,22.0,7.4,5.4,8.9
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.60605635,25.73797908,30..60cm,16.0,3.0,26.0,64.0,42.0,92.0,20.0,5.0,37.0,1450.0,1240.0,1650.0,11.1,0.5,80.5,7.3,5.3,9.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.60605635,25.73797908,60..100cm,16.0,3.0,26.0,63.0,40.0,89.0,21.0,6.0,38.0,1500.0,1240.0,1770.0,7.6,0.5,40.3,7.4,5.2,9.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,32.60595659,25.73788903,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,32.60595659,25.73788903,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,14.15,32.60595659,25.73788903,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,32.60585699,25.7377989,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,32.60585699,25.7377989,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,28.3,32.60585699,25.7377989,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,32.60585699,25.7377989,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,32.60585699,25.7377989,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,28.3,32.60585699,25.7377989,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,38.3,32.60585699,25.73770897,0..30cm,,,,,,,,,,,,,,,,,,
