sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.4017196,30.99935644,0..30cm,24.0,10.0,37.0,50.0,18.0,78.0,27.0,10.0,42.0,1430.0,1200.0,1620.0,6.9,3.0,16.1,8.1,7.1,8.8
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.4017196,30.99935644,30..60cm,24.0,9.0,39.0,50.0,18.0,83.0,26.0,8.0,42.0,1520.0,1340.0,1710.0,4.1,1.3,9.3,7.9,7.2,9.1
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.4017196,30.99935644,60..100cm,24.0,8.0,38.0,51.0,23.0,81.0,26.0,9.0,39.0,1550.0,1280.0,1860.0,3.2,1.2,7.8,7.8,7.2,9.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.198,31.39785401,31.00699326,0..30cm,23.0,10.0,37.0,53.0,25.0,81.0,24.0,9.0,38.0,1450.0,1270.0,1620.0,7.2,3.2,12.8,8.1,7.4,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.198,31.39785401,31.00699326,30..60cm,23.0,11.0,37.0,53.0,26.0,81.0,24.0,9.0,38.0,1540.0,1270.0,1770.0,3.9,1.3,8.4,8.0,7.4,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.198,31.39785401,31.00699326,60..100cm,23.0,11.0,36.0,53.0,27.0,80.0,24.0,8.0,37.0,1580.0,1300.0,1930.0,2.7,1.2,5.9,8.0,7.6,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1206.4,31.39707371,31.00856279,0..30cm,22.0,9.0,37.0,54.0,25.0,86.0,24.0,7.0,39.0,1370.0,1150.0,1550.0,9.8,3.1,23.5,7.7,6.7,8.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1206.4,31.39707371,31.00856279,30..60cm,22.0,6.0,38.0,55.0,25.0,86.0,23.0,7.0,39.0,1510.0,1240.0,1720.0,5.0,1.6,11.7,7.2,5.6,8.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1206.4,31.39707371,31.00856279,60..100cm,22.0,7.0,37.0,55.0,27.0,85.0,24.0,5.0,39.0,1560.0,1250.0,1930.0,3.2,1.3,6.7,7.0,3.3,8.6
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2002.397,31.39396107,31.01462049,0..30cm,17.0,7.0,31.0,64.0,40.0,87.0,19.0,7.0,32.0,1430.0,1240.0,1600.0,4.3,1.6,8.7,8.1,7.4,8.9
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2002.397,31.39396107,31.01462049,30..60cm,19.0,5.0,34.0,63.0,31.0,88.0,19.0,5.0,33.0,1530.0,1380.0,1680.0,2.1,0.5,4.6,8.1,7.5,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2002.397,31.39396107,31.01462049,60..100cm,18.0,5.0,34.0,63.0,32.0,88.0,19.0,4.0,34.0,1520.0,1390.0,1660.0,2.0,0.6,4.3,8.1,7.4,8.9
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,2412.8,31.39227959,31.01771638,0..30cm,17.0,5.0,31.0,65.0,40.0,88.0,18.0,6.0,31.0,1430.0,1260.0,1600.0,5.6,2.4,10.9,8.2,7.4,8.7
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,2412.8,31.39227959,31.01771638,30..60cm,18.0,4.0,35.0,63.0,28.0,88.0,18.0,4.0,37.0,1560.0,1380.0,1760.0,2.9,0.5,8.9,8.2,7.4,8.9
