sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.31747197,31.22375644,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.31747197,31.22375644,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,elevated,0.0,32.31747197,31.22375644,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,193.85,32.31618102,31.22504174,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,193.85,32.31618102,31.22504174,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,elevated,193.85,32.31618102,31.22504174,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,387.7,32.31474171,31.2262741,0..30cm,18.0,4.0,30.0,62.0,36.0,91.0,20.0,5.0,35.0,1400.0,1180.0,1600.0,3.2,1.4,5.8,7.9,7.2,8.6
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,387.7,32.31474171,31.2262741,30..60cm,19.0,4.0,33.0,61.0,30.0,91.0,19.0,2.0,37.0,1490.0,1270.0,1760.0,1.6,0.2,4.5,8.0,7.5,8.8
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,elevated,387.7,32.31474171,31.2262741,60..100cm,19.0,4.0,35.0,63.0,30.0,91.0,18.0,2.0,37.0,1480.0,1110.0,1860.0,1.5,0.3,3.7,8.0,7.2,8.7
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,387.7,32.31474171,31.2262741,0..30cm,18.0,4.0,30.0,62.0,36.0,91.0,20.0,5.0,35.0,1400.0,1180.0,1600.0,3.2,1.4,5.8,7.9,7.2,8.6
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,387.7,32.31474171,31.2262741,30..60cm,19.0,4.0,33.0,61.0,30.0,91.0,19.0,2.0,37.0,1490.0,1270.0,1760.0,1.6,0.2,4.5,8.0,7.5,8.8
segment:line-1-civil-002:0000,civil_segment,line-1-civil-002,line-1,at-grade,387.7,32.31474171,31.2262741,60..100cm,19.0,4.0,35.0,63.0,30.0,91.0,18.0,2.0,37.0,1480.0,1110.0,1860.0,1.5,0.3,3.7,8.0,7.2,8.7
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1389.087,32.31506309,31.23447151,0..30cm,18.0,7.0,29.0,60.0,43.0,82.0,22.0,11.0,32.0,1430.0,1140.0,1630.0,3.7,1.7,6.1,8.4,8.1,8.9
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1389.087,32.31506309,31.23447151,30..60cm,20.0,8.0,33.0,60.0,42.0,83.0,20.0,8.0,32.0,1530.0,1330.0,1710.0,2.5,1.2,4.8,8.3,7.8,9.0
segment:line-1-civil-002:0001,civil_segment,line-1-civil-002,line-1,at-grade,1389.087,32.31506309,31.23447151,60..100cm,20.0,7.0,33.0,60.0,39.0,83.0,20.0,6.0,34.0,1520.0,1330.0,1670.0,2.3,1.0,4.1,8.3,7.8,9.0
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2390.474,32.31431916,31.24270634,0..30cm,22.0,7.0,34.0,53.0,30.0,79.0,25.0,13.0,36.0,1410.0,1170.0,1580.0,3.2,1.2,6.6,8.4,8.0,8.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2390.474,32.31431916,31.24270634,30..60cm,23.0,7.0,37.0,54.0,27.0,82.0,24.0,8.0,37.0,1530.0,1320.0,1730.0,1.9,0.5,4.5,8.3,7.9,8.9
segment:line-1-civil-002:0002,civil_segment,line-1-civil-002,line-1,at-grade,2390.474,32.31431916,31.24270634,60..100cm,23.0,7.0,37.0,54.0,29.0,84.0,23.0,5.0,40.0,1540.0,1280.0,1820.0,1.7,0.2,3.6,8.3,7.8,9.0
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3391.862,32.30810353,31.24887467,0..30cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3391.862,32.30810353,31.24887467,30..60cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0003,civil_segment,line-1-civil-002,line-1,at-grade,3391.862,32.30810353,31.24887467,60..100cm,,,,,,,,,,,,,,,,,,
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4393.249,32.3003254,31.25427468,0..30cm,15.0,0.0,29.0,67.0,39.0,96.0,18.0,2.0,32.0,1400.0,1180.0,1640.0,3.9,1.1,9.7,7.8,6.9,8.7
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4393.249,32.3003254,31.25427468,30..60cm,16.0,1.0,33.0,67.0,37.0,98.0,17.0,0.0,35.0,1400.0,1040.0,1690.0,2.0,0.4,5.5,7.9,6.8,8.7
segment:line-1-civil-002:0004,civil_segment,line-1-civil-002,line-1,at-grade,4393.249,32.3003254,31.25427468,60..100cm,17.0,1.0,33.0,67.0,35.0,98.0,16.0,0.0,36.0,1350.0,790.0,1760.0,1.6,0.2,3.8,7.9,7.0,8.7
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,5394.636,32.30069155,31.26151976,0..30cm,18.0,6.0,31.0,60.0,34.0,86.0,21.0,8.0,34.0,1400.0,1150.0,1610.0,4.1,1.7,8.0,8.0,7.5,8.7
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,5394.636,32.30069155,31.26151976,30..60cm,20.0,7.0,33.0,60.0,35.0,82.0,20.0,7.0,34.0,1530.0,1310.0,1730.0,3.0,1.0,6.0,8.2,7.5,8.8
segment:line-1-civil-002:0005,civil_segment,line-1-civil-002,line-1,at-grade,5394.636,32.30069155,31.26151976,60..100cm,20.0,6.0,34.0,60.0,35.0,85.0,20.0,3.0,35.0,1530.0,1320.0,1790.0,2.2,0.9,4.2,8.3,7.7,9.2
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,6256.95,32.29768674,31.2618856,0..30cm,18.0,2.0,32.0,61.0,38.0,91.0,21.0,4.0,37.0,1420.0,1160.0,1630.0,4.2,1.6,7.8,8.1,7.5,8.9
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,6256.95,32.29768674,31.2618856,30..60cm,19.0,1.0,33.0,61.0,31.0,91.0,20.0,4.0,34.0,1570.0,1360.0,1850.0,2.2,0.2,5.1,8.2,7.5,8.9
segment:line-1-civil-002:0006,civil_segment,line-1-civil-002,line-1,at-grade,6256.95,32.29768674,31.2618856,60..100cm,19.0,1.0,34.0,62.0,36.0,91.0,19.0,0.0,34.0,1590.0,1370.0,1850.0,1.6,0.3,3.2,8.3,7.6,9.2
segment:line-1-civil-002:0007,civil_segment,line-1-civil-002,line-1,at-grade,6396.023,32.29666345,31.26156906,0..30cm,18.0,2.0,32.0,62.0,38.0,91.0,20.0,5.0,36.0,1400.0,1160.0,1580.0,5.0,2.1,10.9,8.1,7.5,8.8
segment:line-1-civil-002:0007,civil_segment,line-1-civil-002,line-1,at-grade,6396.023,32.29666345,31.26156906,30..60cm,19.0,2.0,33.0,62.0,32.0,91.0,19.0,5.0,34.0,1530.0,1270.0,1800.0,2.3,0.6,5.1,8.3,7.5,9.0
segment:line-1-civil-002:0007,civil_segment,line-1-civil-002,line-1,at-grade,6396.023,32.29666345,31.26156906,60..100cm,19.0,2.0,34.0,62.0,35.0,91.0,19.0,3.0,33.0,1550.0,1300.0,1820.0,1.7,0.5,3.2,8.3,7.6,9.2
segment:line-1-civil-002:0008,civil_segment,line-1-civil-002,line-1,at-grade,7397.411,32.28949477,31.26066863,0..30cm,18.0,1.0,31.0,61.0,37.0,95.0,21.0,3.0,36.0,1430.0,1200.0,1650.0,3.8,1.3,8.2,8.1,7.5,8.9
segment:line-1-civil-002:0008,civil_segment,line-1-civil-002,line-1,at-grade,7397.411,32.28949477,31.26066863,30..60cm,19.0,1.0,33.0,61.0,33.0,97.0,20.0,0.0,33.0,1570.0,1380.0,1800.0,2.2,0.2,5.4,8.3,7.5,9.0
segment:line-1-civil-002:0008,civil_segment,line-1-civil-002,line-1,at-grade,7397.411,32.28949477,31.26066863,60..100cm,19.0,1.0,34.0,61.0,34.0,97.0,19.0,0.0,34.0,1580.0,1330.0,1850.0,1.7,0.4,3.4,8.3,7.6,9.2
segment:line-1-civil-002:0009,civil_segment,line-1-civil-002,line-1,at-grade,8398.798,32.2840037,31.26568856,0..30cm,20.0,7.0,32.0,55.0,35.0,77.0,24.0,11.0,37.0,1420.0,1240.0,1590.0,4.6,2.1,9.9,8.4,8.0,8.9
segment:line-1-civil-002:0009,civil_segment,line-1-civil-002,line-1,at-grade,8398.798,32.2840037,31.26568856,30..60cm,22.0,7.0,35.0,55.0,32.0,82.0,23.0,9.0,37.0,1540.0,1280.0,1760.0,2.4,0.6,5.4,8.4,7.9,9.2
segment:line-1-civil-002:0009,civil_segment,line-1-civil-002,line-1,at-grade,8398.798,32.2840037,31.26568856,60..100cm,22.0,6.0,35.0,56.0,34.0,84.0,22.0,6.0,37.0,1550.0,1250.0,1820.0,1.7,0.5,3.6,8.4,7.8,9.1
segment:line-1-civil-002:0010,civil_segment,line-1-civil-002,line-1,at-grade,9400.185,32.27471583,31.26820808,0..30cm,23.0,9.0,35.0,51.0,30.0,76.0,26.0,15.0,37.0,1400.0,1090.0,1590.0,4.0,1.7,7.5,8.3,7.8,8.9
segment:line-1-civil-002:0010,civil_segment,line-1-civil-002,line-1,at-grade,9400.185,32.27471583,31.26820808,30..60cm,23.0,8.0,37.0,53.0,29.0,81.0,24.0,9.0,37.0,1520.0,1280.0,1740.0,2.4,0.5,4.6,8.2,7.8,9.2
segment:line-1-civil-002:0010,civil_segment,line-1-civil-002,line-1,at-grade,9400.185,32.27471583,31.26820808,60..100cm,24.0,8.0,37.0,53.0,30.0,81.0,23.0,8.0,37.0,1520.0,1250.0,1810.0,1.7,0.3,3.5,8.2,7.8,9.1
segment:line-1-civil-002:0011,civil_segment,line-1-civil-002,line-1,at-grade,10401.572,32.26620096,31.27233479,0..30cm,18.0,4.0,30.0,63.0,40.0,90.0,20.0,3.0,34.0,1410.0,1200.0,1630.0,4.5,1.9,9.1,8.1,7.5,8.7
segment:line-1-civil-002:0011,civil_segment,line-1-civil-002,line-1,at-grade,10401.572,32.26620096,31.27233479,30..60cm,19.0,4.0,35.0,62.0,32.0,91.0,19.0,5.0,35.0,1520.0,1270.0,1730.0,2.4,0.6,5.2,8.3,7.7,9.0
segment:line-1-civil-002:0011,civil_segment,line-1-civil-002,line-1,at-grade,10401.572,32.26620096,31.27233479,60..100cm,19.0,3.0,37.0,63.0,30.0,91.0,18.0,2.0,34.0,1530.0,1250.0,1750.0,1.7,0.4,3.6,8.3,7.6,9.2
segment:line-1-civil-002:0012,civil_segment,line-1-civil-002,line-1,at-grade,11402.959,32.25700532,31.27000775,0..30cm,17.0,6.0,28.0,65.0,47.0,86.0,19.0,9.0,28.0,1440.0,1270.0,1640.0,3.7,1.9,6.4,8.1,7.6,8.7
segment:line-1-civil-002:0012,civil_segment,line-1-civil-002,line-1,at-grade,11402.959,32.25700532,31.27000775,30..60cm,17.0,8.0,31.0,64.0,46.0,86.0,19.0,5.0,31.0,1520.0,1330.0,1700.0,2.7,1.2,6.0,8.3,7.8,9.0
segment:line-1-civil-002:0012,civil_segment,line-1-civil-002,line-1,at-grade,11402.959,32.25700532,31.27000775,60..100cm,17.0,7.0,32.0,65.0,41.0,88.0,18.0,4.0,29.0,1530.0,1310.0,1720.0,2.1,0.8,4.0,8.4,7.8,9.3
segment:line-1-civil-002:0013,civil_segment,line-1-civil-002,line-1,at-grade,12126.2,32.25105288,31.27000775,0..30cm,19.0,9.0,27.0,60.0,43.0,76.0,22.0,12.0,32.0,1440.0,1270.0,1640.0,3.8,1.2,7.7,8.5,8.0,8.9
