sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.74380879,26.19724071,0..30cm,15.0,3.0,24.0,61.0,37.0,90.0,24.0,6.0,41.0,1410.0,1190.0,1650.0,9.1,1.7,29.2,8.2,7.1,9.4
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.74380879,26.19724071,30..60cm,16.0,3.0,32.0,62.0,29.0,92.0,22.0,5.0,41.0,1410.0,1220.0,1670.0,12.3,0.9,64.6,8.4,7.8,9.8
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,32.74380879,26.19724071,60..100cm,15.0,3.0,31.0,63.0,29.0,92.0,22.0,5.0,41.0,1480.0,1240.0,1780.0,7.1,0.5,40.2,8.4,7.4,9.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.14,32.74180721,26.18986417,0..30cm,19.0,5.0,32.0,52.0,21.0,76.0,29.0,16.0,42.0,1460.0,1240.0,1670.0,5.1,1.4,16.4,7.8,6.9,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.14,32.74180721,26.18986417,30..60cm,21.0,5.0,39.0,52.0,21.0,83.0,28.0,11.0,43.0,1480.0,1270.0,1700.0,4.3,0.9,11.4,8.3,7.8,9.0
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1001.14,32.74180721,26.18986417,60..100cm,20.0,4.0,36.0,52.0,21.0,84.0,28.0,12.0,43.0,1520.0,1290.0,1740.0,3.1,0.9,11.2,8.3,7.9,9.2
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.28,32.74400895,26.18166299,0..30cm,13.0,0.0,26.0,64.0,41.0,87.0,22.0,8.0,34.0,1410.0,1140.0,1660.0,6.2,1.5,20.1,7.4,5.0,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.28,32.74400895,26.18166299,30..60cm,15.0,0.0,29.0,63.0,29.0,92.0,22.0,4.0,40.0,1410.0,1190.0,1670.0,7.0,0.6,48.9,7.5,5.0,9.5
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,2002.28,32.74400895,26.18166299,60..100cm,16.0,0.0,32.0,62.0,26.0,92.0,23.0,4.0,41.0,1460.0,1240.0,1780.0,4.3,0.6,24.0,7.5,4.9,9.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3003.42,32.73519927,26.18158365,0..30cm,17.0,4.0,30.0,57.0,34.0,81.0,26.0,14.0,40.0,1410.0,1180.0,1650.0,9.6,2.7,27.7,8.1,7.2,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3003.42,32.73519927,26.18158365,30..60cm,19.0,4.0,36.0,55.0,26.0,85.0,26.0,9.0,40.0,1420.0,1220.0,1680.0,13.4,1.6,64.6,8.4,7.8,9.5
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,3003.42,32.73519927,26.18158365,60..100cm,19.0,4.0,36.0,54.0,24.0,85.0,26.0,10.0,42.0,1470.0,1240.0,1740.0,7.5,0.8,41.5,8.4,7.9,9.4
