sample_id,scope_type,scope_id,line,civil_class,chainage_m,lon,lat,depth_interval,clay_mean,clay_p16,clay_p84,sand_mean,sand_p16,sand_p84,silt_mean,silt_p16,silt_p84,bd.core_mean,bd.core_p16,bd.core_p84,soc_mean,soc_p16,soc_p84,ph.h2o_mean,ph.h2o_p16,ph.h2o_p84
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.74528516,26.56650724,0..30cm,22.0,8.0,37.0,51.0,23.0,84.0,27.0,8.0,43.0,1440.0,1220.0,1620.0,7.2,1.5,22.1,8.1,7.3,8.8
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.74528516,26.56650724,30..60cm,24.0,7.0,42.0,49.0,14.0,85.0,27.0,8.0,44.0,1450.0,1240.0,1690.0,9.1,1.3,50.5,8.4,7.9,9.8
segment:line-1-civil-001:0000,civil_segment,line-1-civil-001,line-1,at-grade,0.0,31.74528516,26.56650724,60..100cm,24.0,6.0,40.0,50.0,16.0,85.0,26.0,9.0,43.0,1490.0,1240.0,1730.0,5.2,0.9,36.0,8.4,7.9,9.4
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.675,31.73712093,26.56387132,0..30cm,22.0,5.0,36.0,51.0,24.0,83.0,27.0,10.0,43.0,1460.0,1240.0,1640.0,6.7,1.9,22.0,8.1,7.3,8.8
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.675,31.73712093,26.56387132,30..60cm,24.0,6.0,42.0,50.0,16.0,83.0,26.0,9.0,44.0,1480.0,1270.0,1680.0,7.3,0.7,40.2,8.4,7.9,9.5
segment:line-1-civil-001:0001,civil_segment,line-1-civil-001,line-1,at-grade,1000.675,31.73712093,26.56387132,60..100cm,24.0,6.0,41.0,50.0,16.0,84.0,26.0,9.0,43.0,1510.0,1240.0,1740.0,4.6,0.8,30.4,8.4,7.9,9.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1494.4,31.73252887,26.56308788,0..30cm,25.0,11.0,39.0,46.0,15.0,72.0,30.0,14.0,46.0,1490.0,1370.0,1670.0,4.4,1.4,9.3,7.4,6.5,8.4
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1494.4,31.73252887,26.56308788,30..60cm,26.0,8.0,42.0,45.0,13.0,79.0,28.0,13.0,44.0,1570.0,1430.0,1730.0,2.4,0.8,6.1,8.0,7.0,8.9
segment:line-1-civil-001:0002,civil_segment,line-1-civil-001,line-1,at-grade,1494.4,31.73252887,26.56308788,60..100cm,25.0,6.0,41.0,47.0,14.0,82.0,28.0,13.0,44.0,1630.0,1420.0,1880.0,2.1,0.5,5.1,8.0,6.1,9.3
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2001.349,31.72769233,26.56254798,0..30cm,25.0,11.0,40.0,45.0,17.0,72.0,30.0,15.0,44.0,1480.0,1340.0,1640.0,4.3,1.5,9.4,7.4,6.4,8.4
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2001.349,31.72769233,26.56254798,30..60cm,27.0,9.0,43.0,44.0,13.0,76.0,29.0,15.0,45.0,1560.0,1410.0,1740.0,2.4,0.7,6.3,8.0,7.0,9.0
segment:line-1-civil-001:0003,civil_segment,line-1-civil-001,line-1,at-grade,2001.349,31.72769233,26.56254798,60..100cm,27.0,8.0,41.0,45.0,14.0,77.0,29.0,13.0,44.0,1630.0,1440.0,1890.0,2.2,0.6,5.2,8.0,6.5,9.3
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,2988.8,31.72078643,26.5683069,0..30cm,23.0,11.0,39.0,48.0,20.0,71.0,29.0,15.0,45.0,1430.0,1190.0,1620.0,4.6,1.7,11.0,7.1,5.7,8.2
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,2988.8,31.72078643,26.5683069,30..60cm,26.0,11.0,42.0,46.0,15.0,76.0,28.0,15.0,44.0,1510.0,1210.0,1750.0,2.6,0.5,7.4,7.6,5.7,8.8
segment:line-1-civil-001:0004,civil_segment,line-1-civil-001,line-1,at-grade,2988.8,31.72078643,26.5683069,60..100cm,26.0,8.0,41.0,47.0,16.0,77.0,27.0,13.0,44.0,1580.0,1240.0,1890.0,2.4,0.9,5.2,7.5,5.4,9.3
